,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39471,1,2024-11-04,,Stony Brook,W,102,62,40,68,.588,9,31,.290,13,17,.765,10,39,22,10,2,7,16,,22,60,.367,7,25,.280,11,15,.733,10,26,12,3,1,13,14,2025,marquette
39472,2,2024-11-08,,George Mason,W,82,63,26,67,.388,11,35,.314,19,26,.731,11,35,16,13,7,9,15,,22,58,.379,8,24,.333,11,15,.733,9,35,13,4,2,18,18,2025,marquette
39473,3,2024-11-11,,Central Michigan,W,70,62,20,55,.364,10,36,.278,20,25,.800,4,24,16,19,6,11,21,,21,52,.404,6,25,.240,14,21,.667,7,39,15,6,1,24,20,2025,marquette
39474,4,2024-11-15,@,Maryland,W,78,74,26,58,.448,8,23,.348,18,24,.750,9,27,10,7,0,6,18,,29,55,.527,7,19,.368,9,14,.643,7,30,10,4,3,12,18,2025,marquette
39475,5,2024-11-19,,Purdue,W,76,58,27,60,.450,8,25,.320,14,15,.933,6,33,13,11,5,6,17,,20,50,.400,6,18,.333,12,18,.667,4,29,16,2,0,13,13,2025,marquette
39476,6,2024-11-23,N,Georgia,W,80,69,29,58,.500,11,27,.407,11,15,.733,8,28,13,13,2,13,18,,24,54,.444,8,25,.320,13,19,.684,6,28,13,11,2,17,16,2025,marquette
39477,7,2024-11-27,,Stonehill,W,94,59,37,61,.607,10,21,.476,10,17,.588,12,31,15,11,2,10,7,,24,54,.444,6,24,.250,5,7,.714,3,18,22,7,1,14,13,2025,marquette
39478,8,2024-11-30,,Western Carolina,W,94,62,37,72,.514,14,40,.350,6,10,.600,8,35,21,15,5,13,16,,23,60,.383,8,27,.296,8,12,.667,5,31,15,7,2,18,13,2025,marquette
39479,9,2024-12-04,@,Iowa State,L,70,81,27,70,.386,11,31,.355,5,10,.500,11,30,15,4,5,10,19,,30,59,.508,6,15,.400,15,21,.714,8,34,16,6,6,12,14,2025,marquette
39480,10,2024-12-07,,Wisconsin,W,88,74,31,62,.500,8,26,.308,18,21,.857,10,28,17,9,3,5,17,,24,52,.462,10,26,.385,16,18,.889,11,30,16,3,1,14,18,2025,marquette
39481,11,2024-12-14,@,Dayton,L,63,71,22,54,.407,9,29,.310,10,15,.667,9,28,8,2,4,13,17,,29,61,.475,4,19,.211,9,16,.563,15,37,19,10,2,7,11,2025,marquette
39482,12,2024-12-18,,Butler,W,80,70,32,75,.427,6,30,.200,10,12,.833,18,36,12,6,2,2,14,,24,47,.511,9,22,.409,13,15,.867,3,25,13,1,3,14,13,2025,marquette
39483,13,2024-12-21,@,Xavier,W,72,70,29,59,.492,7,19,.368,7,11,.636,4,27,16,10,4,10,20,,24,52,.462,6,19,.316,16,20,.800,4,26,16,7,3,13,14,2025,marquette
