,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39504,1,2024-11-04,,Davis & Elkins,W,90,57,32,68,.471,8,34,.235,18,23,.783,16,42,18,16,4,16,20,,21,58,.362,2,14,.143,13,22,.591,10,29,7,6,3,22,17,2025,marshall
39505,2,2024-11-09,,Toledo,L,80,90,29,72,.403,9,32,.281,13,17,.765,13,35,15,3,5,9,21,,31,59,.525,4,12,.333,24,32,.750,7,35,10,5,3,9,16,2025,marshall
39506,3,2024-11-11,,Southern Indiana,W,77,63,21,46,.457,5,16,.313,30,50,.600,9,32,12,12,3,11,26,,18,50,.360,3,10,.300,24,36,.667,10,32,2,6,3,17,32,2025,marshall
39507,4,2024-11-16,,Bellarmine,W,83,62,29,60,.483,9,25,.360,16,17,.941,7,32,17,8,2,9,22,,18,49,.367,5,18,.278,21,25,.840,3,23,8,8,1,14,17,2025,marshall
39508,5,2024-11-23,@,Purdue,L,45,80,16,53,.302,4,32,.125,9,17,.529,14,30,6,8,2,19,26,,24,48,.500,6,16,.375,26,33,.788,6,28,18,8,1,13,17,2025,marshall
39509,6,2024-11-27,,South Carolina State,W,82,53,26,60,.433,11,32,.344,19,27,.704,14,44,19,8,6,12,21,,21,64,.328,3,16,.188,8,17,.471,14,30,6,9,3,12,23,2025,marshall
39510,7,2024-11-30,@,Western Kentucky,L,82,90,26,67,.388,7,30,.233,23,28,.821,12,36,14,9,2,13,27,,28,48,.583,7,15,.467,27,40,.675,0,25,10,9,4,14,23,2025,marshall
39511,8,2024-12-04,,Morehead State,W,80,77,27,57,.474,7,26,.269,19,26,.731,5,25,15,8,6,7,19,,26,59,.441,8,19,.421,17,26,.654,13,35,12,5,3,14,19,2025,marshall
39512,9,2024-12-07,@,UNC Wilmington,L,69,78,26,64,.406,7,30,.233,10,24,.417,14,36,14,7,8,13,22,,26,55,.473,4,17,.235,22,27,.815,7,39,15,6,5,13,19,2025,marshall
39513,10,2024-12-11,@,Wright State,L,79,88,28,64,.438,9,25,.360,14,20,.700,5,29,10,7,1,10,24,,31,54,.574,8,18,.444,18,24,.750,3,32,12,4,5,14,18,2025,marshall
39514,11,2024-12-14,,Ohio,W,79,70,29,55,.527,8,19,.421,13,19,.684,3,30,10,10,3,11,16,,25,65,.385,9,30,.300,11,11,1.000,7,29,17,7,0,10,16,2025,marshall
39515,12,2024-12-16,,West Virginia Wesleyan,W,93,63,37,67,.552,13,32,.406,6,9,.667,10,35,30,10,4,12,10,,24,56,.429,9,19,.474,6,7,.857,3,23,10,8,1,15,11,2025,marshall
39516,13,2024-12-21,@,Southern Miss,L,66,68,25,48,.521,4,14,.286,12,21,.571,9,28,9,2,5,11,16,,27,56,.482,6,20,.300,8,18,.444,12,29,14,3,3,8,18,2025,marshall
39517,14,2024-12-28,@,Elon,L,59,73,21,68,.309,6,30,.200,11,14,.786,14,29,14,6,4,12,24,,23,57,.404,8,24,.333,19,25,.760,10,39,14,6,6,10,15,2025,marshall
39518,15,2025-01-02,,Texas State,W,77,71,26,52,.500,4,13,.308,21,33,.636,9,32,14,4,6,10,22,,27,55,.491,4,16,.250,13,22,.591,6,26,4,6,2,8,26,2025,marshall
39519,16,2025-01-04,,Troy,L,57,58,22,56,.393,3,16,.188,10,17,.588,12,31,11,8,5,13,17,,19,51,.373,7,31,.226,13,17,.765,10,33,10,8,2,14,20,2025,marshall
39520,17,2025-01-09,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marshall
39521,18,2025-01-11,,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marshall
39522,19,2025-01-16,@,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,marshall
