,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39570,1,2024-11-04,,Penn St. - York,W,95,66,34,74,.459,10,28,.357,17,29,.586,15,47,16,4,4,7,22,,21,68,.309,4,15,.267,20,27,.741,12,41,3,3,4,11,19,2025,maryland-baltimore-county
39571,2,2024-11-08,@,Penn State,L,54,103,19,65,.292,8,24,.333,8,14,.571,7,31,13,10,1,17,25,,37,67,.552,10,23,.435,19,29,.655,10,47,21,12,8,11,13,2025,maryland-baltimore-county
39572,3,2024-11-11,,Valley Forge,W,120,61,48,81,.593,17,35,.486,7,12,.583,21,52,31,11,6,13,13,,22,63,.349,5,22,.227,12,18,.667,9,21,4,7,4,18,13,2025,maryland-baltimore-county
39573,4,2024-11-14,,Coppin State,W,92,67,34,58,.586,10,19,.526,14,24,.583,12,33,18,12,3,14,18,,26,55,.473,3,12,.250,12,20,.600,9,26,5,8,0,19,22,2025,maryland-baltimore-county
39574,5,2024-11-16,,St. Peter's,L,61,69,21,55,.382,4,21,.190,15,22,.682,12,29,6,2,3,9,13,,24,58,.414,12,29,.414,9,11,.818,11,37,10,3,3,12,22,2025,maryland-baltimore-county
39575,6,2024-11-19,,Hampton,L,68,78,26,54,.481,8,23,.348,8,12,.667,4,18,12,1,2,10,16,,26,52,.500,8,18,.444,18,22,.818,11,36,10,5,2,11,13,2025,maryland-baltimore-county
39576,7,2024-11-23,,Boston University,L,71,75,21,55,.382,5,18,.278,24,26,.923,4,23,11,9,2,8,15,,27,58,.466,9,25,.360,12,15,.800,5,34,12,3,2,14,19,2025,maryland-baltimore-county
39577,8,2024-11-25,,Howard,W,95,77,35,58,.603,12,24,.500,13,18,.722,4,20,17,6,2,6,16,,29,59,.492,6,17,.353,13,17,.765,9,29,14,3,0,12,16,2025,maryland-baltimore-county
39578,9,2024-11-27,,Morgan State,W,92,69,29,60,.483,14,26,.538,20,29,.690,9,38,21,12,6,13,20,,28,66,.424,1,9,.111,12,22,.545,12,33,5,9,5,16,18,2025,maryland-baltimore-county
39579,10,2024-12-02,@,Georgetown,L,62,86,25,63,.397,4,18,.222,8,9,.889,5,31,14,8,4,17,13,,33,68,.485,3,20,.150,17,22,.773,11,37,17,13,4,10,9,2025,maryland-baltimore-county
39580,11,2024-12-07,@,Towson,W,84,71,31,60,.517,10,25,.400,12,16,.750,2,32,16,7,0,8,10,,30,78,.385,7,26,.269,4,9,.444,17,46,7,3,4,9,14,2025,maryland-baltimore-county
39581,12,2024-12-10,,Cairn,W,103,57,38,72,.528,11,29,.379,16,23,.696,13,48,14,14,4,11,12,,21,70,.300,10,38,.263,5,7,.714,10,35,5,4,2,16,17,2025,maryland-baltimore-county
39582,13,2024-12-18,@,Georgia Tech,L,82,91,30,58,.517,10,25,.400,12,19,.632,2,22,18,9,0,13,19,,32,61,.525,8,16,.500,19,29,.655,14,41,24,7,5,14,15,2025,maryland-baltimore-county
39583,14,2024-12-21,@,Marist,L (1 OT),73,76,25,61,.410,12,29,.414,11,16,.688,8,30,14,7,6,13,14,,29,64,.453,3,16,.188,15,20,.750,14,46,10,8,5,11,14,2025,maryland-baltimore-county
39584,15,2024-12-29,@,American,W (2 OT),96,93,38,72,.528,7,20,.350,13,18,.722,6,39,21,5,1,9,16,,37,77,.481,11,31,.355,8,16,.500,11,39,21,5,4,10,20,2025,maryland-baltimore-county
39585,16,2025-01-04,@,Binghamton,L,82,87,32,58,.552,5,15,.333,13,17,.765,4,22,11,6,2,6,16,,32,58,.552,6,15,.400,17,21,.810,8,32,11,3,1,10,16,2025,maryland-baltimore-county
39586,17,2025-01-09,@,NJIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39587,18,2025-01-16,,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39588,19,2025-01-18,,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39589,20,2025-01-23,@,Albany (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39590,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,maryland-baltimore-county
39591,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,maryland-baltimore-county
39592,21,2025-01-25,@,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39593,22,2025-01-30,,Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
39594,23,2025-02-01,,UMass-Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland-baltimore-county
