,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39603,1,2024-11-04,@,Vanderbilt,L,63,102,23,52,.442,7,21,.333,10,19,.526,4,30,7,1,0,15,19,,36,72,.500,8,34,.235,22,33,.667,14,43,19,11,4,1,15,2025,maryland-eastern-shore
39604,2,2024-11-07,@,Penn,L,84,85,30,64,.469,7,19,.368,17,26,.654,15,39,14,0,2,11,20,,25,58,.431,12,34,.353,23,31,.742,11,33,18,6,1,6,18,2025,maryland-eastern-shore
39605,3,2024-11-09,,,W,96,77,38,65,.585,5,19,.263,15,22,.682,11,30,16,7,1,10,19,,24,52,.462,6,17,.353,23,31,.742,6,24,3,5,1,16,17,2025,maryland-eastern-shore
39606,4,2024-11-12,@,Miami (OH),L,70,88,25,51,.490,9,21,.429,11,18,.611,5,19,11,7,4,10,14,,35,64,.547,15,32,.469,3,6,.500,12,34,20,7,3,10,14,2025,maryland-eastern-shore
39607,5,2024-11-15,@,Old Dominion,L,71,73,25,62,.403,6,20,.300,15,22,.682,8,30,10,4,3,6,17,,28,63,.444,4,22,.182,13,18,.722,10,40,11,5,4,12,17,2025,maryland-eastern-shore
39608,6,2024-11-18,,Gallaudet,W,113,58,44,78,.564,18,35,.514,7,12,.583,15,53,30,8,3,14,9,,21,69,.304,5,25,.200,11,14,.786,8,23,11,7,2,13,10,2025,maryland-eastern-shore
39609,7,2024-11-20,@,Murray State,L,61,79,20,51,.392,5,16,.313,16,19,.842,5,22,2,2,1,11,20,,25,54,.463,7,24,.292,22,30,.733,15,40,15,5,0,11,18,2025,maryland-eastern-shore
39610,8,2024-11-23,@,Illinois,L,40,87,15,68,.221,5,20,.250,5,8,.625,10,32,3,6,1,15,16,,33,74,.446,10,40,.250,11,18,.611,19,56,9,8,9,9,11,2025,maryland-eastern-shore
39611,9,2024-11-25,@,Arkansas,L,35,109,14,61,.230,4,26,.154,3,8,.375,6,27,3,4,1,17,9,,40,72,.556,15,34,.441,14,17,.824,8,46,23,9,5,4,10,2025,maryland-eastern-shore
39612,10,2024-11-27,@,Little Rock,L,59,78,20,57,.351,7,26,.269,12,15,.800,8,28,14,5,3,15,15,,30,61,.492,8,24,.333,10,13,.769,8,35,20,11,3,7,14,2025,maryland-eastern-shore
