,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39537,1,2024-11-04,,Manhattan,W,79,49,31,70,.443,5,23,.217,12,17,.706,16,51,13,7,9,9,17,,16,59,.271,5,27,.185,12,15,.800,6,31,8,3,2,11,15,2025,maryland
39538,2,2024-11-08,,Mount St. Mary's,W,86,52,28,65,.431,9,23,.391,21,30,.700,12,34,13,16,1,6,16,,17,42,.405,6,13,.462,12,20,.600,5,29,11,4,1,25,23,2025,maryland
39539,3,2024-11-11,,Florida A&M,W,84,53,31,64,.484,8,29,.276,14,21,.667,8,33,11,11,3,6,16,,20,51,.392,6,21,.286,7,17,.412,9,36,10,3,2,20,19,2025,maryland
39540,4,2024-11-15,,Marquette,L,74,78,29,55,.527,7,19,.368,9,14,.643,7,30,10,4,3,12,18,,26,58,.448,8,23,.348,18,24,.750,9,27,10,7,0,6,18,2025,maryland
39541,5,2024-11-19,,Canisius,W,108,37,39,72,.542,9,31,.290,21,25,.840,15,53,18,9,3,9,5,,14,55,.255,5,25,.200,4,6,.667,3,22,5,7,2,18,21,2025,maryland
39542,6,2024-11-24,N,Villanova,W,76,75,28,56,.500,6,19,.316,14,19,.737,14,29,17,3,3,13,15,,29,62,.468,9,29,.310,8,9,.889,13,28,9,9,2,8,18,2025,maryland
39543,7,2024-11-27,,Bucknell,W,91,67,33,66,.500,12,31,.387,13,20,.650,6,32,18,6,4,7,21,,23,53,.434,9,24,.375,12,19,.632,6,33,16,3,1,19,22,2025,maryland
39544,8,2024-12-01,,Alcorn State,W,96,58,32,56,.571,11,23,.478,21,24,.875,8,40,25,10,11,12,17,,21,67,.313,5,20,.250,11,17,.647,11,26,8,6,2,13,19,2025,maryland
39545,9,2024-12-04,,Ohio State,W,83,59,29,62,.468,7,25,.280,18,24,.750,6,35,10,6,3,10,16,,22,58,.379,4,19,.211,11,18,.611,7,28,10,6,2,15,19,2025,maryland
39546,10,2024-12-08,@,Purdue,L,78,83,30,66,.455,11,26,.423,7,9,.778,10,32,15,4,5,10,18,,32,66,.485,9,26,.346,10,13,.769,9,32,13,4,4,8,13,2025,maryland
39547,11,2024-12-17,,Saint Francis (PA),W,111,57,42,68,.618,15,26,.577,12,17,.706,11,42,25,9,4,5,9,,24,59,.407,7,23,.304,2,3,.667,2,17,15,2,1,13,14,2025,maryland
39548,12,2024-12-21,N,Syracuse,W,87,60,35,73,.479,12,27,.444,5,6,.833,13,40,26,15,3,12,10,,25,58,.431,8,16,.500,2,2,1.000,6,28,17,5,1,20,8,2025,maryland
39549,13,2024-12-28,,Maryland-Eastern Shore,W,81,66,30,63,.476,5,18,.278,16,22,.727,13,34,17,8,3,12,14,,27,61,.443,4,16,.250,8,12,.667,12,32,8,7,2,11,18,2025,maryland
39550,14,2025-01-02,@,Washington,L,69,75,26,58,.448,2,11,.182,15,22,.682,5,24,7,7,5,11,23,,26,57,.456,5,24,.208,18,23,.783,10,31,11,7,2,12,19,2025,maryland
39551,15,2025-01-05,@,Oregon,L,79,83,28,59,.475,9,21,.429,14,19,.737,9,28,16,7,5,10,18,,29,56,.518,12,28,.429,13,15,.867,6,29,15,5,3,8,15,2025,maryland
39552,16,2025-01-10,,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39553,17,2025-01-13,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39554,18,2025-01-16,@,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39555,19,2025-01-19,,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39556,20,2025-01-23,@,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39557,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,maryland
39558,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,maryland
39559,21,2025-01-26,@,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39560,22,2025-01-29,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39561,23,2025-02-06,@,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39562,24,2025-02-09,,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39563,25,2025-02-13,@,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39564,26,2025-02-16,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39565,27,2025-02-20,,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39566,28,2025-02-26,,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39567,29,2025-03-01,@,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39568,30,2025-03-05,@,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
39569,31,2025-03-08,,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,maryland
