,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39701,1,2024-11-04,N,South Dakota State,L,73,80,23,59,.390,7,26,.269,20,27,.741,8,28,10,13,2,11,17,,28,61,.459,12,35,.343,12,16,.750,11,41,15,5,4,15,17,2025,mcneese-state
39702,2,2024-11-07,,,W,111,57,42,70,.600,10,30,.333,17,26,.654,13,41,27,15,2,12,15,,22,61,.361,3,21,.143,10,11,.909,7,27,14,6,0,20,19,2025,mcneese-state
39703,3,2024-11-11,@,Alabama,L,64,72,24,61,.393,7,24,.292,9,11,.818,8,30,3,7,0,12,22,,22,50,.440,11,34,.324,17,24,.708,9,31,16,8,5,13,12,2025,mcneese-state
39704,4,2024-11-18,,North Texas,W,68,61,19,43,.442,4,17,.235,26,39,.667,9,29,12,11,6,11,21,,17,54,.315,8,22,.364,19,23,.826,13,33,8,9,2,14,23,2025,mcneese-state
39705,5,2024-11-22,N,Illinois State,W,76,68,24,54,.444,8,20,.400,20,26,.769,10,34,10,5,3,5,21,,22,50,.440,11,26,.423,13,21,.619,5,26,14,3,3,7,19,2025,mcneese-state
39706,6,2024-11-24,N,Longwood,W,84,69,34,55,.618,4,14,.286,12,17,.706,8,26,12,13,5,14,23,,21,49,.429,7,20,.350,20,27,.741,11,25,10,6,1,19,17,2025,mcneese-state
39707,7,2024-11-25,N,Liberty,L,58,62,21,47,.447,1,12,.083,15,18,.833,8,26,5,7,1,13,15,,20,48,.417,11,31,.355,11,14,.786,5,23,14,5,2,11,13,2025,mcneese-state
39708,8,2024-12-03,,Santa Clara,L,67,74,24,61,.393,8,29,.276,11,17,.647,12,30,12,9,2,7,17,,23,56,.411,10,29,.345,18,19,.947,12,40,16,4,4,12,13,2025,mcneese-state
39709,9,2024-12-07,,LeTourneau,W,103,69,41,59,.695,10,21,.476,11,11,1.000,9,30,23,10,3,12,7,,28,56,.500,9,20,.450,4,5,.800,6,14,14,11,0,15,11,2025,mcneese-state
39710,10,2024-12-14,N,Mississippi State,L,63,66,22,53,.415,9,22,.409,10,17,.588,11,38,12,5,5,14,25,,19,52,.365,5,18,.278,23,33,.697,9,33,11,11,1,7,13,2025,mcneese-state
