,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39734,1,2024-11-04,,Missouri,W,83,75,26,57,.456,8,20,.400,23,30,.767,11,35,16,8,3,16,24,,26,57,.456,7,24,.292,16,25,.640,8,27,16,11,2,14,24,2025,memphis
39735,2,2024-11-09,@,UNLV,W,80,74,29,56,.518,6,17,.353,16,22,.727,8,37,17,4,3,13,19,,23,58,.397,9,25,.360,19,26,.731,9,29,12,10,4,10,21,2025,memphis
39736,3,2024-11-15,,Ohio,W,94,70,32,57,.561,13,18,.722,17,22,.773,4,31,19,13,6,14,12,,24,65,.369,12,31,.387,10,11,.909,9,29,15,7,6,16,13,2025,memphis
39737,4,2024-11-21,N,San Francisco,W,68,64,19,52,.365,7,19,.368,23,31,.742,8,33,8,10,9,15,23,,20,61,.328,6,28,.214,18,27,.667,14,41,8,9,6,15,25,2025,memphis
39738,5,2024-11-25,N,UConn,W (1 OT),99,97,29,53,.547,12,22,.545,29,40,.725,9,28,13,2,2,12,21,,32,65,.492,14,30,.467,19,24,.792,14,32,22,3,3,9,29,2025,memphis
39739,6,2024-11-26,N,Michigan State,W,71,63,26,55,.473,8,23,.348,11,14,.786,6,26,10,4,2,8,19,,22,52,.423,7,20,.350,12,19,.632,8,31,15,1,2,13,16,2025,memphis
39740,7,2024-11-27,N,Auburn,L,76,90,28,56,.500,6,9,.667,14,19,.737,8,26,7,3,0,11,17,,34,60,.567,8,24,.333,14,17,.824,11,31,23,6,5,9,17,2025,memphis
39741,8,2024-12-04,,Louisiana Tech,W,81,71,26,60,.433,6,17,.353,23,33,.697,18,36,14,13,5,13,14,,25,49,.510,13,23,.565,8,12,.667,6,23,15,7,7,19,20,2025,memphis
39742,9,2024-12-08,,Arkansas State,L,72,85,21,59,.356,7,22,.318,23,34,.676,15,36,9,9,3,20,21,,26,71,.366,12,36,.333,21,27,.778,14,40,16,8,4,14,25,2025,memphis
39743,10,2024-12-14,@,Clemson,W (1 OT),87,82,31,60,.517,12,25,.480,13,17,.765,10,30,17,7,5,14,16,,30,67,.448,10,31,.323,12,15,.800,10,29,16,6,3,13,16,2025,memphis
39744,11,2024-12-18,@,Virginia,W,64,62,21,56,.375,5,23,.217,17,21,.810,14,37,11,3,6,12,17,,21,53,.396,6,19,.316,14,18,.778,7,27,14,8,7,8,19,2025,memphis
39745,12,2024-12-21,,Mississippi State,L,66,79,19,53,.358,8,27,.296,20,26,.769,10,31,11,9,2,18,13,,31,70,.443,10,27,.370,7,10,.700,18,45,18,15,3,14,18,2025,memphis
39746,13,2024-12-28,,Ole Miss,W,87,70,29,61,.475,7,19,.368,22,31,.710,11,43,15,6,9,13,18,,24,66,.364,7,28,.250,15,21,.714,9,31,13,8,6,9,22,2025,memphis
39747,14,2025-01-02,@,Florida Atlantic,W,90,62,33,59,.559,10,18,.556,14,19,.737,12,41,15,6,4,19,16,,22,68,.324,5,31,.161,13,21,.619,16,28,7,11,3,12,16,2025,memphis
39748,15,2025-01-05,,North Texas,W,68,64,24,44,.545,5,13,.385,15,21,.714,4,19,7,8,3,15,18,,22,51,.431,4,18,.222,16,21,.762,11,29,11,7,3,13,21,2025,memphis
39749,16,2025-01-11,,East Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39750,17,2025-01-16,@,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39751,18,2025-01-19,@,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39752,19,2025-01-23,,Wichita State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39753,20,2025-01-26,,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39754,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,memphis
39755,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,memphis
39756,21,2025-01-30,@,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39757,22,2025-02-02,@,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39758,23,2025-02-05,,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39759,24,2025-02-09,,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39760,25,2025-02-13,@,South Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39761,26,2025-02-16,@,Wichita State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39762,27,2025-02-23,,Florida Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39763,28,2025-02-26,,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39764,29,2025-03-02,@,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39765,30,2025-03-04,@,UTSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
39766,31,2025-03-07,,South Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,memphis
