,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39767,1,2024-11-07,,Virginia-Lynchburg,W,125,54,52,87,.598,13,30,.433,8,11,.727,20,56,27,17,1,13,14,,20,64,.313,5,16,.313,9,12,.750,4,20,11,12,2,22,10,2025,mercer
39768,2,2024-11-11,@,DePaul,L,64,95,24,61,.393,4,24,.167,12,23,.522,13,29,10,11,2,21,22,,34,62,.548,9,25,.360,18,25,.720,10,36,21,10,3,14,19,2025,mercer
39769,3,2024-11-13,,Trinity Baptist,W,101,43,38,79,.481,12,38,.316,13,20,.650,14,49,23,21,4,12,14,,16,65,.246,1,22,.045,10,13,.769,7,35,9,7,3,24,16,2025,mercer
39770,4,2024-11-16,@,South Alabama,L,66,75,22,58,.379,12,32,.375,10,11,.909,3,31,14,7,4,11,17,,25,60,.417,8,32,.250,17,25,.680,11,41,13,8,4,8,11,2025,mercer
39771,5,2024-11-21,@,South Carolina,L,72,84,26,57,.456,12,26,.462,8,9,.889,6,30,16,7,2,12,24,,27,55,.491,12,27,.444,18,29,.621,8,30,13,8,2,9,12,2025,mercer
39772,6,2024-11-25,N,Jacksonville,W (1 OT),90,89,36,62,.581,7,21,.333,11,16,.688,7,29,14,10,4,18,20,,32,72,.444,8,22,.364,17,24,.708,18,39,12,13,4,15,17,2025,mercer
39773,7,2024-11-26,N,Miami (OH),L,72,75,27,62,.435,7,24,.292,11,15,.733,11,30,9,12,1,18,14,,27,53,.509,5,24,.208,16,18,.889,5,26,9,12,3,18,12,2025,mercer
39774,8,2024-12-04,,West Georgia,W,86,72,32,61,.525,10,31,.323,12,18,.667,13,37,20,5,4,7,17,,25,59,.424,8,24,.333,14,15,.933,10,28,11,4,1,11,16,2025,mercer
39775,9,2024-12-08,@,Stetson,W (1 OT),89,83,30,67,.448,11,28,.393,18,27,.667,8,34,17,8,2,9,20,,27,63,.429,11,29,.379,18,21,.857,8,38,12,5,3,16,24,2025,mercer
39776,10,2024-12-15,,Chicago State,W,75,63,29,66,.439,4,24,.167,13,16,.813,10,39,11,7,2,9,9,,24,65,.369,9,31,.290,6,8,.750,10,35,19,6,4,11,14,2025,mercer
39777,11,2024-12-18,@,Queens (NC),L,66,73,25,66,.379,4,25,.160,12,17,.706,10,36,7,11,5,14,19,,23,57,.404,8,19,.421,19,24,.792,8,37,17,10,8,17,14,2025,mercer
