,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40414,1.0,1.0,2024-11-04,@,George Washington,REG (Non-Conf),L,59.0,76.0,,21.0,56.0,0.375,6.0,17.0,0.353,15.0,39.0,0.385,0.429,11.0,13.0,0.846,8.0,16.0,24.0,11.0,3.0,4.0,12.0,23.0,24.0,53.0,0.453,4.0,23.0,0.174,20.0,30.0,0.667,0.491,24.0,34.0,0.706,11.0,23.0,34.0,14.0,9.0,1.0,12.0,17.0,2025,mercyhurst
40415,2.0,2.0,2024-11-06,@,Morgan State,REG (Non-Conf),W,78.0,73.0,,26.0,59.0,0.441,5.0,17.0,0.294,21.0,42.0,0.5,0.483,21.0,25.0,0.84,14.0,15.0,29.0,13.0,10.0,2.0,14.0,17.0,26.0,53.0,0.491,3.0,8.0,0.375,23.0,45.0,0.511,0.519,18.0,24.0,0.75,11.0,18.0,29.0,9.0,6.0,3.0,18.0,26.0,2025,mercyhurst
40416,3.0,3.0,2024-11-09,,Houghton,REG (Non-Conf),W,88.0,62.0,,31.0,58.0,0.534,8.0,17.0,0.471,23.0,41.0,0.561,0.603,18.0,21.0,0.857,8.0,18.0,26.0,22.0,14.0,3.0,12.0,16.0,22.0,48.0,0.458,5.0,17.0,0.294,17.0,31.0,0.548,0.51,13.0,15.0,0.867,8.0,16.0,24.0,11.0,6.0,1.0,22.0,15.0,2025,mercyhurst
40417,4.0,4.0,2024-11-13,,Canisius,REG (Non-Conf),W,62.0,52.0,,22.0,56.0,0.393,6.0,23.0,0.261,16.0,33.0,0.485,0.446,12.0,18.0,0.667,8.0,20.0,28.0,15.0,7.0,2.0,6.0,11.0,17.0,45.0,0.378,8.0,23.0,0.348,9.0,22.0,0.409,0.467,10.0,12.0,0.833,8.0,24.0,32.0,7.0,5.0,5.0,14.0,17.0,2025,mercyhurst
40418,5.0,5.0,2024-11-16,@,Columbia,REG (Non-Conf),L,63.0,77.0,,21.0,51.0,0.412,8.0,20.0,0.4,13.0,31.0,0.419,0.49,13.0,18.0,0.722,6.0,15.0,21.0,16.0,5.0,3.0,10.0,15.0,30.0,56.0,0.536,9.0,20.0,0.45,21.0,36.0,0.583,0.616,8.0,13.0,0.615,10.0,25.0,35.0,21.0,4.0,1.0,12.0,13.0,2025,mercyhurst
40419,6.0,6.0,2024-11-19,,Mt. Aloysius,REG (Non-Conf),W,98.0,45.0,,38.0,78.0,0.487,5.0,29.0,0.172,33.0,49.0,0.673,0.519,17.0,25.0,0.68,20.0,29.0,49.0,18.0,14.0,4.0,8.0,20.0,12.0,45.0,0.267,3.0,17.0,0.176,9.0,28.0,0.321,0.3,18.0,25.0,0.72,3.0,21.0,24.0,4.0,5.0,0.0,24.0,23.0,2025,mercyhurst
40420,7.0,7.0,2024-11-24,@,Air Force,REG (Non-Conf),L,48.0,82.0,,17.0,51.0,0.333,4.0,21.0,0.19,13.0,30.0,0.433,0.373,10.0,14.0,0.714,5.0,13.0,18.0,9.0,7.0,5.0,6.0,13.0,31.0,48.0,0.646,15.0,21.0,0.714,16.0,27.0,0.593,0.802,5.0,9.0,0.556,4.0,29.0,33.0,26.0,4.0,2.0,11.0,15.0,2025,mercyhurst
40421,8.0,8.0,2024-11-27,@,California,REG (Non-Conf),L,55.0,81.0,,20.0,53.0,0.377,3.0,13.0,0.231,17.0,40.0,0.425,0.406,12.0,16.0,0.75,4.0,17.0,21.0,7.0,5.0,1.0,10.0,16.0,29.0,53.0,0.547,11.0,21.0,0.524,18.0,32.0,0.563,0.651,12.0,18.0,0.667,6.0,28.0,34.0,14.0,4.0,6.0,13.0,14.0,2025,mercyhurst
40422,9.0,9.0,2024-11-30,@,Sacramento State,REG (Non-Conf),W,66.0,60.0,,22.0,47.0,0.468,10.0,25.0,0.4,12.0,22.0,0.545,0.574,12.0,16.0,0.75,6.0,21.0,27.0,16.0,9.0,0.0,13.0,20.0,19.0,47.0,0.404,8.0,22.0,0.364,11.0,25.0,0.44,0.489,14.0,20.0,0.7,10.0,22.0,32.0,12.0,7.0,1.0,15.0,20.0,2025,mercyhurst
40423,10.0,10.0,2024-12-01,@,San Francisco,REG (Non-Conf),L,59.0,87.0,,25.0,53.0,0.472,6.0,13.0,0.462,19.0,40.0,0.475,0.528,3.0,3.0,1.0,2.0,18.0,20.0,10.0,8.0,0.0,10.0,18.0,32.0,55.0,0.582,6.0,18.0,0.333,26.0,37.0,0.703,0.636,17.0,31.0,0.548,13.0,24.0,37.0,19.0,9.0,5.0,10.0,12.0,2025,mercyhurst
40424,11.0,11.0,2024-12-07,,Lafayette,REG (Non-Conf),L,73.0,77.0,,24.0,51.0,0.471,12.0,23.0,0.522,12.0,28.0,0.429,0.588,13.0,17.0,0.765,6.0,16.0,22.0,16.0,8.0,2.0,8.0,16.0,26.0,51.0,0.51,11.0,22.0,0.5,15.0,29.0,0.517,0.618,14.0,21.0,0.667,11.0,18.0,29.0,15.0,3.0,7.0,14.0,15.0,2025,mercyhurst
40425,12.0,12.0,2024-12-10,,Penn St.-Altoona,REG (Non-Conf),W,77.0,51.0,,31.0,60.0,0.517,5.0,15.0,0.333,26.0,45.0,0.578,0.558,10.0,13.0,0.769,5.0,22.0,27.0,12.0,14.0,7.0,14.0,16.0,15.0,49.0,0.306,6.0,16.0,0.375,9.0,33.0,0.273,0.367,15.0,18.0,0.833,10.0,20.0,30.0,7.0,6.0,7.0,26.0,13.0,2025,mercyhurst
40426,13.0,13.0,2024-12-15,@,Kent State,REG (Non-Conf),L,57.0,82.0,,23.0,52.0,0.442,6.0,18.0,0.333,17.0,34.0,0.5,0.5,5.0,6.0,0.833,3.0,15.0,18.0,12.0,4.0,3.0,13.0,19.0,28.0,59.0,0.475,7.0,20.0,0.35,21.0,39.0,0.538,0.534,19.0,24.0,0.792,11.0,21.0,32.0,15.0,7.0,5.0,7.0,10.0,2025,mercyhurst
40427,14.0,14.0,2024-12-18,@,Binghamton,REG (Non-Conf),L,60.0,62.0,,21.0,52.0,0.404,3.0,16.0,0.188,18.0,36.0,0.5,0.433,15.0,18.0,0.833,6.0,24.0,30.0,6.0,7.0,5.0,11.0,15.0,22.0,48.0,0.458,5.0,16.0,0.313,17.0,32.0,0.531,0.51,13.0,20.0,0.65,2.0,25.0,27.0,15.0,8.0,3.0,10.0,15.0,2025,mercyhurst
40428,15.0,15.0,2024-12-22,@,West Virginia,REG (Non-Conf),L,46.0,67.0,,15.0,53.0,0.283,5.0,17.0,0.294,10.0,36.0,0.278,0.33,11.0,14.0,0.786,10.0,21.0,31.0,8.0,4.0,1.0,14.0,15.0,25.0,52.0,0.481,5.0,19.0,0.263,20.0,33.0,0.606,0.529,12.0,18.0,0.667,7.0,27.0,34.0,14.0,7.0,3.0,11.0,15.0,2025,mercyhurst
