,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39866,1,2024-11-04,,FDU,W,113,72,46,69,.667,7,17,.412,14,18,.778,9,36,16,11,1,7,21,,25,53,.472,7,23,.304,15,24,.625,5,17,10,2,1,14,19,2025,miami-fl
39867,2,2024-11-10,,Binghamton,W,88,64,28,58,.483,11,31,.355,21,25,.840,6,33,17,10,1,7,14,,23,55,.418,8,24,.333,10,15,.667,4,27,20,3,4,12,17,2025,miami-fl
39868,3,2024-11-17,,Coppin State,W,93,63,36,64,.563,14,27,.519,7,9,.778,8,40,21,7,7,8,14,,23,56,.411,5,16,.313,12,21,.571,7,23,11,6,2,8,12,2025,miami-fl
39869,4,2024-11-21,N,Drake,L,69,80,18,44,.409,8,21,.381,25,29,.862,5,23,8,3,1,9,25,,26,56,.464,4,19,.211,24,28,.857,13,33,15,3,1,6,23,2025,miami-fl
39870,5,2024-11-22,N,Oklahoma State,L,74,80,26,58,.448,6,24,.250,16,21,.762,13,32,10,3,5,12,14,,27,57,.474,10,22,.455,16,21,.762,10,26,11,6,3,6,18,2025,miami-fl
39871,6,2024-11-24,N,VCU,L,70,77,24,60,.400,6,23,.261,16,19,.842,10,29,13,6,0,8,14,,28,55,.509,10,28,.357,11,15,.733,9,32,15,5,6,11,19,2025,miami-fl
39872,7,2024-11-30,,Charleston Southern,L,79,83,28,59,.475,12,33,.364,11,14,.786,7,27,16,7,4,8,13,,32,63,.508,11,24,.458,8,11,.727,10,31,15,5,0,12,14,2025,miami-fl
39873,8,2024-12-03,,Arkansas,L,73,76,29,60,.483,9,29,.310,6,8,.750,8,31,14,3,4,11,12,,30,62,.484,11,23,.478,5,9,.556,6,27,17,7,2,10,14,2025,miami-fl
39874,9,2024-12-07,,Clemson,L,55,65,23,56,.411,4,25,.160,5,6,.833,11,34,5,3,2,11,11,,23,58,.397,9,27,.333,10,12,.833,10,30,10,4,3,7,12,2025,miami-fl
39875,10,2024-12-10,N,Tennessee,L,62,75,24,61,.393,8,33,.242,6,10,.600,7,29,11,9,1,12,12,,25,52,.481,10,25,.400,15,18,.833,4,33,16,5,5,11,10,2025,miami-fl
39876,11,2024-12-15,,Presbyterian,W,94,75,35,52,.673,7,14,.500,17,22,.773,5,34,15,1,4,7,13,,29,63,.460,9,27,.333,8,12,.667,8,22,11,4,4,3,17,2025,miami-fl
