,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39964,1,2024-11-04,,Monmouth,W,81,57,30,61,.492,3,18,.167,18,27,.667,12,41,23,6,8,13,15,,17,61,.279,8,27,.296,15,16,.938,7,26,9,7,2,14,23,2025,michigan-state
39965,2,2024-11-07,,Niagara,W,96,60,35,67,.522,6,18,.333,20,25,.800,15,43,20,6,1,9,15,,20,53,.377,9,26,.346,11,18,.611,5,23,11,5,1,15,22,2025,michigan-state
39966,3,2024-11-12,N,Kansas,L,69,77,24,69,.348,3,24,.125,18,21,.857,10,39,11,5,4,10,18,,28,69,.406,5,17,.294,16,22,.727,9,43,17,7,5,10,19,2025,michigan-state
39967,4,2024-11-16,,Bowling Green State,W,86,72,27,59,.458,4,20,.200,28,32,.875,13,40,20,7,7,11,12,,27,62,.435,5,26,.192,13,14,.929,5,23,12,8,4,12,26,2025,michigan-state
39968,5,2024-11-19,,Samford,W,83,75,28,55,.509,7,24,.292,20,23,.870,8,28,21,13,2,14,15,,28,57,.491,9,26,.346,10,14,.714,11,29,20,7,4,19,21,2025,michigan-state
39969,6,2024-11-25,N,Colorado,W,72,56,30,61,.492,2,21,.095,10,13,.769,9,37,11,6,4,11,17,,20,54,.370,4,19,.211,12,20,.600,5,27,13,7,1,12,14,2025,michigan-state
39970,7,2024-11-26,N,Memphis,L,63,71,22,52,.423,7,20,.350,12,19,.632,8,31,15,1,2,13,16,,26,55,.473,8,23,.348,11,14,.786,6,26,10,4,2,8,19,2025,michigan-state
39971,8,2024-11-27,N,UNC,W (1 OT),94,91,33,61,.541,4,16,.250,24,31,.774,7,35,16,7,4,10,19,,32,64,.500,11,23,.478,16,21,.762,5,28,17,8,4,11,22,2025,michigan-state
39972,9,2024-12-04,@,Minnesota,W,90,72,29,55,.527,11,22,.500,21,26,.808,9,34,25,5,5,9,16,,26,59,.441,9,28,.321,11,17,.647,8,24,15,5,4,7,21,2025,michigan-state
39973,10,2024-12-07,,Nebraska,W,89,52,29,56,.518,9,23,.391,22,23,.957,11,46,20,4,5,14,17,,18,54,.333,4,22,.182,12,18,.667,4,19,8,8,0,11,20,2025,michigan-state
39974,11,2024-12-17,N,Oakland,W,77,58,26,60,.433,6,17,.353,19,23,.826,15,44,14,3,11,12,14,,19,63,.302,11,31,.355,9,17,.529,15,29,12,6,5,8,17,2025,michigan-state
39975,12,2024-12-21,,Florida Atlantic,W,86,69,31,69,.449,8,21,.381,16,20,.800,14,48,21,3,6,9,17,,27,68,.397,4,22,.182,11,14,.786,9,34,16,5,4,9,22,2025,michigan-state
39976,13,2024-12-30,,Western Michigan,W,80,62,27,54,.500,6,20,.300,20,22,.909,8,37,20,6,7,16,14,,24,58,.414,7,23,.304,7,17,.412,8,24,14,8,2,15,17,2025,michigan-state
39977,14,2025-01-03,@,Ohio State,W,69,62,24,55,.436,3,18,.167,18,22,.818,11,32,13,5,5,16,13,,22,60,.367,7,27,.259,11,16,.688,13,31,9,11,2,12,19,2025,michigan-state
39978,15,2025-01-09,,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39979,16,2025-01-12,@,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39980,17,2025-01-15,,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39981,18,2025-01-19,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39982,19,2025-01-25,@,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39983,20,2025-01-28,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39984,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,michigan-state
39985,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,michigan-state
39986,21,2025-02-01,@,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39987,22,2025-02-04,@,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39988,23,2025-02-08,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39989,24,2025-02-11,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39990,25,2025-02-15,@,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39991,26,2025-02-18,,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39992,27,2025-02-21,@,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39993,28,2025-02-26,@,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39994,29,2025-03-02,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39995,30,2025-03-06,@,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
39996,31,2025-03-09,,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,michigan-state
