,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
39997,1,2024-11-04,,Oglethorpe,W,97,51,37,70,.529,9,24,.375,14,24,.583,13,48,16,10,7,7,23,,16,55,.291,3,20,.150,16,23,.696,2,25,6,4,1,14,16,2025,middle-tennessee
39998,2,2024-11-09,@,Abilene Christian,W,79,56,31,60,.517,6,17,.353,11,14,.786,7,30,13,14,4,13,21,,19,49,.388,2,14,.143,16,25,.640,9,29,9,8,5,19,15,2025,middle-tennessee
39999,3,2024-11-13,,Evansville,W,80,63,29,59,.492,2,15,.133,20,23,.870,12,44,9,5,6,16,20,,21,61,.344,4,28,.143,17,25,.680,8,26,9,6,3,12,18,2025,middle-tennessee
40000,4,2024-11-16,,Murray State,L,67,88,25,64,.391,4,23,.174,13,19,.684,9,27,9,5,4,7,16,,32,52,.615,10,19,.526,14,16,.875,4,31,19,3,6,10,14,2025,middle-tennessee
40001,5,2024-11-21,N,Ohio,W (1 OT),83,81,28,64,.438,6,17,.353,21,32,.656,14,46,13,7,3,18,24,,27,67,.403,6,29,.207,21,29,.724,8,33,20,13,1,13,25,2025,middle-tennessee
40002,6,2024-11-22,N,South Florida,W,95,88,34,59,.576,12,23,.522,15,21,.714,8,26,18,7,2,11,19,,27,53,.509,10,26,.385,24,27,.889,6,24,13,8,3,13,19,2025,middle-tennessee
40003,7,2024-11-24,N,Bradley,L,69,80,26,65,.400,6,26,.231,11,16,.688,11,31,9,6,4,5,13,,29,58,.500,10,22,.455,12,12,1.000,7,32,19,3,6,9,15,2025,middle-tennessee
40004,8,2024-12-01,@,UAB,W,76,69,25,61,.410,7,24,.292,19,24,.792,11,38,13,6,3,8,16,,26,70,.371,4,22,.182,13,22,.591,17,38,7,4,3,8,16,2025,middle-tennessee
40005,9,2024-12-04,,Rhodes,W,103,55,39,69,.565,7,24,.292,18,31,.581,18,48,16,14,5,8,16,,19,58,.328,3,29,.103,14,18,.778,8,22,5,4,0,17,22,2025,middle-tennessee
40006,10,2024-12-07,@,Belmont,L,79,82,30,66,.455,10,26,.385,9,12,.750,11,37,15,5,6,14,19,,31,73,.425,6,19,.316,14,21,.667,18,40,19,11,2,8,12,2025,middle-tennessee
40007,11,2024-12-16,,California Baptist,W,75,64,26,59,.441,8,23,.348,15,22,.682,8,38,8,6,4,11,21,,20,64,.313,4,24,.167,20,28,.714,10,35,7,4,3,7,18,2025,middle-tennessee
40008,12,2024-12-19,,Lipscomb,W,67,65,24,63,.381,6,21,.286,13,22,.591,18,45,8,5,3,11,17,,24,52,.462,4,18,.222,13,17,.765,3,28,12,6,7,8,17,2025,middle-tennessee
40009,13,2024-12-23,@,Tennessee,L,64,82,24,59,.407,9,30,.300,7,14,.500,3,25,5,7,2,11,21,,27,56,.482,10,22,.455,18,23,.783,6,35,19,6,4,11,13,2025,middle-tennessee
