,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40030,1,2024-11-04,,Lakeland,W,118,62,47,81,.580,5,20,.250,19,26,.731,19,53,28,15,4,10,17,,21,58,.362,7,23,.304,13,19,.684,4,22,14,5,6,19,20,2025,milwaukee
40031,2,2024-11-07,@,Northern Iowa,L,68,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,milwaukee
40032,3,2024-11-13,@,Longwood,L,62,76,23,64,.359,4,24,.167,12,20,.600,7,33,8,9,0,20,31,,22,56,.393,4,16,.250,28,40,.700,11,40,14,13,7,18,22,2025,milwaukee
40033,4,2024-11-19,@,Duquesne,W,80,74,27,52,.519,7,20,.350,19,30,.633,8,35,14,8,3,12,17,,25,60,.417,9,31,.290,15,23,.652,13,32,15,7,1,11,23,2025,milwaukee
40034,5,2024-11-22,,Portland State,W,91,74,37,67,.552,7,18,.389,10,13,.769,15,41,19,6,6,15,21,,27,63,.429,5,17,.294,15,22,.682,11,26,12,9,5,8,14,2025,milwaukee
40035,6,2024-11-23,,Wofford,W,76,74,26,57,.456,5,17,.294,19,33,.576,12,37,10,3,2,7,17,,30,61,.492,6,24,.250,8,15,.533,9,27,13,2,4,7,28,2025,milwaukee
40036,7,2024-11-24,,St. Thomas,W,69,65,25,54,.463,6,17,.353,13,22,.591,11,36,13,9,2,16,15,,21,53,.396,8,28,.286,15,18,.833,4,23,8,8,2,14,24,2025,milwaukee
40037,8,2024-11-27,@,UCF,L,76,84,30,65,.462,8,22,.364,8,14,.571,12,38,14,5,2,13,13,,30,63,.476,11,24,.458,13,16,.813,3,24,17,6,3,8,12,2025,milwaukee
40038,9,2024-11-30,@,Southern Miss,L,65,66,27,54,.500,3,16,.188,8,17,.471,12,34,8,6,6,17,13,,23,58,.397,10,23,.435,10,12,.833,10,26,16,9,4,11,15,2025,milwaukee
40039,10,2024-12-05,,Cleveland State,W,79,67,23,52,.442,5,21,.238,28,37,.757,18,37,13,7,6,12,13,,27,57,.474,5,15,.333,8,12,.667,8,23,11,11,3,12,26,2025,milwaukee
40040,11,2024-12-11,@,Green Bay,W,88,67,34,69,.493,12,29,.414,8,15,.533,22,44,15,6,3,15,18,,23,53,.434,7,24,.292,14,17,.824,6,20,12,5,4,13,15,2025,milwaukee
40041,12,2024-12-15,N,Akron,W,100,81,37,64,.578,11,19,.579,15,20,.750,11,43,19,12,3,22,16,,34,72,.472,8,20,.400,5,11,.455,5,24,16,10,2,17,20,2025,milwaukee
