,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40701,1,1,2024-11-06,,Oral Roberts,REG (Non-Conf),W,80,57,,30,52,.577,11,18,.611,19,34,.559,.683,9,17,.529,5,25,30,25,8,5,8,13,20,58,.345,7,23,.304,13,35,.371,.405,10,11,.909,9,21,30,9,7,4,13,14,2025,minnesota
40702,2,2,2024-11-09,,Omaha,REG (Non-Conf),W,68,64,,25,55,.455,3,17,.176,22,38,.579,.482,15,26,.577,7,19,26,14,7,7,11,19,21,51,.412,6,20,.300,15,31,.484,.471,16,23,.696,9,25,34,12,6,1,16,20,2025,minnesota
40703,3,3,2024-11-13,,North Texas,REG (Non-Conf),L,51,54,,15,48,.313,6,23,.261,9,25,.360,.375,15,22,.682,8,25,33,9,1,4,12,17,20,53,.377,5,17,.294,15,36,.417,.425,9,16,.563,9,23,32,9,7,2,5,20,2025,minnesota
40704,4,4,2024-11-16,,Yale,REG (Non-Conf),W,59,56,,20,55,.364,3,17,.176,17,38,.447,.391,16,26,.615,12,17,29,12,7,3,2,15,20,45,.444,7,14,.500,13,31,.419,.522,9,12,.750,8,24,32,15,1,4,12,22,2025,minnesota
40705,5,5,2024-11-19,,Cleveland State,REG (Non-Conf),W,58,47,,20,52,.385,3,15,.200,17,37,.459,.413,15,19,.789,7,27,34,13,6,6,14,9,19,54,.352,5,20,.250,14,34,.412,.398,4,4,1.000,5,23,28,11,9,4,15,17,2025,minnesota
40706,6,6,2024-11-25,,Central Michigan,REG (Non-Conf),W,68,65,,24,54,.444,10,27,.370,14,27,.519,.537,10,17,.588,6,28,34,17,3,6,10,16,26,62,.419,7,24,.292,19,38,.500,.476,6,10,.600,8,25,33,12,6,2,8,16,2025,minnesota
40707,7,7,2024-11-28,N,Wichita State,REG (Non-Conf),L,66,68,OT,27,65,.415,3,23,.130,24,42,.571,.438,9,17,.529,13,23,36,18,7,8,11,15,27,60,.450,4,14,.286,23,46,.500,.483,10,14,.714,6,25,31,7,5,5,12,17,2025,minnesota
40708,8,8,2024-11-29,N,Wake Forest,REG (Non-Conf),L,51,57,,21,51,.412,3,18,.167,18,33,.545,.441,6,15,.400,8,17,25,8,8,2,11,16,21,53,.396,1,15,.067,20,38,.526,.406,14,16,.875,11,27,38,9,8,3,13,15,2025,minnesota
40709,9,9,2024-12-01,,Bethune-Cookman,REG (Non-Conf),W,79,62,,29,61,.475,11,23,.478,18,38,.474,.566,10,12,.833,9,25,34,25,7,4,9,13,24,52,.462,10,20,.500,14,32,.438,.558,4,9,.444,3,20,23,12,5,5,9,13,2025,minnesota
40710,10,10,2024-12-04,,Michigan State,REG (Conf),L,72,90,,26,59,.441,9,28,.321,17,31,.548,.517,11,17,.647,8,16,24,15,5,4,7,21,29,55,.527,11,22,.500,18,33,.545,.627,21,26,.808,9,25,34,25,5,5,9,16,2025,minnesota
40711,11,11,2024-12-09,@,Indiana,REG (Conf),L,67,82,,26,55,.473,2,11,.182,24,44,.545,.491,13,15,.867,6,16,22,12,10,6,12,24,30,53,.566,4,14,.286,26,39,.667,.604,18,29,.621,10,22,32,21,6,3,13,14,2025,minnesota
40712,12,12,2024-12-21,,FDU,REG (Non-Conf),W,74,60,,27,55,.491,5,20,.250,22,35,.629,.536,15,18,.833,6,30,36,19,5,7,10,12,23,67,.343,8,26,.308,15,41,.366,.403,6,8,.750,7,20,27,16,6,2,7,18,2025,minnesota
