,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40096,1,2024-11-04,,LIU,W,90,60,28,57,.491,9,22,.409,25,32,.781,9,36,12,10,13,14,18,,20,58,.345,5,15,.333,15,24,.625,8,26,6,9,5,15,22,2025,mississippi
40097,2,2024-11-08,,Grambling,W,66,64,23,65,.354,6,26,.231,14,18,.778,9,29,13,14,5,6,20,,21,45,.467,9,19,.474,13,20,.650,4,31,10,5,7,21,18,2025,mississippi
40098,3,2024-11-12,,South Alabama,W,64,54,21,64,.328,13,38,.342,9,14,.643,11,38,18,7,2,9,11,,20,52,.385,7,25,.280,7,11,.636,5,34,15,6,6,13,16,2025,mississippi
40099,4,2024-11-16,N,Colorado State,W,84,69,28,55,.509,9,19,.474,19,26,.731,6,24,15,9,1,4,15,,24,50,.480,9,26,.346,10,11,.909,5,25,19,0,1,14,22,2025,mississippi
40100,5,2024-11-21,,Oral Roberts,W,100,68,37,69,.536,10,26,.385,16,22,.727,14,35,26,13,3,8,20,,23,54,.426,9,29,.310,13,18,.722,4,18,8,6,0,21,14,2025,mississippi
40101,6,2024-11-28,N,BYU,W (1 OT),96,85,31,64,.484,5,17,.294,29,36,.806,7,35,11,10,1,9,21,,26,64,.406,12,38,.316,21,26,.808,10,34,15,5,2,15,29,2025,mississippi
40102,7,2024-11-29,N,Purdue,L,78,80,26,61,.426,15,36,.417,11,13,.846,7,22,16,7,1,6,20,,26,48,.542,10,22,.455,18,26,.692,9,35,19,2,3,10,12,2025,mississippi
40103,8,2024-12-03,@,Louisville,W,86,63,34,60,.567,8,20,.400,10,13,.769,4,29,14,10,5,7,21,,19,57,.333,5,30,.167,20,30,.667,15,36,8,2,1,12,14,2025,mississippi
40104,9,2024-12-07,,Lindenwood,W,86,53,31,60,.517,8,23,.348,16,22,.727,8,36,19,8,8,7,16,,18,51,.353,6,21,.286,11,19,.579,8,29,9,5,2,14,19,2025,mississippi
40105,10,2024-12-14,N,Southern Miss,W,77,46,26,58,.448,13,32,.406,12,20,.600,12,37,17,12,5,9,14,,16,49,.327,4,23,.174,10,15,.667,7,30,12,5,8,16,16,2025,mississippi
40106,11,2024-12-17,,Southern,W,74,61,22,53,.415,10,25,.400,20,29,.690,7,30,18,14,10,17,16,,22,58,.379,7,23,.304,10,18,.556,10,32,14,14,6,18,24,2025,mississippi
40107,12,2024-12-21,,Queens (NC),W,80,62,31,65,.477,7,27,.259,11,14,.786,8,32,21,11,5,7,12,,23,51,.451,11,31,.355,5,11,.455,5,29,19,5,4,20,11,2025,mississippi
40108,13,2024-12-28,@,Memphis,L,70,87,24,66,.364,7,28,.250,15,21,.714,9,31,13,8,6,9,22,,29,61,.475,7,19,.368,22,31,.710,11,43,15,6,9,13,18,2025,mississippi
40109,14,2025-01-04,,Georgia,W,63,51,21,51,.412,6,16,.375,15,21,.714,9,29,11,10,10,13,16,,17,58,.293,2,18,.111,15,17,.882,14,32,5,9,4,13,14,2025,mississippi
40110,15,2025-01-08,@,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40111,16,2025-01-11,,LSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40112,17,2025-01-14,@,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40113,18,2025-01-18,@,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40114,19,2025-01-22,,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40115,20,2025-01-25,@,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40116,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,mississippi
40117,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,mississippi
40118,21,2025-01-29,,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40119,22,2025-02-01,,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40120,23,2025-02-04,,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40121,24,2025-02-08,@,LSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40122,25,2025-02-12,@,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40123,26,2025-02-15,,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40124,27,2025-02-22,@,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40125,28,2025-02-26,@,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40126,29,2025-03-01,,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40127,30,2025-03-05,,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
40128,31,2025-03-08,@,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,mississippi
