,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40811,1.0,1.0,2024-11-04,@,Iowa State,REG (Non-Conf),L,44,83,,19,51,0.373,1,12,0.083,18,39,0.462,0.382,5,11,0.455,5,24,29,8,9,1,23,19,28,59,0.475,5,21,0.238,23,38,0.605,0.517,22,29,0.759,11,25,36,16,16,6,12,12,2025,mississippi-valley-state
40812,2.0,2.0,2024-11-07,,,REG (Non-Conf),W,66,49,,26,48,0.542,8,16,0.5,18,32,0.563,0.625,6,12,0.5,3,27,30,15,5,7,12,11,18,60,0.3,6,21,0.286,12,39,0.308,0.35,7,8,0.875,10,20,30,9,8,0,10,11,2025,mississippi-valley-state
40813,3.0,3.0,2024-11-14,@,Missouri,REG (Non-Conf),L,39,111,,13,48,0.271,1,10,0.1,12,38,0.316,0.281,12,15,0.8,8,16,24,3,2,5,22,22,37,65,0.569,15,31,0.484,22,34,0.647,0.685,22,35,0.629,14,22,36,21,15,4,4,14,2025,mississippi-valley-state
40814,4.0,4.0,2024-11-16,@,Texas,REG (Non-Conf),L,43,89,,17,51,0.333,1,11,0.091,16,40,0.4,0.343,8,13,0.615,5,14,19,4,5,0,12,25,29,45,0.644,5,14,0.357,24,31,0.774,0.7,26,36,0.722,7,26,33,11,7,7,7,14,2025,mississippi-valley-state
40815,5.0,5.0,2024-11-19,@,Kansas State,REG (Non-Conf),L,56,74,,20,53,0.377,8,19,0.421,12,34,0.353,0.453,8,8,1.0,7,20,27,12,7,3,15,19,23,64,0.359,3,23,0.13,20,41,0.488,0.383,25,27,0.926,20,22,42,15,8,5,10,12,2025,mississippi-valley-state
40816,6.0,6.0,2024-11-23,@,Brigham Young,REG (Non-Conf),L,43,87,,17,45,0.378,2,10,0.2,15,35,0.429,0.4,7,10,0.7,4,18,22,8,8,2,16,15,31,58,0.534,11,32,0.344,20,26,0.769,0.629,14,19,0.737,11,24,35,21,12,3,9,11,2025,mississippi-valley-state
40817,7.0,7.0,2024-11-26,@,Utah,REG (Non-Conf),L,48,94,,16,47,0.34,4,12,0.333,12,35,0.343,0.383,12,18,0.667,6,14,20,9,5,0,14,18,33,59,0.559,14,29,0.483,19,30,0.633,0.678,14,20,0.7,12,25,37,29,8,1,10,18,2025,mississippi-valley-state
40818,8.0,8.0,2024-11-29,@,UC Santa Barbara,REG (Non-Conf),L,48,81,,19,53,0.358,4,13,0.308,15,40,0.375,0.396,6,9,0.667,8,12,20,5,5,1,13,15,29,58,0.5,10,27,0.37,19,31,0.613,0.586,13,21,0.619,13,21,34,19,7,5,7,12,2025,mississippi-valley-state
40819,9.0,9.0,2024-12-02,,,REG (Non-Conf),W,91,71,,35,64,0.547,4,12,0.333,31,52,0.596,0.578,17,29,0.586,17,25,42,14,15,2,21,12,28,57,0.491,6,18,0.333,22,39,0.564,0.544,9,12,0.75,4,14,18,15,14,2,21,19,2025,mississippi-valley-state
40820,10.0,10.0,2024-12-07,@,Liberty,REG (Non-Conf),L,52,89,,20,48,0.417,2,11,0.182,18,37,0.486,0.438,10,15,0.667,5,18,23,6,6,0,17,13,29,52,0.558,16,33,0.485,13,19,0.684,0.712,15,20,0.75,5,21,26,18,9,3,10,10,2025,mississippi-valley-state
