,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40195,1,2024-11-04,@,Memphis,L,75,83,26,57,.456,7,24,.292,16,25,.640,8,27,16,11,2,14,24,,26,57,.456,8,20,.400,23,30,.767,11,35,16,8,3,16,24,2025,missouri
40196,2,2024-11-08,,Howard,W,77,62,24,51,.471,3,22,.136,26,31,.839,7,30,9,11,4,12,14,,22,55,.400,10,19,.526,8,10,.800,6,23,14,5,0,16,19,2025,missouri
40197,3,2024-11-11,,Eastern Washington,W,84,77,26,48,.542,10,18,.556,22,31,.710,7,27,13,8,3,12,13,,29,56,.518,9,25,.360,10,12,.833,6,26,16,7,1,14,25,2025,missouri
40198,4,2024-11-14,,Mississippi Valley State,W,111,39,37,65,.569,15,31,.484,22,35,.629,14,36,21,15,4,4,14,,13,48,.271,1,10,.100,12,15,.800,8,24,3,2,5,22,22,2025,missouri
40199,5,2024-11-22,,Pacific,W,91,56,30,61,.492,14,30,.467,17,23,.739,12,34,16,9,2,6,13,,22,59,.373,6,29,.207,6,8,.750,8,29,12,4,4,14,17,2025,missouri
40200,6,2024-11-24,,Arkansas-Pine Bluff,W,112,63,37,71,.521,9,32,.281,29,41,.707,17,45,15,13,5,8,14,,22,62,.355,9,28,.321,10,14,.714,9,26,10,6,1,18,29,2025,missouri
40201,7,2024-11-27,,Lindenwood,W,81,61,27,54,.500,5,22,.227,22,29,.759,14,44,11,7,5,19,16,,21,59,.356,3,20,.150,16,21,.762,9,24,6,13,2,12,20,2025,missouri
40202,8,2024-12-03,,California,W,98,93,35,53,.660,3,9,.333,25,38,.658,4,22,13,9,6,11,21,,31,62,.500,10,24,.417,21,25,.840,13,33,18,10,2,14,24,2025,missouri
40203,9,2024-12-08,,Kansas,W,76,67,23,52,.442,4,13,.308,26,31,.839,5,27,8,14,4,11,14,,25,63,.397,8,23,.348,9,11,.818,13,32,13,5,5,22,19,2025,missouri
40204,10,2024-12-14,,LIU,W,88,61,31,55,.564,14,28,.500,12,19,.632,8,29,20,10,7,13,10,,24,64,.375,8,24,.333,5,6,.833,12,25,11,6,2,14,17,2025,missouri
40205,11,2024-12-17,,Jacksonville State,W,83,72,28,56,.500,12,25,.480,15,22,.682,8,25,14,9,5,3,12,,27,60,.450,9,22,.409,9,13,.692,14,37,9,1,2,12,16,2025,missouri
