,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40228,1,2024-11-04,@,Butler,L,65,72,25,67,.373,9,28,.321,6,10,.600,12,27,13,13,2,12,28,,21,47,.447,9,20,.450,21,28,.750,9,30,12,6,6,18,14,2025,missouri-state
40229,2,2024-11-11,,Missouri Southern State,W,90,61,33,64,.516,7,24,.292,17,27,.630,10,42,16,14,2,13,17,,23,67,.343,3,25,.120,12,15,.800,11,34,9,6,5,18,19,2025,missouri-state
40230,3,2024-11-16,,Tulsa,W (3 OT),111,106,36,68,.529,7,16,.438,32,51,.627,10,51,14,11,10,21,29,,35,89,.393,6,26,.231,30,44,.682,19,44,12,14,2,18,34,2025,missouri-state
40231,4,2024-11-19,,UT Arlington,W,78,68,22,57,.386,5,15,.333,29,34,.853,12,34,9,10,2,10,17,,25,48,.521,5,15,.333,13,19,.684,4,29,9,5,3,18,23,2025,missouri-state
40232,5,2024-11-24,N,High Point,W,71,61,23,59,.390,8,18,.444,17,21,.810,14,37,10,8,2,13,23,,20,46,.435,3,17,.176,18,24,.750,4,23,9,3,5,13,18,2025,missouri-state
40233,6,2024-11-25,N,Boston College,L (1 OT),74,76,24,58,.414,3,13,.231,23,29,.793,7,29,14,5,2,11,18,,28,56,.500,10,18,.556,10,18,.556,6,29,17,2,10,13,19,2025,missouri-state
40234,7,2024-11-26,N,South Dakota State,L,55,75,18,59,.305,9,22,.409,10,16,.625,13,31,8,7,0,11,12,,28,54,.519,7,20,.350,12,14,.857,8,37,20,6,4,12,14,2025,missouri-state
40235,8,2024-12-01,@,Oral Roberts,W,72,67,26,48,.542,10,19,.526,10,15,.667,6,26,15,5,0,15,16,,22,49,.449,7,19,.368,16,19,.842,5,14,13,5,2,10,18,2025,missouri-state
40236,9,2024-12-07,,Indiana State,L,77,80,26,58,.448,8,22,.364,17,27,.630,12,33,10,11,1,10,13,,32,56,.571,10,27,.370,6,10,.600,6,30,18,4,4,13,23,2025,missouri-state
40237,10,2024-12-14,@,Washington State,L,78,91,31,64,.484,10,26,.385,6,15,.400,13,28,16,10,2,13,26,,32,51,.627,9,21,.429,18,28,.643,6,24,17,5,8,14,17,2025,missouri-state
40238,11,2024-12-18,,Lincoln (MO),W,61,49,22,42,.524,4,12,.333,13,17,.765,6,23,14,9,1,12,11,,18,47,.383,6,20,.300,7,8,.875,7,21,9,7,0,14,16,2025,missouri-state
