,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40261,1,2024-11-04,@,Michigan State,L,57,81,17,61,.279,8,27,.296,15,16,.938,7,26,9,7,2,14,23,,30,61,.492,3,18,.167,18,27,.667,12,41,23,6,8,13,15,2025,monmouth
40262,2,2024-11-08,N,Temple,L,74,103,22,67,.328,8,27,.296,22,24,.917,15,36,18,2,1,11,23,,34,65,.523,10,27,.370,25,32,.781,10,40,17,7,4,6,19,2025,monmouth
40263,3,2024-11-12,@,Northern Illinois,L,66,79,19,61,.311,4,16,.250,24,36,.667,15,39,6,5,1,10,27,,23,48,.479,9,20,.450,24,35,.686,6,27,11,3,9,14,24,2025,monmouth
40264,4,2024-11-15,@,Rutgers,L,81,98,29,71,.408,13,29,.448,10,11,.909,11,25,13,8,1,9,22,,31,52,.596,11,20,.550,25,32,.781,6,32,21,8,5,11,14,2025,monmouth
40265,5,2024-11-18,@,Wichita State,L,66,70,27,58,.466,6,17,.353,6,18,.333,7,34,13,9,4,13,21,,24,54,.444,2,15,.133,20,31,.645,6,30,15,12,2,10,17,2025,monmouth
40266,6,2024-11-21,N,Youngstown State,L,62,72,22,70,.314,5,18,.278,13,18,.722,13,38,10,5,3,14,20,,23,56,.411,8,27,.296,18,27,.667,9,39,10,7,5,12,18,2025,monmouth
40267,7,2024-11-22,@,Stephen F. Austin,L,67,72,27,58,.466,7,24,.292,6,9,.667,8,23,13,9,3,14,19,,27,54,.500,8,21,.381,10,20,.500,14,35,17,5,3,18,12,2025,monmouth
40268,8,2024-11-23,N,Presbyterian,L,61,71,19,45,.422,6,17,.353,17,24,.708,9,29,8,7,2,14,14,,27,60,.450,10,24,.417,7,11,.636,12,32,14,7,2,10,17,2025,monmouth
40269,9,2024-11-30,@,Seton Hall,W,63,51,23,50,.460,10,21,.476,7,10,.700,7,31,11,6,6,12,14,,19,53,.358,5,21,.238,8,16,.500,11,26,11,10,3,8,8,2025,monmouth
40270,10,2024-12-04,@,Lehigh,L,63,90,15,59,.254,5,19,.263,28,35,.800,13,29,5,8,2,9,21,,30,53,.566,11,23,.478,19,23,.826,5,33,20,5,3,10,21,2025,monmouth
40271,11,2024-12-10,@,Princeton,L,67,71,18,48,.375,8,19,.421,23,28,.821,5,23,9,9,4,10,20,,23,49,.469,10,30,.333,15,23,.652,4,24,16,5,2,13,21,2025,monmouth
40272,12,2024-12-21,,Fairfield,W,88,74,33,60,.550,9,19,.474,13,20,.650,10,32,17,8,6,13,16,,26,69,.377,8,29,.276,14,17,.824,18,38,14,10,3,13,16,2025,monmouth
40273,13,2024-12-30,@,Auburn,L,58,87,19,52,.365,5,13,.385,15,19,.789,4,22,10,5,3,11,19,,29,66,.439,8,30,.267,21,28,.750,15,43,22,8,7,7,15,2025,monmouth
40274,14,2025-01-02,,Stony Brook,W,78,56,28,51,.549,10,19,.526,12,19,.632,8,36,15,2,10,10,17,,19,58,.328,3,20,.150,15,20,.750,13,26,6,8,0,7,20,2025,monmouth
40275,15,2025-01-04,@,Delaware,L,64,84,17,52,.327,6,21,.286,24,29,.828,5,27,6,3,2,11,19,,30,58,.517,12,23,.522,12,18,.667,8,36,18,8,3,10,19,2025,monmouth
40276,16,2025-01-09,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40277,17,2025-01-11,,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40278,18,2025-01-16,@,North Carolina A&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40279,19,2025-01-18,@,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40280,20,2025-01-23,@,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40281,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,monmouth
40282,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,monmouth
40283,21,2025-01-25,@,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40284,22,2025-01-30,,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40285,23,2025-02-01,,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40286,24,2025-02-06,,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40287,25,2025-02-08,,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40288,26,2025-02-13,@,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40289,27,2025-02-15,@,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40290,28,2025-02-20,@,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40291,29,2025-02-22,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40292,30,2025-02-27,,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
40293,31,2025-03-01,@,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,monmouth
