,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40294,1,2024-11-04,,Hawaii-Hilo,W,92,61,38,67,.567,4,22,.182,12,23,.522,13,41,15,7,9,7,16,,23,63,.365,5,18,.278,10,13,.769,8,25,11,2,1,16,22,2025,montana
40295,2,2024-11-08,@,Oregon,L,48,79,17,50,.340,3,19,.158,11,17,.647,6,28,4,6,2,12,20,,27,60,.450,9,25,.360,16,23,.696,11,37,16,9,2,7,17,2025,montana
40296,3,2024-11-10,,Northwest Indian College,W,94,44,35,69,.507,9,25,.360,15,22,.682,15,49,21,11,4,10,8,,20,60,.333,3,20,.150,1,2,.500,3,23,12,4,1,17,17,2025,montana
40297,4,2024-11-13,@,Tennessee,L,57,92,18,52,.346,7,25,.280,14,19,.737,3,15,8,9,0,11,21,,31,51,.608,9,21,.429,21,25,.840,5,34,24,6,6,12,16,2025,montana
40298,5,2024-11-18,@,Utah State,L,83,95,32,62,.516,8,24,.333,11,20,.550,12,32,15,6,7,18,22,,29,58,.500,9,20,.450,28,36,.778,10,31,9,11,3,12,22,2025,montana
40299,6,2024-11-24,,Denver,W,83,73,30,61,.492,7,25,.280,16,19,.842,6,30,19,6,2,12,21,,25,64,.391,2,19,.105,21,24,.875,13,38,7,6,3,13,20,2025,montana
40300,7,2024-11-25,,Utah Tech,W,69,66,24,56,.429,3,15,.200,18,24,.750,12,37,7,5,2,13,12,,28,64,.438,4,19,.211,6,8,.750,7,30,10,7,3,6,19,2025,montana
40301,8,2024-11-27,,Cal State Northridge,W,83,75,22,53,.415,10,28,.357,29,37,.784,9,41,12,6,7,16,13,,30,78,.385,6,25,.240,9,14,.643,15,35,17,9,4,11,26,2025,montana
40302,9,2024-12-04,,South Dakota State,W,71,67,26,58,.448,8,26,.308,11,16,.688,4,30,14,8,4,11,14,,26,64,.406,4,23,.174,11,12,.917,9,38,10,6,4,15,16,2025,montana
40303,10,2024-12-07,@,St. Thomas,L,81,88,31,59,.525,12,24,.500,7,9,.778,4,28,22,5,4,11,21,,29,58,.500,9,22,.409,21,25,.840,5,26,18,6,3,9,13,2025,montana
40304,11,2024-12-10,,Montana Tech,W,89,60,35,61,.574,11,29,.379,8,11,.727,7,38,15,7,3,14,13,,24,60,.400,5,20,.250,7,11,.636,4,22,16,7,2,11,12,2025,montana
40305,12,2024-12-16,@,Northern Iowa,L,76,104,29,53,.547,5,22,.227,13,17,.765,4,17,10,5,3,12,14,,40,58,.690,11,19,.579,13,18,.722,4,23,19,7,3,7,14,2025,montana
40306,13,2024-12-21,@,San Francisco,L,67,71,25,55,.455,4,17,.235,13,16,.813,4,29,12,2,2,9,17,,21,48,.438,10,26,.385,19,31,.613,5,29,12,3,4,6,19,2025,montana
40307,14,2025-01-02,@,Eastern Washington,W,92,81,31,55,.564,8,19,.421,22,24,.917,3,21,23,14,3,6,17,,29,63,.460,8,24,.333,15,17,.882,12,32,11,4,4,15,20,2025,montana
40308,15,2025-01-04,@,Idaho,W,73,71,28,52,.538,7,18,.389,10,16,.625,4,25,9,7,1,12,13,,27,64,.422,8,27,.296,9,10,.900,11,36,10,5,1,12,17,2025,montana
40309,16,2025-01-09,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40310,17,2025-01-11,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40311,18,2025-01-16,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40312,19,2025-01-18,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40313,20,2025-01-20,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40314,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,montana
40315,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,montana
40316,21,2025-01-25,,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40317,22,2025-01-30,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40318,23,2025-02-01,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40319,24,2025-02-06,@,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40320,25,2025-02-08,@,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40321,26,2025-02-13,,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40322,27,2025-02-15,,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40323,28,2025-02-22,@,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40324,29,2025-02-27,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40325,30,2025-03-01,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
40326,31,2025-03-03,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana
