,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40327,1,2024-11-07,@,Wisconsin,L,67,79,24,54,.444,12,26,.462,7,10,.700,4,22,12,6,6,13,18,,24,53,.453,11,22,.500,20,21,.952,6,27,15,6,2,11,14,2025,montana-state
40328,2,2024-11-09,@,Wichita State,L,69,89,25,67,.373,12,43,.279,7,9,.778,5,25,12,4,3,10,17,,32,61,.525,3,12,.250,22,26,.846,9,35,12,6,7,6,13,2025,montana-state
40329,3,2024-11-11,,Northwest Indian College,W,93,35,37,77,.481,11,37,.297,8,11,.727,16,51,20,14,6,5,14,,13,55,.236,4,13,.308,5,10,.500,8,29,9,4,4,21,13,2025,montana-state
40330,4,2024-11-17,@,Denver,L,78,79,25,55,.455,1,10,.100,27,37,.730,9,33,10,14,1,12,24,,22,52,.423,6,12,.500,29,31,.935,6,26,11,8,0,19,27,2025,montana-state
40331,5,2024-11-19,@,Northwestern,L,69,72,25,56,.446,9,22,.409,10,12,.833,9,32,19,6,3,10,15,,29,64,.453,4,16,.250,10,16,.625,14,37,13,7,7,8,16,2025,montana-state
40332,6,2024-11-24,,Southern Miss,W,79,59,28,56,.500,10,29,.345,13,17,.765,3,27,14,9,1,12,15,,20,56,.357,3,20,.150,16,22,.727,9,32,8,5,1,17,16,2025,montana-state
40333,7,2024-11-26,,Abilene Christian,W,85,59,29,50,.580,17,26,.654,10,13,.769,5,31,20,4,4,13,15,,24,58,.414,3,18,.167,8,12,.667,6,21,11,6,2,7,12,2025,montana-state
40334,8,2024-11-30,,Cal State Northridge,L (1 OT),69,72,23,61,.377,10,33,.303,13,19,.684,6,36,14,4,3,11,18,,27,61,.443,7,23,.304,11,18,.611,8,41,16,8,4,14,18,2025,montana-state
40335,9,2024-12-04,@,Omaha,W,76,65,27,50,.540,9,21,.429,13,16,.813,3,27,17,9,0,7,15,,24,54,.444,2,19,.105,15,20,.750,6,27,9,4,2,10,18,2025,montana-state
40336,10,2024-12-07,,Kansas City,W,74,62,26,53,.491,11,27,.407,11,16,.688,8,29,14,4,2,9,14,,21,58,.362,6,27,.222,14,17,.824,9,31,10,8,1,8,15,2025,montana-state
40337,11,2024-12-15,@,USC,L,63,89,20,61,.328,5,22,.227,18,25,.720,4,23,13,6,2,11,18,,32,63,.508,6,18,.333,19,24,.792,8,41,18,9,6,11,23,2025,montana-state
40338,12,2024-12-18,@,UC-Riverside,L,80,83,34,70,.486,10,26,.385,2,5,.400,5,21,18,7,2,3,15,,30,56,.536,5,15,.333,18,20,.900,6,33,16,2,4,10,15,2025,montana-state
40339,13,2024-12-22,@,TCU,L,48,82,19,54,.352,5,26,.192,5,9,.556,2,19,8,5,3,10,17,,24,59,.407,8,23,.348,26,29,.897,14,45,12,8,1,10,14,2025,montana-state
40340,14,2025-01-02,@,Idaho,L,64,69,22,57,.386,6,27,.222,14,23,.609,7,34,8,7,6,10,18,,22,56,.393,7,20,.350,18,26,.692,9,38,12,6,1,11,17,2025,montana-state
40341,15,2025-01-04,@,Eastern Washington,L,63,68,19,52,.365,6,22,.273,19,23,.826,2,28,11,7,3,12,20,,25,56,.446,1,14,.071,17,20,.850,6,31,9,7,6,8,20,2025,montana-state
40342,16,2025-01-09,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40343,17,2025-01-11,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40344,18,2025-01-16,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40345,19,2025-01-18,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40346,20,2025-01-20,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40347,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,montana-state
40348,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,montana-state
40349,21,2025-01-25,@,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40350,22,2025-01-30,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40351,23,2025-02-01,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40352,24,2025-02-06,@,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40353,25,2025-02-08,@,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40354,26,2025-02-13,,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40355,27,2025-02-15,,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40356,28,2025-02-22,,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40357,29,2025-02-27,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40358,30,2025-03-01,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
40359,31,2025-03-03,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,montana-state
