,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40360,1,2024-11-04,@,Louisville,L,45,93,12,52,.231,3,21,.143,18,27,.667,11,42,4,1,3,20,20,,32,71,.451,11,36,.306,18,28,.643,14,47,21,12,6,5,21,2025,morehead-state
40361,2,2024-11-06,,Boyce,W,89,48,33,69,.478,5,24,.208,18,26,.692,9,43,18,12,4,6,8,,18,60,.300,7,27,.259,5,7,.714,3,28,10,3,0,21,20,2025,morehead-state
40362,3,2024-11-08,@,Cincinnati,L,56,83,20,56,.357,4,14,.286,12,18,.667,6,25,11,1,2,8,12,,33,55,.600,6,16,.375,11,15,.733,5,29,18,3,5,4,14,2025,morehead-state
40363,4,2024-11-14,@,Chattanooga,L,62,76,21,51,.412,5,17,.294,15,25,.600,6,29,10,8,0,14,15,,27,62,.435,9,33,.273,13,15,.867,6,32,17,7,0,10,19,2025,morehead-state
40364,5,2024-11-20,,Austin Peay,W,63,58,24,49,.490,2,13,.154,13,21,.619,7,32,10,3,4,9,12,,22,55,.400,5,16,.313,9,12,.750,7,29,11,7,3,8,19,2025,morehead-state
40365,6,2024-11-27,N,NJIT,L,69,78,25,58,.431,8,21,.381,11,23,.478,12,26,12,7,0,8,21,,24,52,.462,10,23,.435,20,23,.870,11,31,11,4,3,11,19,2025,morehead-state
40366,7,2024-11-29,@,Cleveland State,W,71,69,22,41,.537,7,18,.389,20,31,.645,5,28,12,8,2,16,20,,21,53,.396,4,17,.235,23,30,.767,10,30,6,9,5,10,18,2025,morehead-state
40367,8,2024-12-04,@,Marshall,L,77,80,26,59,.441,8,19,.421,17,26,.654,13,35,12,5,3,14,19,,27,57,.474,7,26,.269,19,26,.731,5,25,15,8,6,7,19,2025,morehead-state
40368,9,2024-12-07,@,Ohio,L,76,88,25,61,.410,10,23,.435,16,24,.667,12,31,15,6,1,12,21,,33,62,.532,7,23,.304,15,18,.833,8,30,10,7,4,11,22,2025,morehead-state
40369,10,2024-12-15,,Kentucky Christian,W,86,63,31,68,.456,6,21,.286,18,25,.720,19,48,20,5,6,9,6,,22,56,.393,8,19,.421,11,11,1.000,3,23,14,6,0,12,15,2025,morehead-state
40370,11,2024-12-19,,UT-Martin,W (1 OT),70,69,26,54,.481,8,19,.421,10,16,.625,4,34,15,7,9,14,17,,25,64,.391,8,20,.400,11,22,.500,8,31,13,6,1,9,14,2025,morehead-state
40371,12,2024-12-21,,Tennessee State,W,74,68,24,62,.387,5,18,.278,21,31,.677,18,41,11,5,3,9,15,,26,54,.481,10,20,.500,6,10,.600,4,25,9,4,3,12,22,2025,morehead-state
40372,13,2024-12-28,,Alice Lloyd,W,94,63,37,66,.561,11,31,.355,9,15,.600,12,41,22,9,4,12,9,,25,61,.410,9,23,.391,4,6,.667,4,21,9,10,3,13,10,2025,morehead-state
40373,14,2024-12-31,@,Southern Indiana,W,70,68,24,51,.471,5,9,.556,17,28,.607,12,38,10,6,2,12,21,,24,56,.429,3,13,.231,17,25,.680,8,29,6,10,4,8,21,2025,morehead-state
40374,15,2025-01-04,@,Tennessee Tech,L,55,74,23,63,.365,3,15,.200,6,11,.545,9,35,8,8,1,10,18,,26,56,.464,8,18,.444,14,20,.700,6,35,21,8,5,11,12,2025,morehead-state
40375,16,2025-01-09,@,Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morehead-state
40376,17,2025-01-11,@,Southeast Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morehead-state
40377,18,2025-01-16,,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morehead-state
40378,19,2025-01-18,,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morehead-state
40379,20,2025-01-23,@,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morehead-state
