,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40393,1,2024-11-04,,Frostburg State,W,89,76,35,61,.574,5,8,.625,14,20,.700,8,35,10,7,1,16,11,,28,74,.378,10,34,.294,10,12,.833,12,32,14,7,2,15,18,2025,morgan-state
40394,2,2024-11-06,,Mercyhurst,L,73,78,26,53,.491,3,8,.375,18,24,.750,11,29,9,6,3,18,26,,26,59,.441,5,17,.294,21,25,.840,14,29,13,10,2,14,17,2025,morgan-state
40395,3,2024-11-09,@,Longwood,L,66,84,27,54,.500,1,12,.083,11,20,.550,8,24,10,6,1,19,25,,25,49,.510,9,27,.333,25,33,.758,6,22,14,11,3,15,18,2025,morgan-state
40396,4,2024-11-12,,District of Columbia,W,90,64,35,64,.547,6,15,.400,14,23,.609,16,41,8,18,3,22,19,,22,57,.386,7,19,.368,13,21,.619,12,30,13,11,3,27,16,2025,morgan-state
40397,5,2024-11-16,,NJIT,W,81,69,28,62,.452,4,14,.286,21,24,.875,10,34,12,3,6,9,14,,24,61,.393,8,23,.348,13,17,.765,9,30,10,4,3,11,21,2025,morgan-state
40398,6,2024-11-20,@,North Carolina A&T,L,83,86,35,73,.479,3,15,.200,10,12,.833,10,36,16,9,1,14,24,,29,59,.492,7,20,.350,21,35,.600,9,32,17,9,5,14,15,2025,morgan-state
40399,7,2024-11-22,@,Buffalo,L,73,82,31,68,.456,10,21,.476,1,2,.500,13,35,12,6,3,15,19,,31,55,.564,5,16,.313,15,25,.600,7,29,17,10,4,10,9,2025,morgan-state
40400,8,2024-11-24,,Towson,L,60,64,21,53,.396,2,12,.167,16,23,.696,3,24,9,10,5,9,20,,21,59,.356,4,21,.190,18,27,.667,13,41,10,6,2,12,19,2025,morgan-state
40401,9,2024-11-27,@,UMBC,L,69,92,28,66,.424,1,9,.111,12,22,.545,12,33,5,9,5,16,18,,29,60,.483,14,26,.538,20,29,.690,9,38,21,12,6,13,20,2025,morgan-state
40402,10,2024-12-01,,Central Pennsylvania College,W,123,70,48,71,.676,8,18,.444,19,22,.864,10,42,24,14,9,16,20,,25,66,.379,2,20,.100,18,28,.643,12,24,10,9,0,22,15,2025,morgan-state
40403,11,2024-12-04,,Cheyney,W,124,57,45,71,.634,11,20,.550,23,28,.821,12,50,29,13,8,13,21,,18,55,.327,5,12,.417,16,27,.593,3,19,10,6,1,21,15,2025,morgan-state
40404,12,2024-12-07,@,Bowling Green State,L,81,102,32,72,.444,4,16,.250,13,21,.619,14,37,19,6,3,12,16,,39,68,.574,11,28,.393,13,16,.813,8,34,21,8,0,8,18,2025,morgan-state
40405,13,2024-12-10,@,Xavier,L,58,119,22,61,.361,2,10,.200,12,22,.545,4,21,12,3,7,10,19,,41,68,.603,12,18,.667,25,34,.735,15,52,25,8,2,6,16,2025,morgan-state
40406,14,2024-12-15,,Campbell,W,86,76,36,54,.667,3,7,.429,11,17,.647,7,30,15,5,6,14,19,,23,58,.397,9,25,.360,21,24,.875,11,26,13,7,1,13,15,2025,morgan-state
40407,15,2024-12-22,@,Iowa State,L,72,99,29,63,.460,4,9,.444,10,15,.667,9,25,12,7,1,13,15,,36,59,.610,7,20,.350,20,26,.769,8,34,26,11,11,11,13,2025,morgan-state
40408,16,2024-12-29,@,Minnesota,L,68,90,24,60,.400,4,11,.364,16,19,.842,10,31,17,3,4,6,15,,31,60,.517,13,29,.448,15,24,.625,8,33,20,5,9,4,13,2025,morgan-state
40409,17,2025-01-04,,South Carolina State,L,72,86,26,49,.531,5,12,.417,15,26,.577,6,24,14,6,5,17,21,,33,60,.550,5,11,.455,15,26,.577,11,34,15,10,2,12,22,2025,morgan-state
40410,18,2025-01-07,,North Carolina Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40411,19,2025-01-11,@,Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40412,20,2025-01-13,,Norfolk State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40413,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,morgan-state
40414,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,morgan-state
40415,21,2025-01-25,,Coppin State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40416,22,2025-02-01,,Maryland-Eastern Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40417,23,2025-02-03,@,Delaware State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40418,24,2025-02-15,@,South Carolina State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40419,25,2025-02-17,@,North Carolina Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40420,26,2025-02-22,,Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40421,27,2025-02-24,@,Norfolk State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40422,28,2025-03-01,@,Maryland-Eastern Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40423,29,2025-03-03,,Delaware State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
40424,30,2025-03-06,@,Coppin State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,morgan-state
