,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40425,1,2024-11-04,,Notre Dame (MD),W,98,62,33,60,.550,8,24,.333,24,30,.800,13,48,21,12,7,24,18,,22,72,.306,7,28,.250,11,17,.647,9,23,13,15,2,21,19,2025,mount-st-marys
40426,2,2024-11-08,@,Maryland,L,52,86,17,42,.405,6,13,.462,12,20,.600,5,29,11,4,1,25,23,,28,65,.431,9,23,.391,21,30,.700,12,34,13,16,1,6,16,2025,mount-st-marys
40427,3,2024-11-13,@,Bucknell,W (2 OT),93,89,33,68,.485,10,30,.333,17,28,.607,10,41,16,5,3,16,20,,35,75,.467,8,31,.258,11,18,.611,10,38,15,11,7,10,26,2025,mount-st-marys
40428,4,2024-11-16,,Saint Francis (PA),W,66,58,23,56,.411,5,23,.217,15,20,.750,10,39,9,9,5,14,10,,22,61,.361,6,30,.200,8,9,.889,10,33,10,8,1,12,14,2025,mount-st-marys
40429,5,2024-11-20,@,Georgetown,L,51,79,21,67,.313,5,19,.263,4,6,.667,13,34,14,8,2,12,16,,32,64,.500,6,20,.300,9,12,.750,10,41,17,6,2,12,11,2025,mount-st-marys
40430,6,2024-11-23,,Delaware State,W,76,66,27,57,.474,8,20,.400,14,18,.778,9,33,17,4,5,13,17,,30,67,.448,2,13,.154,4,9,.444,15,33,7,7,4,8,18,2025,mount-st-marys
40431,7,2024-11-30,@,Howard,W,79,75,21,50,.420,8,23,.348,29,30,.967,5,23,12,6,1,13,20,,24,52,.462,7,22,.318,20,27,.741,7,28,11,5,2,16,23,2025,mount-st-marys
40432,8,2024-12-06,@,Marist,L,50,53,20,55,.364,3,17,.176,7,11,.636,10,33,11,7,1,13,10,,22,54,.407,7,23,.304,2,4,.500,8,29,10,7,2,15,11,2025,mount-st-marys
40433,9,2024-12-08,,Fairfield,W,101,94,35,65,.538,10,23,.435,21,27,.778,11,33,23,4,5,5,19,,34,68,.500,10,30,.333,16,22,.727,11,31,17,3,7,6,20,2025,mount-st-marys
40434,10,2024-12-14,,Loyola (MD),L,69,77,26,57,.456,4,21,.190,13,17,.765,12,35,15,11,2,19,22,,22,51,.431,9,26,.346,24,29,.828,6,28,14,15,1,15,17,2025,mount-st-marys
