,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40458,1,2024-11-04,,Bethel (TN),W,113,37,40,65,.615,14,25,.560,19,27,.704,10,41,25,18,7,15,14,,14,56,.250,1,12,.083,8,14,.571,13,26,3,6,4,31,17,2025,murray-state
40459,2,2024-11-08,@,Pitt,L,68,83,24,55,.436,6,21,.286,14,21,.667,5,25,10,8,2,13,26,,27,53,.509,8,19,.421,21,33,.636,9,34,9,8,7,9,17,2025,murray-state
40460,3,2024-11-16,@,Middle Tennessee,W,88,67,32,52,.615,10,19,.526,14,16,.875,4,31,19,3,6,10,14,,25,64,.391,4,23,.174,13,19,.684,9,27,9,5,4,7,16,2025,murray-state
40461,4,2024-11-20,,Maryland-Eastern Shore,W,79,61,25,54,.463,7,24,.292,22,30,.733,15,40,15,5,0,11,18,,20,51,.392,5,16,.313,16,19,.842,5,22,2,2,1,11,20,2025,murray-state
40462,5,2024-11-22,,Utah Valley,L,75,77,23,50,.460,7,18,.389,22,33,.667,5,23,11,8,5,7,16,,30,61,.492,5,15,.333,12,16,.750,11,37,12,4,4,10,24,2025,murray-state
40463,6,2024-11-26,N,UT Arlington,W,79,66,26,55,.473,7,19,.368,20,31,.645,7,35,13,7,6,12,17,,25,61,.410,4,17,.235,12,20,.600,8,31,8,7,4,11,20,2025,murray-state
40464,7,2024-12-03,,Evansville,W,63,61,22,51,.431,7,19,.368,12,18,.667,6,35,9,4,1,14,14,,25,57,.439,4,19,.211,7,12,.583,6,26,8,12,9,8,18,2025,murray-state
40465,8,2024-12-08,,Southeast Missouri State,W,73,53,26,54,.481,9,18,.500,12,20,.600,13,34,10,5,2,12,15,,21,52,.404,4,13,.308,7,11,.636,4,20,8,2,2,11,19,2025,murray-state
40466,9,2024-12-14,@,Western Kentucky,L (1 OT),76,81,25,66,.379,7,21,.333,19,26,.731,8,39,15,10,4,13,21,,27,71,.380,6,25,.240,21,25,.840,12,44,7,8,1,14,20,2025,murray-state
40467,10,2024-12-18,@,Indiana State,L,74,84,24,58,.414,6,23,.261,20,26,.769,9,24,10,9,2,11,19,,29,51,.569,9,20,.450,17,23,.739,5,31,9,6,0,14,22,2025,murray-state
40468,11,2024-12-22,N,Nebraska,L,49,66,17,55,.309,7,27,.259,8,15,.533,5,23,7,5,3,10,12,,26,53,.491,6,17,.353,8,9,.889,5,39,6,6,4,14,12,2025,murray-state
40469,12,2024-12-24,N,Charlotte,L (2 OT),90,94,29,69,.420,6,26,.231,26,36,.722,8,28,10,5,3,5,27,,28,60,.467,4,18,.222,34,36,.944,7,32,7,4,5,14,25,2025,murray-state
40470,13,2024-12-25,N,Loyola (IL),W,71,68,21,43,.488,7,17,.412,22,33,.667,3,16,10,9,1,11,18,,25,40,.625,4,12,.333,14,21,.667,1,20,7,6,4,16,26,2025,murray-state
40471,14,2025-01-02,,Illinois State,L,68,74,20,48,.417,8,23,.348,20,26,.769,8,24,7,7,0,10,17,,26,49,.531,8,20,.400,14,16,.875,5,25,10,2,3,11,24,2025,murray-state
40472,15,2025-01-05,@,Drake,W,66,59,22,40,.550,7,15,.467,15,20,.750,6,22,9,5,4,15,14,,21,51,.412,4,14,.286,13,18,.722,9,20,8,11,0,7,15,2025,murray-state
40473,16,2025-01-08,@,Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,murray-state
