,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40491,1,2024-11-04,@,St. Joseph's,L,63,70,24,67,.358,6,22,.273,9,11,.818,10,34,10,9,3,13,26,,20,46,.435,8,22,.364,22,29,.759,3,32,9,6,11,17,16,2025,navy
40492,2,2024-11-08,,Harvard,W,85,80,28,66,.424,7,24,.292,22,26,.846,12,33,18,11,2,6,12,,30,60,.500,12,32,.375,8,15,.533,8,33,19,2,5,17,22,2025,navy
40493,3,2024-11-12,,Rider,L,79,90,26,60,.433,7,25,.280,20,25,.800,11,26,15,8,4,8,25,,27,51,.529,10,19,.526,26,32,.813,12,34,17,4,2,16,20,2025,navy
40494,4,2024-11-17,,Campbell,L,66,86,23,55,.418,5,16,.313,15,24,.625,8,31,9,2,2,14,17,,30,60,.500,7,23,.304,19,22,.864,8,31,13,12,5,8,24,2025,navy
40495,5,2024-11-19,,Quinnipiac,L,63,74,23,63,.365,8,29,.276,9,17,.529,15,35,14,4,4,11,22,,23,53,.434,5,17,.294,23,30,.767,9,36,11,10,4,12,18,2025,navy
40496,6,2024-11-25,,Washington College,W,94,43,36,64,.563,12,26,.462,10,13,.769,10,45,29,9,5,10,12,,16,62,.258,5,22,.227,6,8,.750,7,25,8,5,2,13,11,2025,navy
40497,7,2024-11-29,@,Penn,W,86,78,24,60,.400,15,32,.469,23,28,.821,10,30,18,5,1,8,19,,28,60,.467,7,29,.241,15,24,.625,11,35,12,5,2,13,23,2025,navy
40498,8,2024-11-30,N,Elon,L,63,69,21,66,.318,8,31,.258,13,16,.813,10,36,10,5,2,8,20,,20,64,.313,10,31,.323,19,26,.731,13,43,12,6,5,8,17,2025,navy
40499,9,2024-12-01,N,Maine,L,66,71,25,54,.463,6,17,.353,10,15,.667,8,27,12,6,2,14,13,,27,51,.529,4,12,.333,13,17,.765,4,23,14,10,3,12,15,2025,navy
40500,10,2024-12-07,@,NJIT,L,64,69,25,77,.325,6,30,.200,8,14,.571,19,42,12,3,2,5,17,,28,59,.475,3,15,.200,10,14,.714,8,40,8,3,9,10,17,2025,navy
40501,11,2024-12-15,@,Virginia Tech,L,72,80,24,51,.471,9,27,.333,15,16,.938,15,30,12,4,3,15,16,,27,51,.529,10,18,.556,16,18,.889,6,17,13,7,1,9,18,2025,navy
40502,12,2024-12-21,@,Coppin State,L,60,68,19,47,.404,8,27,.296,14,22,.636,5,31,11,7,4,19,21,,21,56,.375,6,24,.250,20,30,.667,10,33,9,12,0,11,16,2025,navy
40503,13,2024-12-29,@,William & Mary,L,76,82,24,54,.444,10,23,.435,18,24,.750,8,36,12,6,2,15,16,,31,62,.500,13,33,.394,7,14,.500,7,30,20,8,1,10,16,2025,navy
40504,14,2025-01-02,,American,W,81,58,30,55,.545,5,14,.357,16,23,.696,7,37,22,6,4,6,12,,21,56,.375,9,33,.273,7,11,.636,7,27,13,4,0,9,18,2025,navy
