,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40524,1,2024-11-04,,Texas-Rio Grande Valley,W,87,67,28,57,.491,6,19,.316,25,35,.714,11,42,11,9,2,13,15,,24,62,.387,13,41,.317,6,9,.667,8,30,11,4,0,20,27,2025,nebraska
40525,2,2024-11-09,,Bethune-Cookman,W,63,58,19,55,.345,4,22,.182,21,26,.808,11,38,11,11,4,18,14,,22,62,.355,9,26,.346,5,7,.714,11,37,11,5,5,22,23,2025,nebraska
40526,3,2024-11-13,,FDU,W,86,60,28,65,.431,7,28,.250,23,28,.821,13,41,20,10,6,8,15,,23,57,.404,7,23,.304,7,11,.636,6,28,12,6,3,16,21,2025,nebraska
40527,4,2024-11-17,N,Saint Mary's,L,74,77,22,49,.449,5,17,.294,25,29,.862,11,31,8,6,6,15,19,,26,61,.426,11,23,.478,14,25,.560,14,27,14,12,3,9,21,2025,nebraska
40528,5,2024-11-22,@,Creighton,W,74,63,24,57,.421,4,16,.250,22,30,.733,7,37,8,10,1,7,22,,17,52,.327,12,42,.286,17,23,.739,7,34,12,4,3,16,19,2025,nebraska
40529,6,2024-11-27,,South Dakota,W,96,79,33,68,.485,13,33,.394,17,21,.810,11,39,24,10,2,12,16,,26,60,.433,8,28,.286,19,27,.704,8,29,12,6,3,12,16,2025,nebraska
40530,7,2024-12-01,,North Florida,W,103,72,40,69,.580,11,24,.458,12,18,.667,5,35,22,12,4,6,12,,25,65,.385,14,43,.326,8,12,.667,7,32,13,2,1,16,19,2025,nebraska
40531,8,2024-12-07,@,Michigan State,L,52,89,18,54,.333,4,22,.182,12,18,.667,4,19,8,8,0,11,20,,29,56,.518,9,23,.391,22,23,.957,11,46,20,4,5,14,17,2025,nebraska
40532,9,2024-12-13,,Indiana,W,85,68,30,49,.612,8,14,.571,17,26,.654,4,33,16,5,1,14,16,,23,65,.354,8,35,.229,14,20,.700,14,34,10,7,3,9,20,2025,nebraska
40533,10,2024-12-22,N,Murray State,W,66,49,26,53,.491,6,17,.353,8,9,.889,5,39,6,6,4,14,12,,17,55,.309,7,27,.259,8,15,.533,5,23,7,5,3,10,12,2025,nebraska
40534,11,2024-12-23,@,Hawaii,W,69,55,26,55,.473,7,17,.412,10,11,.909,9,28,10,8,4,11,13,,20,47,.426,5,20,.250,10,15,.667,6,22,5,4,1,14,15,2025,nebraska
40535,12,2024-12-25,N,Oregon State,W,78,66,25,47,.532,8,20,.400,20,24,.833,5,29,13,5,0,10,15,,21,53,.396,9,24,.375,15,16,.938,5,21,9,5,1,10,18,2025,nebraska
40536,13,2024-12-30,,Southern,W,77,43,26,53,.491,13,30,.433,12,18,.667,7,44,22,3,5,14,17,,17,67,.254,3,24,.125,6,16,.375,14,36,10,9,4,8,17,2025,nebraska
40537,14,2025-01-04,,UCLA,W,66,58,17,52,.327,7,25,.280,25,29,.862,7,35,11,10,1,13,16,,22,57,.386,4,28,.143,10,13,.769,6,32,13,5,2,15,24,2025,nebraska
40538,15,2025-01-07,@,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40539,16,2025-01-12,@,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40540,17,2025-01-16,,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40541,18,2025-01-19,@,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40542,19,2025-01-22,,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40543,20,2025-01-26,@,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40544,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,nebraska
40545,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,nebraska
40546,21,2025-01-30,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40547,22,2025-02-02,@,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40548,23,2025-02-05,@,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
40549,24,2025-02-08,,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nebraska
