,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40557,1,2024-11-04,,Sam Houston,W,91,75,30,53,.566,10,22,.455,21,31,.677,10,34,17,9,5,12,20,,24,57,.421,10,25,.400,17,21,.810,8,24,15,4,3,11,27,2025,nevada
40558,2,2024-11-09,,Washington,W,63,53,21,55,.382,4,10,.400,17,25,.680,10,35,8,7,3,10,17,,19,56,.339,7,22,.318,8,13,.615,10,33,9,4,8,12,24,2025,nevada
40559,3,2024-11-13,,Weber State,W,88,58,29,51,.569,12,21,.571,18,28,.643,5,28,24,7,5,4,24,,15,54,.278,3,20,.150,25,34,.735,13,32,7,0,0,8,23,2025,nevada
40560,4,2024-11-16,,Santa Clara,W,85,59,27,48,.563,9,19,.474,22,31,.710,7,34,18,1,4,10,16,,23,58,.397,2,17,.118,11,19,.579,9,26,6,7,4,10,24,2025,nevada
40561,5,2024-11-21,N,Vanderbilt,L,71,73,29,54,.537,6,15,.400,7,10,.700,8,28,13,9,8,16,15,,28,59,.475,6,15,.400,11,18,.611,10,29,13,10,3,12,16,2025,nevada
40562,6,2024-11-22,N,VCU,W,64,61,21,44,.477,7,13,.538,15,26,.577,5,27,12,6,1,11,15,,20,51,.392,10,31,.323,11,14,.786,9,30,12,7,4,11,21,2025,nevada
40563,7,2024-11-24,N,Oklahoma State,W,90,78,33,56,.589,7,18,.389,17,25,.680,8,31,14,4,3,9,26,,21,50,.420,6,21,.286,30,41,.732,7,27,8,4,1,7,23,2025,nevada
40564,8,2024-12-02,,Washington State,L,57,68,22,57,.386,4,20,.200,9,13,.692,8,29,11,6,1,15,13,,25,60,.417,12,29,.414,6,9,.667,9,34,19,6,4,14,17,2025,nevada
40565,9,2024-12-07,@,Loyola Marymount,L,64,68,21,60,.350,5,20,.250,17,21,.810,11,33,9,5,1,5,20,,21,50,.420,11,31,.355,15,21,.714,9,31,13,3,4,11,20,2025,nevada
40566,10,2024-12-11,,South Dakota State,W,77,63,30,54,.556,13,33,.394,4,5,.800,3,25,22,7,4,8,14,,24,55,.436,12,35,.343,3,5,.600,9,30,18,2,1,10,11,2025,nevada
40567,11,2024-12-14,,Texas Southern,W,105,73,36,61,.590,18,36,.500,15,17,.882,7,31,30,8,2,9,13,,27,59,.458,9,21,.429,10,13,.769,5,21,18,6,2,13,19,2025,nevada
40568,12,2024-12-21,,Colorado State,L,64,66,23,56,.411,6,16,.375,12,20,.600,10,32,14,2,3,9,18,,22,47,.468,6,20,.300,16,19,.842,2,28,14,4,1,8,21,2025,nevada
40569,13,2024-12-28,@,Wyoming,L,63,66,21,47,.447,5,11,.455,16,20,.800,7,20,13,9,7,16,16,,22,45,.489,11,21,.524,11,12,.917,4,19,10,4,0,18,19,2025,nevada
40570,14,2024-12-31,,Utah State,L,64,69,24,57,.421,7,23,.304,9,12,.750,11,30,19,9,1,13,13,,24,46,.522,8,20,.400,13,18,.722,4,26,18,10,4,13,16,2025,nevada
40571,15,2025-01-03,@,New Mexico,L (1 OT),81,82,25,59,.424,8,19,.421,23,35,.657,9,31,15,9,7,9,28,,23,49,.469,5,18,.278,31,41,.756,5,31,14,5,7,14,26,2025,nevada
40572,16,2025-01-11,@,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40573,17,2025-01-14,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40574,18,2025-01-14,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40575,19,2025-01-18,,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40576,20,2025-01-22,@,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40577,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,nevada
40578,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,nevada
40579,21,2025-01-25,,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40580,22,2025-01-29,@,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40581,23,2025-02-01,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40582,24,2025-02-04,@,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40583,25,2025-02-11,,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40584,26,2025-02-14,@,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40585,27,2025-02-18,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40586,28,2025-02-22,,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40587,29,2025-02-25,,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40588,30,2025-02-28,@,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40589,31,2025-03-04,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
40590,32,2025-03-08,@,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada
