,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40591,1,2024-11-04,,Alabama State,W,93,79,33,58,.569,9,20,.450,18,28,.643,12,34,20,4,4,9,16,,27,61,.443,9,22,.409,16,20,.800,10,27,15,5,0,12,23,2025,nevada-las-vegas
40592,2,2024-11-09,,Memphis,L,74,80,23,58,.397,9,25,.360,19,26,.731,9,29,12,10,4,10,21,,29,56,.518,6,17,.353,16,22,.727,8,37,17,4,3,13,19,2025,nevada-las-vegas
40593,3,2024-11-14,,Omaha,W,80,69,26,57,.456,4,18,.222,24,25,.960,7,29,12,12,2,11,16,,23,54,.426,10,28,.357,13,18,.722,7,29,16,4,5,19,20,2025,nevada-las-vegas
40594,4,2024-11-20,,Pepperdine,W,80,59,26,53,.491,12,24,.500,16,19,.842,7,29,18,14,3,9,15,,21,49,.429,6,17,.353,11,14,.786,7,28,14,6,2,15,15,2025,nevada-las-vegas
40595,5,2024-11-23,,New Mexico State,W,72,65,18,50,.360,6,18,.333,30,42,.714,12,40,9,3,7,7,20,,20,64,.313,8,25,.320,17,27,.630,18,41,8,3,2,9,30,2025,nevada-las-vegas
40596,6,2024-11-28,N,Mississippi State,L,58,80,21,48,.438,8,20,.400,8,15,.533,4,28,11,5,4,15,17,,29,67,.433,12,32,.375,10,18,.556,16,42,18,9,2,10,19,2025,nevada-las-vegas
40597,7,2024-11-29,N,Northwestern,L,61,66,24,57,.421,6,18,.333,7,10,.700,11,31,9,2,4,13,17,,20,49,.408,8,18,.444,18,26,.692,10,30,15,7,2,12,15,2025,nevada-las-vegas
40598,8,2024-12-07,@,Creighton,L,65,83,27,64,.422,7,21,.333,4,7,.571,6,18,7,10,2,6,11,,31,49,.633,10,20,.500,11,12,.917,3,33,21,4,6,12,8,2025,nevada-las-vegas
40599,9,2024-12-14,,Pacific,W,72,65,26,58,.448,8,18,.444,12,16,.750,11,36,16,4,7,13,20,,23,58,.397,4,21,.190,15,22,.682,11,34,12,6,2,12,18,2025,nevada-las-vegas
40600,10,2024-12-17,@,Dayton,L,65,66,22,53,.415,8,19,.421,13,16,.813,8,30,12,4,2,6,12,,24,51,.471,5,21,.238,13,16,.813,5,28,15,5,1,8,16,2025,nevada-las-vegas
40601,11,2024-12-21,,UC-Riverside,W,66,53,27,61,.443,3,19,.158,9,13,.692,13,34,14,8,8,9,13,,19,66,.288,7,30,.233,8,11,.727,18,39,12,3,2,15,13,2025,nevada-las-vegas
40602,12,2024-12-28,,Fresno State,W,87,77,35,65,.538,10,24,.417,7,9,.778,10,38,19,5,0,10,15,,27,58,.466,13,29,.448,10,16,.625,6,26,19,7,4,9,15,2025,nevada-las-vegas
40603,13,2024-12-31,@,Air Force,W,77,58,28,49,.571,9,16,.563,12,23,.522,7,34,9,10,2,17,15,,19,57,.333,8,35,.229,12,20,.600,9,29,11,13,1,15,15,2025,nevada-las-vegas
40604,14,2025-01-04,,San Jose State,W,79,73,29,57,.509,6,13,.462,15,22,.682,8,25,17,8,6,5,11,,24,59,.407,9,24,.375,16,17,.941,12,36,16,2,2,11,20,2025,nevada-las-vegas
40605,15,2025-01-07,@,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40606,16,2025-01-11,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40607,17,2025-01-15,,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40608,18,2025-01-18,@,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40609,19,2025-01-21,,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40610,20,2025-01-25,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40611,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,nevada-las-vegas
40612,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,nevada-las-vegas
40613,21,2025-01-29,@,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40614,22,2025-02-01,@,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40615,23,2025-02-04,,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40616,24,2025-02-08,@,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40617,25,2025-02-11,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40618,26,2025-02-15,@,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40619,27,2025-02-22,,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40620,28,2025-02-25,@,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40621,29,2025-02-28,,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40622,30,2025-03-04,,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
40623,31,2025-03-07,@,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nevada-las-vegas
