,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40624,1,2024-11-04,@,UMass,L,74,103,28,74,.378,11,33,.333,7,17,.412,14,36,17,2,2,15,15,,42,79,.532,12,35,.343,7,11,.636,11,41,25,13,8,8,19,2025,new-hampshire
40625,2,2024-11-06,,Massachusetts-Boston,W,99,69,33,61,.541,14,27,.519,19,24,.792,8,47,21,4,2,19,17,,26,78,.333,6,29,.207,11,12,.917,11,28,6,15,5,11,16,2025,new-hampshire
40626,3,2024-11-09,@,UConn,L,53,92,17,48,.354,3,13,.231,16,20,.800,3,24,8,5,2,16,20,,32,63,.508,9,28,.321,19,25,.760,14,40,20,5,10,10,19,2025,new-hampshire
40627,4,2024-11-12,,Fairfield,L,56,62,20,54,.370,4,20,.200,12,15,.800,4,30,9,3,2,11,16,,24,64,.375,3,16,.188,11,15,.733,10,37,10,4,3,7,14,2025,new-hampshire
40628,5,2024-11-15,@,Brown,L,58,76,18,60,.300,6,19,.316,16,25,.640,9,35,11,4,3,11,23,,23,55,.418,9,28,.321,21,31,.677,10,39,13,8,8,7,19,2025,new-hampshire
40629,6,2024-11-16,N,Sacred Heart,L,63,80,22,48,.458,11,27,.407,8,14,.571,2,17,16,4,4,13,17,,28,60,.467,9,26,.346,15,24,.625,14,41,18,7,5,10,17,2025,new-hampshire
40630,7,2024-11-17,N,Holy Cross,L,72,74,26,50,.520,11,19,.579,9,16,.563,5,29,16,4,2,7,17,,26,54,.481,12,24,.500,10,20,.500,10,33,14,3,2,7,11,2025,new-hampshire
40631,8,2024-11-20,,Endicott,W,78,64,29,65,.446,9,26,.346,11,17,.647,13,46,9,5,4,14,16,,23,56,.411,10,30,.333,8,15,.533,2,26,13,10,3,12,19,2025,new-hampshire
40632,9,2024-11-23,@,Marist,L,49,54,17,53,.321,5,19,.263,10,12,.833,8,31,7,4,3,11,16,,18,43,.419,4,19,.211,14,21,.667,3,29,9,3,6,10,13,2025,new-hampshire
40633,10,2024-11-25,@,Columbia,L,57,83,24,55,.436,7,24,.292,2,14,.143,10,29,19,8,7,18,15,,35,66,.530,8,22,.364,5,11,.455,12,39,25,12,2,12,17,2025,new-hampshire
40634,11,2024-12-01,@,Fordham,L,61,83,24,60,.400,5,19,.263,8,11,.727,8,26,11,8,2,15,18,,29,61,.475,8,23,.348,17,19,.895,14,42,13,11,3,18,13,2025,new-hampshire
40635,12,2024-12-03,,Dartmouth,L,65,69,25,58,.431,7,24,.292,8,9,.889,8,32,10,4,2,14,16,,22,62,.355,11,39,.282,14,19,.737,9,32,13,9,2,9,10,2025,new-hampshire
40636,13,2024-12-08,,Harvard,L,62,72,22,55,.400,5,23,.217,13,14,.929,9,28,10,10,2,16,19,,22,44,.500,4,14,.286,24,28,.857,4,25,12,12,1,18,15,2025,new-hampshire
40637,14,2024-12-22,@,Stonehill,L,83,90,28,57,.491,10,21,.476,17,27,.630,8,26,12,4,2,10,20,,32,61,.525,8,22,.364,18,22,.818,12,35,21,8,5,8,20,2025,new-hampshire
40638,15,2024-12-30,@,Iowa,L,70,112,28,69,.406,8,26,.308,6,13,.462,11,37,13,8,1,18,18,,45,74,.608,10,29,.345,12,22,.545,10,42,27,9,7,9,11,2025,new-hampshire
