,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40657,1,2024-11-04,,Nicholls State,W,91,84,31,81,.383,7,36,.194,22,32,.688,16,45,18,10,10,8,16,,30,72,.417,15,37,.405,9,16,.563,11,44,18,4,4,16,24,2025,new-mexico
40658,2,2024-11-08,N,UCLA,W,72,64,25,49,.510,6,15,.400,16,23,.696,6,29,14,12,3,22,26,,20,55,.364,5,23,.217,19,27,.704,13,32,13,12,3,21,24,2025,new-mexico
40659,3,2024-11-12,,Texas A&M-Corpus Christi,W,100,81,33,62,.532,9,23,.391,25,39,.641,10,35,22,15,9,13,28,,29,55,.527,5,16,.313,18,35,.514,6,32,20,7,4,22,26,2025,new-mexico
40660,4,2024-11-17,@,St. John's (NY),L,71,85,28,64,.438,8,18,.444,7,18,.389,13,26,19,9,5,11,17,,34,68,.500,4,18,.222,13,20,.650,19,45,20,8,4,15,17,2025,new-mexico
40661,5,2024-11-21,,Grambling,W,80,58,28,60,.467,7,18,.389,17,26,.654,8,42,23,14,9,15,14,,22,62,.355,7,19,.368,7,15,.467,7,32,17,9,3,21,24,2025,new-mexico
40662,6,2024-11-24,,Texas Southern,W,99,68,38,75,.507,11,27,.407,12,21,.571,13,40,19,10,9,7,16,,23,59,.390,9,18,.500,13,17,.765,6,31,14,4,3,18,18,2025,new-mexico
40663,7,2024-11-28,N,Arizona State,L,82,85,24,63,.381,6,16,.375,28,32,.875,10,33,10,6,3,11,26,,26,55,.473,9,19,.474,24,32,.750,7,28,16,5,4,9,21,2025,new-mexico
40664,8,2024-11-30,N,USC,W,83,73,30,58,.517,7,21,.333,16,24,.667,9,28,17,8,5,14,14,,27,55,.491,7,17,.412,12,18,.667,6,29,13,11,0,15,18,2025,new-mexico
40665,9,2024-12-04,,San Jose State,W,83,77,28,65,.431,7,17,.412,20,30,.667,11,37,17,7,4,8,13,,25,56,.446,10,21,.476,17,21,.810,6,28,13,6,7,10,22,2025,new-mexico
40666,10,2024-12-07,,New Mexico State,L (1 OT),83,89,30,84,.357,10,32,.313,13,22,.591,20,42,17,9,5,6,18,,32,62,.516,14,31,.452,11,17,.647,7,40,18,4,3,16,20,2025,new-mexico
40667,11,2024-12-14,,Western New Mexico,W,122,70,47,78,.603,14,28,.500,14,17,.824,12,38,31,17,5,11,17,,28,59,.475,7,20,.350,7,12,.583,6,22,11,8,5,24,14,2025,new-mexico
40668,12,2024-12-18,,VCU,W,78,71,27,64,.422,3,11,.273,21,30,.700,13,41,6,7,1,11,19,,24,57,.421,10,31,.323,13,24,.542,4,27,13,8,6,10,21,2025,new-mexico
40669,13,2024-12-28,@,Colorado State,W,76,68,31,63,.492,7,15,.467,7,9,.778,9,29,13,10,1,12,15,,27,60,.450,6,23,.261,8,8,1.000,12,35,19,9,6,17,9,2025,new-mexico
40670,14,2024-12-31,@,Fresno State,W,103,89,41,70,.586,9,23,.391,12,15,.800,5,35,21,10,8,16,19,,29,67,.433,10,22,.455,21,31,.677,8,28,10,10,4,14,15,2025,new-mexico
40671,15,2025-01-03,,Nevada,W (1 OT),82,81,23,49,.469,5,18,.278,31,41,.756,5,31,14,5,7,14,26,,25,59,.424,8,19,.421,23,35,.657,9,31,15,9,7,9,28,2025,new-mexico
40672,16,2025-01-07,@,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,new-mexico
40673,17,2025-01-11,,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,new-mexico
40674,18,2025-01-14,@,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,new-mexico
40675,19,2025-01-17,,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,new-mexico
40676,20,2025-01-20,,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,new-mexico
40677,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,new-mexico
