,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40723,1,2024-11-05,@,Kansas State,L,65,89,25,64,.391,9,20,.450,6,7,.857,12,33,13,7,3,12,13,,34,73,.466,13,34,.382,8,12,.667,18,41,24,7,6,9,12,2025,new-orleans
40724,2,2024-11-09,,Troy,L,61,78,24,65,.369,4,20,.200,9,20,.450,10,30,15,10,5,15,22,,27,63,.429,7,23,.304,17,23,.739,17,44,18,11,4,21,18,2025,new-orleans
40725,3,2024-11-14,N,Lindenwood,W,82,74,27,57,.474,9,25,.360,19,28,.679,10,35,15,9,6,16,16,,30,68,.441,6,27,.222,8,13,.615,12,33,15,9,3,13,22,2025,new-orleans
40726,4,2024-11-15,N,Stonehill,L,54,80,19,74,.257,5,26,.192,11,16,.688,12,29,7,12,3,9,19,,25,49,.510,11,26,.423,19,24,.792,5,44,17,5,2,16,14,2025,new-orleans
40727,5,2024-11-17,@,Robert Morris,L,62,73,20,50,.400,3,13,.231,19,26,.731,2,25,10,10,2,12,22,,22,52,.423,9,28,.321,20,28,.714,11,39,14,5,3,17,21,2025,new-orleans
40728,6,2024-11-22,@,Tulane,W (1 OT),93,87,31,62,.500,10,26,.385,21,31,.677,7,37,17,10,3,12,21,,27,67,.403,7,26,.269,26,33,.788,9,35,13,8,4,11,24,2025,new-orleans
40729,7,2024-11-27,@,Baylor,L,60,91,20,52,.385,9,22,.409,11,18,.611,11,33,11,2,2,16,10,,35,72,.486,15,37,.405,6,7,.857,14,34,19,10,5,6,13,2025,new-orleans
40730,8,2024-12-07,@,Nicholls State,L,70,73,23,55,.418,5,17,.294,19,25,.760,7,33,10,7,1,12,20,,28,66,.424,4,20,.200,13,21,.619,16,40,12,10,5,9,20,2025,new-orleans
40731,9,2024-12-15,@,Iowa,L,57,104,25,67,.373,4,24,.167,3,5,.600,12,28,16,4,1,15,7,,42,67,.627,14,29,.483,6,9,.667,6,33,28,9,11,6,7,2025,new-orleans
40732,10,2024-12-19,@,Texas,L,62,98,23,66,.348,7,20,.350,9,21,.429,13,34,9,2,0,8,18,,34,62,.548,13,25,.520,17,24,.708,10,44,15,6,9,6,20,2025,new-orleans
40733,11,2024-12-22,@,LSU,L,70,86,25,68,.368,6,22,.273,14,21,.667,10,33,7,9,1,8,18,,32,70,.457,7,29,.241,15,21,.714,14,47,15,5,8,13,15,2025,new-orleans
40734,12,2024-12-28,@,McNeese State,L,61,86,24,58,.414,6,24,.250,7,15,.467,15,34,11,4,2,14,14,,32,66,.485,11,31,.355,11,13,.846,12,31,19,7,4,6,15,2025,new-orleans
