,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41445,1.0,1.0,2024-11-04,,,REG (Non-Conf),W,100,65,,35,61,0.574,12,27,0.444,23,34,0.676,0.672,18,25,0.72,9,27,36,22,10,3,12,21,23,61,0.377,6,22,0.273,17,39,0.436,0.426,13,24,0.542,9,20,29,12,9,2,20,19,2025,niagara
41446,2.0,2.0,2024-11-07,@,Michigan State,REG (Non-Conf),L,60,96,,20,53,0.377,9,26,0.346,11,27,0.407,0.462,11,18,0.611,5,18,23,11,5,1,15,22,35,67,0.522,6,18,0.333,29,49,0.592,0.567,20,25,0.8,15,28,43,20,6,1,9,15,2025,niagara
41447,3.0,3.0,2024-11-10,@,Detroit Mercy,REG (Non-Conf),L,78,84,OT,27,64,0.422,13,34,0.382,14,30,0.467,0.523,11,17,0.647,5,22,27,13,9,2,9,22,27,59,0.458,9,20,0.45,18,39,0.462,0.534,21,29,0.724,10,31,41,14,6,1,13,14,2025,niagara
41448,4.0,4.0,2024-11-19,@,Bowling Green,REG (Non-Conf),L,68,76,,23,55,0.418,12,29,0.414,11,26,0.423,0.527,10,14,0.714,4,19,23,13,6,2,11,16,29,52,0.558,9,22,0.409,20,30,0.667,0.644,9,10,0.9,3,20,23,18,4,4,10,19,2025,niagara
41449,5.0,5.0,2024-11-21,@,Kent State,REG (Non-Conf),L,73,76,,23,50,0.46,9,22,0.409,14,28,0.5,0.55,18,23,0.783,3,17,20,11,6,2,12,20,24,55,0.436,9,24,0.375,15,31,0.484,0.518,19,22,0.864,13,22,35,12,5,5,12,23,2025,niagara
41450,6.0,6.0,2024-11-29,N,Binghamton,REG (Non-Conf),W,65,62,,26,54,0.481,8,25,0.32,18,29,0.621,0.556,5,6,0.833,4,20,24,9,7,2,8,11,23,54,0.426,12,30,0.4,11,24,0.458,0.537,4,4,1.0,8,24,32,14,3,3,14,10,2025,niagara
41451,7.0,7.0,2024-11-30,@,Lafayette,REG (Non-Conf),L,47,59,,15,59,0.254,3,26,0.115,12,33,0.364,0.28,14,17,0.824,8,36,44,3,1,1,9,17,19,60,0.317,7,27,0.259,12,33,0.364,0.375,14,17,0.824,7,35,42,12,6,4,2,14,2025,niagara
41452,8.0,8.0,2024-12-01,N,LIU,REG (Non-Conf),W,60,52,,21,43,0.488,6,20,0.3,15,23,0.652,0.558,12,17,0.706,5,26,31,11,7,3,15,12,19,54,0.352,7,24,0.292,12,30,0.4,0.417,7,7,1.0,6,18,24,11,10,0,10,18,2025,niagara
41453,9.0,9.0,2024-12-06,,Siena,REG (Conf),W,69,68,,22,45,0.489,8,19,0.421,14,26,0.538,0.578,17,20,0.85,3,23,26,14,4,0,8,15,24,54,0.444,11,31,0.355,13,23,0.565,0.546,9,14,0.643,7,20,27,18,5,3,6,16,2025,niagara
41454,10.0,10.0,2024-12-08,,Merrimack,REG (Conf),L,62,80,,20,48,0.417,4,17,0.235,16,31,0.516,0.458,18,23,0.783,8,16,24,12,1,3,6,10,29,53,0.547,10,25,0.4,19,28,0.679,0.642,12,13,0.923,5,17,22,19,4,3,3,20,2025,niagara
41455,11.0,11.0,2024-12-14,,Saint Francis (PA),REG (Non-Conf),W,69,66,,25,57,0.439,13,30,0.433,12,27,0.444,0.553,6,7,0.857,6,26,32,17,4,3,10,8,27,58,0.466,10,25,0.4,17,33,0.515,0.552,2,4,0.5,5,25,30,17,6,3,7,11,2025,niagara
41456,12.0,12.0,2024-12-21,@,St. Bonaventure,REG (Non-Conf),L,52,71,,17,50,0.34,8,28,0.286,9,22,0.409,0.42,10,11,0.909,2,24,26,8,2,2,11,15,24,55,0.436,11,24,0.458,13,31,0.419,0.536,12,17,0.706,5,28,33,13,7,6,7,9,2025,niagara
41457,13.0,13.0,2024-12-29,,Le Moyne,REG (Non-Conf),W,88,69,,31,66,0.47,10,24,0.417,21,42,0.5,0.545,16,22,0.727,14,17,31,19,14,1,11,14,22,50,0.44,8,22,0.364,14,28,0.5,0.52,17,23,0.739,7,22,29,9,5,2,18,19,2025,niagara
41458,14.0,14.0,2025-01-05,@,Mount St. Mary's,REG (Conf),L,62,68,,25,64,0.391,8,27,0.296,17,37,0.459,0.453,4,4,1.0,12,22,34,12,10,2,16,16,22,46,0.478,9,19,0.474,13,27,0.481,0.576,15,20,0.75,2,24,26,15,11,4,18,11,2025,niagara
41459,15.0,15.0,2025-01-10,,Saint Peter's,REG (Conf),W,70,60,,24,45,0.533,9,21,0.429,15,24,0.625,0.633,13,22,0.591,5,21,26,10,6,2,15,12,22,55,0.4,6,18,0.333,16,37,0.432,0.455,10,12,0.833,7,18,25,8,12,3,11,19,2025,niagara
41460,16.0,16.0,2025-01-12,,Rider,REG (Conf),L,65,68,,26,50,0.52,7,19,0.368,19,31,0.613,0.59,6,10,0.6,4,23,27,15,5,4,11,18,22,52,0.423,7,18,0.389,15,34,0.441,0.49,17,19,0.895,5,20,25,13,8,2,8,12,2025,niagara
41461,17.0,17.0,2025-01-16,@,Fairfield,REG (Conf),L,66,70,,25,51,0.49,7,21,0.333,18,30,0.6,0.559,9,13,0.692,6,21,27,13,7,3,13,16,24,63,0.381,10,31,0.323,14,32,0.438,0.46,12,13,0.923,15,22,37,14,5,2,13,16,2025,niagara
41462,18.0,18.0,2025-01-18,@,Manhattan,REG (Conf),L,65,72,,24,52,0.462,7,23,0.304,17,29,0.586,0.529,10,14,0.714,7,15,22,16,6,2,10,18,22,48,0.458,9,25,0.36,13,23,0.565,0.552,19,23,0.826,9,20,29,20,6,2,11,14,2025,niagara
41463,19.0,19.0,2025-01-23,,Marist,REG (Conf),L,65,67,OT,25,52,0.481,2,11,0.182,23,41,0.561,0.5,13,18,0.722,5,20,25,11,10,4,13,15,28,58,0.483,8,22,0.364,20,36,0.556,0.552,3,5,0.6,8,17,25,23,7,2,14,18,2025,niagara
41464,20.0,20.0,2025-01-25,,Sacred Heart,REG (Conf),L,77,86,,29,61,0.475,14,34,0.412,15,27,0.556,0.59,5,7,0.714,7,19,26,20,7,3,10,16,30,54,0.556,11,27,0.407,19,27,0.704,0.657,15,19,0.789,3,25,28,16,7,2,9,10,2025,niagara
41465,21.0,21.0,2025-01-31,@,Canisius,REG (Conf),W,64,63,,24,47,0.511,6,18,0.333,18,29,0.621,0.574,10,15,0.667,5,20,25,10,9,1,15,15,24,44,0.545,6,12,0.5,18,32,0.563,0.614,9,17,0.529,3,18,21,10,9,3,15,15,2025,niagara
41466,22.0,22.0,2025-02-06,@,Merrimack,REG (Conf),L,59,64,,21,54,0.389,3,14,0.214,18,40,0.45,0.417,14,19,0.737,12,29,41,9,6,3,16,16,23,61,0.377,3,19,0.158,20,42,0.476,0.402,15,18,0.833,8,21,29,6,13,4,9,17,2025,niagara
41467,23.0,23.0,2025-02-08,@,Quinnipiac,REG (Conf),W,76,75,,26,54,0.481,13,23,0.565,13,31,0.419,0.602,11,14,0.786,5,19,24,14,8,4,9,15,26,50,0.52,6,11,0.545,20,39,0.513,0.58,17,20,0.85,3,23,26,15,6,4,12,16,2025,niagara
41468,24.0,24.0,2025-02-12,,Canisius,REG (Conf),W,71,60,,24,51,0.471,3,22,0.136,21,29,0.724,0.5,20,23,0.87,5,22,27,12,8,3,8,15,23,47,0.489,4,13,0.308,19,34,0.559,0.532,10,14,0.714,5,23,28,10,3,1,15,22,2025,niagara
41469,25.0,25.0,2025-02-14,,Mount St. Mary's,REG (Conf),L,83,84,,26,55,0.473,11,25,0.44,15,30,0.5,0.573,20,26,0.769,7,17,24,14,6,0,11,16,31,54,0.574,7,13,0.538,24,41,0.585,0.639,15,21,0.714,10,24,34,11,7,2,16,20,2025,niagara
41470,26.0,26.0,2025-02-21,@,Siena,REG (Conf),L,60,94,,22,52,0.423,6,17,0.353,16,35,0.457,0.481,10,16,0.625,6,16,22,10,3,4,14,22,31,55,0.564,7,15,0.467,24,40,0.6,0.627,25,27,0.926,6,25,31,16,7,6,8,19,2025,niagara
41471,27.0,27.0,2025-02-23,@,Marist,REG (Conf),L,61,64,,23,54,0.426,5,21,0.238,18,33,0.545,0.472,10,14,0.714,3,30,33,5,6,1,12,17,23,60,0.383,5,20,0.25,18,40,0.45,0.425,13,18,0.722,10,29,39,14,5,2,10,16,2025,niagara
41472,28.0,28.0,2025-02-28,,Iona,REG (Conf),L,63,65,,23,57,0.404,6,23,0.261,17,34,0.5,0.456,11,15,0.733,6,20,26,15,8,2,12,8,27,54,0.5,6,16,0.375,21,38,0.553,0.556,5,12,0.417,7,27,34,18,10,2,15,18,2025,niagara
