,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40789,1,2024-11-04,@,New Mexico,L,84,91,30,72,.417,15,37,.405,9,16,.563,11,44,18,4,4,16,24,,31,81,.383,7,36,.194,22,32,.688,16,45,18,10,10,8,16,2025,nicholls-state
40790,2,2024-11-08,,South Alabama,L,64,70,22,63,.349,12,36,.333,8,13,.615,10,33,15,2,5,7,21,,19,57,.333,9,30,.300,23,30,.767,10,36,12,5,2,5,14,2025,nicholls-state
40791,3,2024-11-09,,Mississippi University for Women,W,93,44,38,71,.535,7,23,.304,10,15,.667,12,31,18,17,5,8,10,,17,50,.340,3,18,.167,7,10,.700,5,24,8,5,2,21,11,2025,nicholls-state
40792,4,2024-11-14,@,Northern Kentucky,W,61,59,22,68,.324,8,23,.348,9,18,.500,18,50,11,7,0,12,17,,19,52,.365,6,23,.261,15,23,.652,5,30,15,7,7,10,16,2025,nicholls-state
40793,5,2024-11-15,@,Cincinnati,L,49,86,21,69,.304,4,18,.222,3,7,.429,15,28,11,8,4,10,13,,33,61,.541,11,27,.407,9,14,.643,13,42,18,6,14,12,6,2025,nicholls-state
40794,6,2024-11-20,,Towson,L,64,70,21,51,.412,4,18,.222,18,28,.643,5,26,1,4,4,6,19,,20,55,.364,10,31,.323,20,30,.667,11,37,10,5,3,7,18,2025,nicholls-state
40795,7,2024-11-25,,Mississippi College,W,79,35,31,59,.525,4,12,.333,13,22,.591,9,39,14,18,4,11,8,,14,55,.255,5,23,.217,2,3,.667,4,26,8,6,4,21,14,2025,nicholls-state
40796,8,2024-11-30,@,Louisiana,W,76,75,24,55,.436,10,23,.435,18,20,.900,8,27,8,5,3,9,20,,27,58,.466,5,21,.238,16,21,.762,9,31,9,3,2,8,16,2025,nicholls-state
40797,9,2024-12-05,,Southeastern Louisiana,W,67,64,26,62,.419,4,24,.167,11,18,.611,7,35,9,11,3,10,16,,24,59,.407,5,20,.250,11,15,.733,5,37,11,6,0,15,17,2025,nicholls-state
40798,10,2024-12-07,,New Orleans,W,73,70,28,66,.424,4,20,.200,13,21,.619,16,40,12,10,5,9,20,,23,55,.418,5,17,.294,19,25,.760,7,33,10,7,1,12,20,2025,nicholls-state
40799,11,2024-12-10,,Southern–New Orleans,W,110,66,41,78,.526,7,25,.280,21,28,.750,16,47,17,13,8,17,14,,25,65,.385,5,16,.313,11,17,.647,6,27,12,16,3,22,20,2025,nicholls-state
40800,12,2024-12-18,@,Gonzaga,L,72,102,27,75,.360,10,33,.303,8,11,.727,7,22,13,13,1,10,22,,35,54,.648,8,17,.471,24,27,.889,4,39,23,6,6,14,10,2025,nicholls-state
40801,13,2024-12-30,@,Seattle,W,71,69,28,60,.467,5,16,.313,10,17,.588,10,30,10,9,3,11,21,,21,50,.420,7,17,.412,20,27,.741,8,30,11,4,7,14,14,2025,nicholls-state
40802,14,2025-01-04,@,Northwestern State,L,66,68,24,56,.429,7,17,.412,11,16,.688,9,27,12,5,8,10,20,,22,57,.386,5,18,.278,19,24,.792,15,38,12,8,4,11,13,2025,nicholls-state
40803,15,2025-01-06,@,East Texas A&M,W,83,61,31,55,.564,9,20,.450,12,13,.923,8,30,21,5,7,10,16,,25,60,.417,6,28,.214,5,12,.417,7,19,17,9,4,8,13,2025,nicholls-state
40804,16,2025-01-11,@,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40805,17,2025-01-13,@,Incarnate Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40806,18,2025-01-18,,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40807,19,2025-01-20,,Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40808,20,2025-01-25,@,Texas A&M-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40809,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,nicholls-state
40810,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,nicholls-state
40811,21,2025-01-27,@,Texas-Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40812,22,2025-02-01,,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40813,23,2025-02-03,,Houston Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
40814,24,2025-02-08,,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,nicholls-state
