,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40822,1,2024-11-04,,Penn,L,57,58,20,54,.370,7,24,.292,10,13,.769,7,32,8,6,4,11,23,,16,49,.327,5,19,.263,21,35,.600,8,33,5,4,2,11,16,2025,njit
40823,2,2024-11-08,@,Villanova,L,54,91,21,50,.420,10,25,.400,2,5,.400,3,15,13,1,3,11,19,,32,56,.571,11,23,.478,16,22,.727,10,35,16,3,5,5,14,2025,njit
40824,3,2024-11-12,,Loyola (MD),L,50,68,21,54,.389,3,18,.167,5,6,.833,5,27,7,4,7,15,12,,27,61,.443,8,22,.364,6,11,.545,10,36,10,5,2,10,13,2025,njit
40825,4,2024-11-16,@,Morgan State,L,69,81,24,61,.393,8,23,.348,13,17,.765,9,30,10,4,3,11,21,,28,62,.452,4,14,.286,21,24,.875,10,34,12,3,6,9,14,2025,njit
40826,5,2024-11-18,@,George Washington,L,64,84,23,55,.418,9,25,.360,9,10,.900,10,30,15,3,5,16,20,,28,55,.509,6,21,.286,22,29,.759,7,28,15,10,0,7,14,2025,njit
40827,6,2024-11-21,@,Bucknell,L,64,81,22,61,.361,6,20,.300,14,20,.700,11,34,9,7,8,13,22,,26,54,.481,10,23,.435,19,29,.655,5,30,19,7,5,10,18,2025,njit
40828,7,2024-11-26,@,Cleveland State,L,53,56,17,49,.347,5,20,.250,14,15,.933,7,27,12,7,6,17,21,,20,52,.385,0,13,.000,16,24,.667,10,28,6,6,5,12,15,2025,njit
40829,8,2024-11-27,N,Morehead State,W,78,69,24,52,.462,10,23,.435,20,23,.870,11,31,11,4,3,11,19,,25,58,.431,8,21,.381,11,23,.478,12,26,12,7,0,8,21,2025,njit
40830,9,2024-12-01,@,UMass,L,68,80,20,58,.345,6,22,.273,22,28,.786,14,33,11,4,1,10,23,,30,60,.500,3,17,.176,17,28,.607,11,32,16,6,6,8,20,2025,njit
40831,10,2024-12-04,@,Seton Hall,L,56,67,20,49,.408,9,22,.409,7,12,.583,8,26,6,5,3,14,18,,24,54,.444,4,15,.267,15,24,.625,12,32,14,6,4,8,15,2025,njit
40832,11,2024-12-07,,Navy,W,69,64,28,59,.475,3,15,.200,10,14,.714,8,40,8,3,9,10,17,,25,77,.325,6,30,.200,8,14,.571,19,42,12,3,2,5,17,2025,njit
40833,12,2024-12-11,@,Delaware State,L,59,71,18,56,.321,5,27,.185,18,25,.720,6,29,10,6,4,9,19,,26,67,.388,5,13,.385,14,21,.667,13,45,13,4,3,14,23,2025,njit
40834,13,2024-12-14,,Wagner,L,43,50,16,58,.276,4,22,.182,7,9,.778,6,33,5,8,4,10,15,,18,63,.286,4,22,.182,10,17,.588,17,48,8,6,3,11,13,2025,njit
40835,14,2024-12-29,@,Washington,L,53,90,19,51,.373,3,17,.176,12,22,.545,9,26,5,2,3,13,14,,34,61,.557,10,24,.417,12,14,.857,8,33,21,12,6,5,20,2025,njit
40836,15,2025-01-04,,Medgar Evers,W,107,51,41,83,.494,12,33,.364,13,17,.765,26,65,25,8,10,13,18,,20,68,.294,2,14,.143,9,17,.529,5,18,7,6,3,12,12,2025,njit
40837,16,2025-01-09,,UMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40838,17,2025-01-11,@,UMass-Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40839,18,2025-01-16,,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40840,19,2025-01-18,,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40841,20,2025-01-23,@,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40842,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,njit
40843,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,njit
40844,21,2025-01-25,@,Albany (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40845,22,2025-01-30,,UMass-Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40846,23,2025-02-01,,Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40847,24,2025-02-06,@,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40848,25,2025-02-08,@,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40849,26,2025-02-13,@,Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40850,27,2025-02-15,,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40851,28,2025-02-22,@,UMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40852,29,2025-02-27,,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40853,30,2025-03-01,,Albany (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
40854,31,2025-03-04,@,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,njit
