,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40855,1,2024-11-04,,Penn St.-Wilkes Barre,W,96,41,35,63,.556,7,21,.333,19,21,.905,7,39,24,14,4,9,12,,17,55,.309,4,17,.235,3,5,.600,4,21,5,6,0,19,16,2025,norfolk-state
40856,2,2024-11-06,,Virginia-Lynchburg,W,104,60,35,64,.547,15,28,.536,19,23,.826,8,40,15,8,2,10,22,,19,52,.365,5,14,.357,17,25,.680,5,28,6,6,2,15,16,2025,norfolk-state
40857,3,2024-11-09,,James Madison,W,83,69,27,45,.600,7,15,.467,22,29,.759,0,24,12,5,3,12,21,,23,62,.371,13,42,.310,10,18,.556,16,37,14,7,0,14,22,2025,norfolk-state
40858,4,2024-11-12,@,William & Mary,L,73,84,27,60,.450,1,14,.071,18,23,.783,9,31,12,9,3,12,16,,30,67,.448,16,46,.348,8,13,.615,15,38,22,7,4,14,20,2025,norfolk-state
40859,5,2024-11-16,@,Hampton,W,67,58,22,49,.449,7,18,.389,16,22,.727,7,28,16,6,5,9,16,,20,67,.299,8,31,.258,10,14,.714,19,35,12,5,6,12,18,2025,norfolk-state
40860,6,2024-11-20,@,Stanford,L,63,70,24,54,.444,5,16,.313,10,11,.909,4,27,5,2,0,12,25,,19,56,.339,8,34,.235,24,37,.649,18,39,11,6,3,6,14,2025,norfolk-state
40861,7,2024-11-22,@,Grand Canyon,L,73,91,29,62,.468,4,14,.286,11,14,.786,8,19,12,7,0,11,16,,33,54,.611,14,24,.583,11,14,.786,4,25,31,3,4,12,16,2025,norfolk-state
40862,8,2024-11-25,@,UC-Davis,W,76,55,27,58,.466,7,21,.333,15,18,.833,9,30,18,10,2,13,23,,14,39,.359,7,23,.304,20,29,.690,5,25,9,5,6,23,15,2025,norfolk-state
40863,9,2024-12-01,@,Stony Brook,W,77,66,28,54,.519,5,18,.278,16,20,.800,7,36,13,3,1,8,19,,20,56,.357,9,33,.273,17,20,.850,6,26,14,6,1,6,18,2025,norfolk-state
40864,10,2024-12-09,,Hofstra,L,67,80,19,49,.388,5,15,.333,24,26,.923,2,16,9,4,0,10,19,,27,45,.600,11,22,.500,15,20,.750,6,28,14,7,6,14,22,2025,norfolk-state
40865,11,2024-12-11,@,Baylor,L,69,94,23,47,.489,10,18,.556,13,21,.619,5,24,12,5,2,20,14,,36,65,.554,9,26,.346,13,19,.684,11,33,25,16,2,8,12,2025,norfolk-state
40866,12,2024-12-15,@,Northern Kentucky,L,62,71,22,58,.379,4,15,.267,14,21,.667,11,28,7,8,3,12,19,,23,49,.469,7,22,.318,18,24,.750,10,33,14,8,8,13,20,2025,norfolk-state
40867,13,2024-12-19,N,Alabama State,W,71,54,23,50,.460,3,10,.300,22,28,.786,9,40,9,8,1,13,16,,18,58,.310,3,26,.115,15,22,.682,10,28,8,8,5,11,17,2025,norfolk-state
40868,14,2024-12-20,N,Grambling,W,76,70,25,51,.490,6,15,.400,20,27,.741,6,24,13,6,2,6,17,,25,56,.446,5,21,.238,15,17,.882,9,28,11,3,6,9,20,2025,norfolk-state
40869,15,2024-12-29,@,High Point,W,77,74,28,52,.538,5,15,.333,16,23,.696,5,26,12,4,3,8,25,,19,55,.345,15,36,.417,21,33,.636,20,41,15,5,3,10,19,2025,norfolk-state
40870,16,2024-12-31,@,Tennessee,L,52,67,22,59,.373,2,13,.154,6,8,.750,8,25,6,2,4,11,19,,23,54,.426,8,31,.258,13,16,.813,9,29,14,7,8,6,11,2025,norfolk-state
40871,17,2025-01-04,,Maryland-Eastern Shore,W,81,59,33,57,.579,6,15,.400,9,16,.563,8,35,23,8,8,10,13,,23,65,.354,6,22,.273,7,12,.583,13,32,12,8,2,12,14,2025,norfolk-state
40872,18,2025-01-06,@,Delaware State,W,73,64,26,56,.464,4,14,.286,17,23,.739,6,32,17,10,3,13,19,,21,57,.368,3,12,.250,19,21,.905,11,31,11,6,2,15,17,2025,norfolk-state
40873,19,2025-01-11,,Coppin State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,norfolk-state
40874,20,2025-01-13,@,Morgan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,norfolk-state
40875,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,norfolk-state
