,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40887,1,2024-11-04,@,Air Force,W,73,57,27,58,.466,15,29,.517,4,9,.444,5,31,13,6,3,5,19,,18,46,.391,9,26,.346,12,17,.706,5,30,13,2,4,13,12,2025,north-alabama
40888,2,2024-11-07,,Point,W,94,58,32,66,.485,7,22,.318,23,28,.821,14,45,5,17,6,11,17,,21,61,.344,7,23,.304,9,14,.643,11,30,12,5,0,18,19,2025,north-alabama
40889,3,2024-11-11,,UT-Martin,W,87,69,34,70,.486,9,28,.321,10,13,.769,11,32,14,15,5,9,14,,24,56,.429,11,30,.367,10,15,.667,9,33,14,7,5,17,14,2025,north-alabama
40890,4,2024-11-15,,Samford,L (1 OT),96,97,33,74,.446,7,23,.304,23,38,.605,17,42,19,12,3,14,22,,33,67,.493,12,32,.375,19,30,.633,11,39,17,8,3,21,28,2025,north-alabama
40891,5,2024-11-18,@,Auburn,L,69,102,27,64,.422,5,15,.333,10,11,.909,4,20,5,8,0,10,14,,39,63,.619,12,27,.444,12,17,.706,7,34,25,6,6,11,12,2025,north-alabama
40892,6,2024-11-23,N,Louisiana-Monroe,W,74,62,29,65,.446,7,26,.269,9,11,.818,7,27,11,6,2,3,12,,25,52,.481,3,11,.273,9,15,.600,8,32,12,2,0,14,13,2025,north-alabama
40893,7,2024-11-24,@,Northwestern State,L,58,71,22,59,.373,8,26,.308,6,11,.545,12,28,8,6,4,10,13,,28,57,.491,7,23,.304,8,10,.800,10,33,21,6,4,11,10,2025,north-alabama
40894,8,2024-11-27,,Dalton State,W,100,69,34,64,.531,14,29,.483,18,25,.720,14,40,23,9,4,13,9,,29,73,.397,6,27,.222,5,7,.714,15,31,9,8,1,14,17,2025,north-alabama
40895,9,2024-12-01,@,Wofford,L,54,74,19,54,.352,4,18,.222,12,18,.667,5,25,7,9,1,10,14,,30,63,.476,7,23,.304,7,11,.636,15,45,15,4,2,13,15,2025,north-alabama
40896,10,2024-12-04,,Tennessee Tech,W,82,59,35,72,.486,7,27,.259,5,7,.714,13,42,13,8,1,5,10,,21,55,.382,9,30,.300,8,11,.727,5,25,11,3,2,11,9,2025,north-alabama
40897,11,2024-12-11,@,East Carolina,W,74,67,25,54,.463,9,24,.375,15,18,.833,7,35,16,4,4,14,15,,25,60,.417,5,24,.208,12,19,.632,7,27,12,10,5,9,16,2025,north-alabama
40898,12,2024-12-19,,Charleston Southern,W,86,69,33,59,.559,7,18,.389,13,17,.765,5,26,16,12,4,7,16,,22,53,.415,10,26,.385,15,23,.652,12,34,9,4,2,17,13,2025,north-alabama
