,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
40920,1,2024-11-04,,Elon,W,90,76,32,80,.400,13,32,.406,13,16,.813,15,39,22,11,7,6,13,,26,61,.426,13,29,.448,11,14,.786,9,37,11,4,5,15,12,2025,north-carolina
40921,2,2024-11-08,@,Kansas,L,89,92,27,63,.429,7,23,.304,28,31,.903,9,39,13,2,5,9,21,,37,76,.487,6,21,.286,12,17,.706,9,34,18,3,4,4,21,2025,north-carolina
40922,3,2024-11-15,,American,W,107,55,36,61,.590,7,22,.318,28,34,.824,8,44,16,8,4,9,15,,19,61,.311,7,31,.226,10,11,.909,6,22,6,3,1,12,23,2025,north-carolina
40923,4,2024-11-23,@,Hawaii,W,87,69,28,54,.519,5,15,.333,26,34,.765,3,22,16,8,3,5,23,,22,57,.386,8,23,.348,17,24,.708,13,38,11,1,3,13,20,2025,north-carolina
40924,5,2024-11-25,N,Dayton,W,92,90,28,54,.519,9,23,.391,27,34,.794,8,36,11,6,4,15,20,,32,74,.432,14,32,.438,12,15,.800,8,29,19,6,1,9,27,2025,north-carolina
40925,6,2024-11-26,N,Auburn,L,72,85,27,62,.435,6,16,.375,12,19,.632,7,35,7,3,2,10,16,,30,69,.435,11,30,.367,14,17,.824,11,42,15,7,7,7,22,2025,north-carolina
40926,7,2024-11-27,N,Michigan State,L (1 OT),91,94,32,64,.500,11,23,.478,16,21,.762,5,28,17,8,4,11,22,,33,61,.541,4,16,.250,24,31,.774,7,35,16,7,4,10,19,2025,north-carolina
40927,8,2024-12-04,,Alabama,L,79,94,32,78,.410,5,28,.179,10,16,.625,10,36,12,10,2,13,14,,35,71,.493,12,33,.364,12,13,.923,8,38,18,8,5,13,16,2025,north-carolina
40928,9,2024-12-07,,Georgia Tech,W,68,65,23,59,.390,5,24,.208,17,21,.810,9,43,10,11,2,18,18,,20,64,.313,8,27,.296,17,24,.708,9,34,9,5,4,14,20,2025,north-carolina
40929,10,2024-12-14,,La Salle,W,93,67,36,67,.537,10,31,.323,11,23,.478,12,45,22,8,6,10,16,,26,73,.356,10,29,.345,5,11,.455,11,31,15,7,0,12,16,2025,north-carolina
40930,11,2024-12-17,N,Florida,L,84,90,33,72,.458,5,28,.179,13,19,.684,8,30,10,11,2,10,23,,30,65,.462,11,32,.344,19,27,.704,14,43,14,7,3,17,20,2025,north-carolina
40931,12,2024-12-21,N,UCLA,W,76,74,22,47,.468,8,23,.348,24,35,.686,6,30,11,4,4,18,22,,26,53,.491,9,18,.500,13,22,.591,7,28,17,10,1,12,25,2025,north-carolina
40932,13,2024-12-29,,Campbell,W,97,81,36,63,.571,10,28,.357,15,20,.750,8,34,20,3,3,6,18,,28,63,.444,10,25,.400,15,20,.750,8,23,15,2,2,7,18,2025,north-carolina
