,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41019,1,2024-11-04,@,Colorado State,L,56,82,17,48,.354,5,16,.313,17,23,.739,3,29,5,4,3,20,19,,35,60,.583,4,17,.235,8,19,.421,5,35,25,12,6,10,23,2025,north-dakota
41020,2,2024-11-09,@,UTSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41021,3,2024-11-12,N,Dickinson State (ND),W,85,54,30,66,.455,7,23,.304,18,23,.783,11,45,12,8,3,10,11,,24,67,.358,4,28,.143,2,3,.667,8,31,10,5,5,12,16,2025,north-dakota
41022,4,2024-11-14,,Utah Valley,W,77,71,26,60,.433,5,18,.278,20,28,.714,11,29,13,7,2,13,19,,25,55,.455,4,18,.222,17,23,.739,10,35,12,10,6,15,22,2025,north-dakota
41023,5,2024-11-19,@,Notre Dame,L,58,75,22,64,.344,9,27,.333,5,8,.625,12,35,10,1,3,15,13,,32,62,.516,3,17,.176,8,10,.800,7,35,12,9,3,7,11,2025,north-dakota
41024,6,2024-11-22,@,Loyola Marymount,W,77,73,30,67,.448,7,19,.368,10,15,.667,12,41,13,4,5,11,17,,25,71,.352,8,31,.258,15,22,.682,14,39,13,7,7,6,17,2025,north-dakota
41025,7,2024-11-26,N,Bethune-Cookman,L,67,79,25,67,.373,7,31,.226,10,16,.625,18,42,9,7,3,17,18,,30,66,.455,7,18,.389,12,16,.750,12,34,6,13,3,9,18,2025,north-dakota
41026,8,2024-11-27,N,Southeastern Louisiana,L,60,76,18,57,.316,7,33,.212,17,20,.850,11,24,11,5,3,13,19,,25,53,.472,8,16,.500,18,24,.750,11,36,9,3,2,10,19,2025,north-dakota
41027,9,2024-12-04,@,Eastern Washington,L,81,87,28,55,.509,6,18,.333,19,28,.679,12,32,10,5,3,8,15,,31,62,.500,12,22,.545,13,18,.722,13,30,20,4,3,7,20,2025,north-dakota
41028,10,2024-12-07,,Weber State,W,80,75,28,64,.438,4,19,.211,20,29,.690,16,36,10,4,0,8,15,,28,53,.528,7,20,.350,12,14,.857,5,26,9,7,1,11,24,2025,north-dakota
41029,11,2024-12-11,@,Utah Valley,L,57,80,22,65,.338,9,29,.310,4,7,.571,11,35,7,6,2,8,11,,31,60,.517,12,28,.429,6,9,.667,5,35,22,4,9,9,11,2025,north-dakota
41030,12,2024-12-13,@,UTSA,L,76,80,26,67,.388,9,29,.310,15,30,.500,22,47,15,4,3,14,12,,31,65,.477,8,29,.276,10,13,.769,7,30,15,10,2,11,18,2025,north-dakota
41031,13,2024-12-15,,UTSA,L,85,95,29,65,.446,13,33,.394,14,26,.538,15,36,14,6,2,14,15,,29,56,.518,15,24,.625,22,24,.917,2,27,16,7,5,10,26,2025,north-dakota
41032,14,2024-12-18,,Alabama,L,90,97,33,76,.434,17,41,.415,7,8,.875,14,30,9,8,2,11,19,,33,63,.524,11,34,.324,20,30,.667,14,39,14,6,3,14,15,2025,north-dakota
41033,15,2024-12-20,,South Dakota Mines,W,80,48,30,67,.448,8,30,.267,12,15,.800,16,46,12,6,1,6,12,,16,57,.281,7,19,.368,9,13,.692,11,30,8,3,4,8,10,2025,north-dakota
41034,16,2024-12-29,,Waldorf,W,97,57,35,74,.473,14,33,.424,13,16,.813,14,50,18,14,1,9,12,,19,62,.306,7,23,.304,12,16,.750,7,32,8,3,2,16,13,2025,north-dakota
41035,17,2025-01-02,,Omaha,L,85,95,27,61,.443,9,32,.281,22,30,.733,13,33,15,5,1,12,21,,32,56,.571,10,20,.500,21,27,.778,9,33,12,8,0,12,26,2025,north-dakota
41036,18,2025-01-04,,St. Thomas,L,80,88,29,73,.397,10,31,.323,12,13,.923,12,38,14,4,2,7,16,,31,57,.544,14,30,.467,12,16,.750,4,34,13,3,3,11,15,2025,north-dakota
41037,19,2025-01-09,@,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41038,20,2025-01-11,@,Oral Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41039,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,north-dakota
41040,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,north-dakota
41041,21,2025-01-16,@,South Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41042,22,2025-01-18,,Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41043,23,2025-01-23,,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41044,24,2025-01-25,@,North Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41045,25,2025-02-01,,South Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41046,26,2025-02-06,@,Omaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41047,27,2025-02-08,@,Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41048,28,2025-02-13,,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41049,29,2025-02-15,,Oral Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41050,30,2025-02-22,,North Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41051,31,2025-02-27,@,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
41052,32,2025-03-01,@,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-dakota
