,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41053,1,2024-11-04,,Jamestown,W,96,59,35,62,.565,13,28,.464,13,20,.650,15,41,19,6,2,5,9,,23,56,.411,6,19,.316,7,9,.778,3,16,6,2,0,9,15,2025,north-dakota-state
41054,2,2024-11-07,,Illinois State,L,68,77,27,66,.409,11,39,.282,3,6,.500,5,26,12,1,3,6,14,,28,59,.475,8,20,.400,13,14,.929,8,38,11,2,1,5,10,2025,north-dakota-state
41055,3,2024-11-11,@,Cal State Bakersfield,L,81,86,26,50,.520,9,26,.346,20,25,.800,6,22,15,3,1,9,15,,34,59,.576,6,18,.333,12,18,.667,8,29,5,5,1,6,18,2025,north-dakota-state
41056,4,2024-11-13,@,Santa Clara,W (1 OT),88,80,27,57,.474,15,32,.469,19,24,.792,5,40,19,4,3,12,16,,31,75,.413,8,37,.216,10,16,.625,13,39,11,9,4,7,18,2025,north-dakota-state
41057,5,2024-11-18,@,Southern Illinois,L,44,69,18,68,.265,5,27,.185,3,7,.429,11,34,10,3,4,9,12,,29,56,.518,3,8,.375,8,15,.533,4,40,18,6,3,7,10,2025,north-dakota-state
41058,6,2024-11-21,,Minnesota-Crookston,W,67,60,24,59,.407,5,18,.278,14,23,.609,15,37,12,2,2,9,16,,22,52,.423,10,25,.400,6,13,.462,7,29,11,5,5,13,20,2025,north-dakota-state
41059,7,2024-11-26,@,Samford,L (1 OT),98,103,35,67,.522,20,39,.513,8,10,.800,13,30,26,8,3,17,20,,40,70,.571,10,29,.345,13,23,.565,17,35,24,10,8,12,12,2025,north-dakota-state
41060,8,2024-11-27,N,West Georgia,W,73,61,22,50,.440,15,37,.405,14,16,.875,7,41,15,2,2,13,17,,24,65,.369,2,18,.111,11,16,.688,9,28,6,6,2,5,13,2025,north-dakota-state
41061,9,2024-11-28,N,Utah Valley,W,83,63,26,47,.553,14,27,.519,17,19,.895,3,22,11,3,1,7,14,,24,54,.444,5,20,.250,10,15,.667,9,26,10,6,5,9,19,2025,north-dakota-state
41062,10,2024-12-04,@,Weber State,W,77,73,25,57,.439,15,34,.441,12,16,.750,10,34,12,1,1,7,13,,27,61,.443,9,25,.360,10,14,.714,10,35,12,3,2,3,13,2025,north-dakota-state
