,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41086,1,2024-11-04,@,South Carolina,W,74,71,29,69,.420,10,29,.345,6,13,.462,13,37,10,6,4,9,20,,26,56,.464,5,16,.313,14,25,.560,7,34,15,5,8,10,14,2025,north-florida
41087,2,2024-11-07,,Charleston Southern,W,90,66,32,63,.508,15,29,.517,11,18,.611,9,36,12,10,4,13,20,,28,61,.459,2,19,.105,8,20,.400,9,34,14,8,1,15,15,2025,north-florida
41088,3,2024-11-10,@,Georgia Tech,W,105,93,37,69,.536,9,31,.290,22,29,.759,9,38,12,3,4,8,14,,37,79,.468,13,29,.448,6,12,.500,13,38,22,4,2,10,20,2025,north-florida
41089,4,2024-11-12,@,Georgia,L,77,90,30,70,.429,12,37,.324,5,6,.833,11,27,13,4,0,9,24,,31,59,.525,6,15,.400,22,28,.786,13,39,15,3,8,10,11,2025,north-florida
41090,5,2024-11-18,,UNC Asheville,L,75,89,28,70,.400,14,42,.333,5,8,.625,10,32,17,3,3,6,21,,34,69,.493,8,19,.421,13,17,.765,14,45,15,3,4,5,14,2025,north-florida
41091,6,2024-11-21,,Edward Waters,W,108,59,39,77,.506,20,41,.488,10,14,.714,15,46,33,10,5,12,14,,27,67,.403,1,10,.100,4,13,.308,11,29,4,8,5,15,11,2025,north-florida
41092,7,2024-11-29,@,SIU-Edwardsville,W,78,73,27,65,.415,14,37,.378,10,22,.455,12,40,17,8,1,10,15,,28,72,.389,7,23,.304,10,16,.625,16,43,20,7,7,12,16,2025,north-florida
41093,8,2024-12-01,@,Nebraska,L,72,103,25,65,.385,14,43,.326,8,12,.667,7,32,13,2,1,16,19,,40,69,.580,11,24,.458,12,18,.667,5,35,22,12,4,6,12,2025,north-florida
41094,9,2024-12-05,,Warner,W,115,83,43,78,.551,17,43,.395,12,14,.857,15,52,26,6,4,16,15,,33,77,.429,5,24,.208,12,18,.667,10,29,8,14,4,10,13,2025,north-florida
41095,10,2024-12-07,@,Georgia Southern,L (1 OT),91,93,35,78,.449,14,45,.311,7,14,.500,7,33,18,6,2,11,19,,36,73,.493,9,24,.375,12,22,.545,10,43,23,7,4,14,12,2025,north-florida
41096,11,2024-12-14,,UNC Greensboro,W,89,77,33,69,.478,12,31,.387,11,15,.733,10,33,23,8,5,7,14,,30,66,.455,9,24,.375,8,10,.800,9,33,14,4,4,12,14,2025,north-florida
41097,12,2024-12-17,@,UNC Asheville,L,81,95,26,63,.413,12,40,.300,17,22,.773,8,23,17,9,2,11,21,,33,58,.569,9,20,.450,20,29,.690,12,38,20,8,3,14,17,2025,north-florida
41098,13,2024-12-21,@,Florida,L,45,99,13,56,.232,8,34,.235,11,18,.611,5,21,9,7,3,17,18,,34,76,.447,9,20,.450,22,27,.815,25,62,20,11,5,11,15,2025,north-florida
41099,14,2025-01-02,,Austin Peay,L,89,97,29,62,.468,6,17,.353,25,31,.806,10,30,11,5,5,9,23,,28,54,.519,7,17,.412,34,39,.872,7,33,16,7,0,10,19,2025,north-florida
41100,15,2025-01-04,,Lipscomb,L,64,96,23,64,.359,7,31,.226,11,18,.611,10,31,10,5,4,14,18,,33,61,.541,8,20,.400,22,29,.759,7,39,23,10,3,9,15,2025,north-florida
41101,16,2025-01-09,@,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41102,17,2025-01-11,@,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41103,18,2025-01-16,,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41104,19,2025-01-18,,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41105,20,2025-01-23,@,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41106,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,north-florida
41107,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,north-florida
41108,21,2025-01-25,@,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41109,22,2025-01-29,,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41110,23,2025-02-01,@,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41111,24,2025-02-06,,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41112,25,2025-02-08,,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41113,26,2025-02-13,@,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41114,27,2025-02-15,@,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41115,28,2025-02-18,@,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41116,29,2025-02-20,,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41117,30,2025-02-24,@,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
41118,31,2025-02-26,,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,north-florida
