,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41832,1,1,2024-11-05,,Evansville,REG (Non-Conf),W,80,63,,26,57,.456,9,24,.375,17,33,.515,.535,19,24,.792,13,20,33,12,10,0,8,11,22,47,.468,8,26,.308,14,21,.667,.553,11,17,.647,3,18,21,11,4,4,13,18,2025,north-texas
41833,2,2,2024-11-07,,,REG (Non-Conf),W,80,38,,27,59,.458,9,19,.474,18,40,.450,.534,17,24,.708,16,31,47,14,12,2,12,7,13,50,.260,8,25,.320,5,25,.200,.340,4,7,.571,3,19,22,9,10,3,18,20,2025,north-texas
41834,3,3,2024-11-13,@,Minnesota,REG (Non-Conf),W,54,51,,20,53,.377,5,17,.294,15,36,.417,.425,9,16,.563,9,23,32,9,7,2,5,20,15,48,.313,6,23,.261,9,25,.360,.375,15,22,.682,8,25,33,9,1,4,12,17,2025,north-texas
41835,4,4,2024-11-18,@,McNeese State,REG (Non-Conf),L,61,68,,17,54,.315,8,22,.364,9,32,.281,.389,19,23,.826,13,20,33,8,9,2,14,23,19,43,.442,4,17,.235,15,26,.577,.488,26,39,.667,9,20,29,12,11,6,11,21,2025,north-texas
41836,5,5,2024-11-21,,,REG (Non-Conf),W,73,66,,26,53,.491,6,22,.273,20,31,.645,.547,15,19,.789,7,16,23,8,10,1,10,9,26,47,.553,6,14,.429,20,33,.606,.617,8,12,.667,3,18,21,10,8,3,12,16,2025,north-texas
41837,6,6,2024-11-25,,Oregon State,REG (Non-Conf),W,58,55,,18,48,.375,8,25,.320,10,23,.435,.458,14,21,.667,7,13,20,12,14,4,9,14,18,38,.474,9,20,.450,9,18,.500,.592,10,14,.714,5,25,30,11,7,3,19,18,2025,north-texas
41838,Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2025,north-texas
41839,7,7,2024-11-28,N,Northern Iowa,NIT,W,68,48,,25,50,.500,9,17,.529,16,33,.485,.590,9,11,.818,3,30,33,9,10,1,10,10,20,49,.408,5,21,.238,15,28,.536,.459,3,6,.500,2,24,26,11,8,3,15,12,2025,north-texas
41840,8,8,2024-11-29,N,Utah State,NIT,L,57,61,,22,61,.361,7,30,.233,15,31,.484,.418,6,9,.667,10,17,27,11,12,5,9,17,20,46,.435,6,17,.353,14,29,.483,.500,15,21,.714,7,27,34,9,6,1,16,8,2025,north-texas
41841,9,9,2024-12-06,@,High Point,REG (Non-Conf),L,71,76,,21,50,.420,7,14,.500,14,36,.389,.490,22,27,.815,6,13,19,10,9,2,13,25,20,45,.444,8,25,.320,12,20,.600,.533,28,37,.757,10,22,32,13,7,2,16,24,2025,north-texas
41842,10,10,2024-12-18,,Mississippi Valley State,REG (Non-Conf),W,83,42,,30,47,.638,8,19,.421,22,28,.786,.723,15,21,.714,6,19,25,15,8,2,11,13,13,40,.325,3,12,.250,10,28,.357,.363,13,16,.813,5,9,14,5,10,1,16,17,2025,north-texas
41843,11,11,2024-12-20,,Appalachian State,REG (Non-Conf),W,68,64,,24,48,.500,5,20,.250,19,28,.679,.552,15,19,.789,11,17,28,11,8,3,10,14,22,42,.524,7,19,.368,15,23,.652,.607,13,16,.813,4,14,18,10,7,0,10,17,2025,north-texas
41844,12,12,2024-12-22,,Houston Christian,REG (Non-Conf),W,62,46,,24,51,.471,6,18,.333,18,33,.545,.529,8,11,.727,9,23,32,9,4,2,9,15,15,44,.341,4,22,.182,11,22,.500,.386,12,15,.800,4,18,22,8,6,2,7,11,2025,north-texas
41845,13,13,2024-12-31,,UAB,REG (Conf),W,78,75,,22,50,.440,9,21,.429,13,29,.448,.530,25,26,.962,7,15,22,7,11,1,8,16,23,56,.411,10,18,.556,13,38,.342,.500,19,21,.905,13,19,32,13,4,1,12,17,2025,north-texas
41846,14,14,2025-01-05,@,Memphis,REG (Conf),L,64,68,,22,51,.431,4,18,.222,18,33,.545,.471,16,21,.762,11,18,29,11,7,3,13,21,24,44,.545,5,13,.385,19,31,.613,.602,15,21,.714,4,15,19,7,8,3,15,18,2025,north-texas
