,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41184,1,2024-11-04,,Park (AZ),W,100,49,37,74,.500,10,33,.303,16,22,.727,14,47,22,16,3,8,14,,16,56,.286,7,25,.280,10,14,.714,4,22,13,4,4,22,15,2025,northern-arizona
41185,2,2024-11-08,,SW Assembl. of God,W,115,67,44,75,.587,8,19,.421,19,24,.792,15,53,25,7,4,11,14,,25,69,.362,8,30,.267,9,13,.692,6,20,9,10,3,12,18,2025,northern-arizona
41186,3,2024-11-12,@,Stanford,L,64,90,25,56,.446,8,22,.364,6,8,.750,8,20,14,3,2,10,13,,32,57,.561,12,23,.522,14,16,.875,8,29,17,9,2,5,14,2025,northern-arizona
41187,4,2024-11-14,@,Pacific,W,60,57,23,65,.354,5,30,.167,9,14,.643,14,36,13,6,1,11,14,,20,51,.392,8,21,.381,9,16,.563,8,34,14,4,5,17,16,2025,northern-arizona
41188,5,2024-11-19,,Embry–Riddle (AZ),W,82,47,31,54,.574,6,18,.333,14,29,.483,14,40,16,7,4,10,16,,16,55,.291,8,27,.296,7,10,.700,5,19,10,5,2,12,21,2025,northern-arizona
41189,6,2024-11-22,,Incarnate Word,W,75,74,24,62,.387,9,27,.333,18,28,.643,14,39,18,5,4,9,16,,27,65,.415,11,22,.500,9,15,.600,10,26,17,5,3,8,23,2025,northern-arizona
41190,7,2024-11-26,N,Eastern Michigan,L,68,72,27,65,.415,7,27,.259,7,12,.583,16,44,10,5,2,14,19,,24,55,.436,5,20,.250,19,28,.679,8,29,11,7,6,8,14,2025,northern-arizona
41191,8,2024-11-27,@,Houston Christian,W,74,71,30,60,.500,6,21,.286,8,10,.800,5,29,12,6,0,7,11,,28,54,.519,5,17,.294,10,13,.769,4,25,10,5,4,9,14,2025,northern-arizona
41192,9,2024-12-04,@,Oral Roberts,L,76,83,28,64,.438,8,29,.276,12,22,.545,10,37,11,4,3,7,20,,22,55,.400,13,31,.419,26,32,.813,7,31,9,4,1,6,18,2025,northern-arizona
41193,10,2024-12-07,,South Dakota,W,95,82,31,55,.564,9,20,.450,24,35,.686,5,35,20,4,1,9,23,,27,62,.435,6,22,.273,22,33,.667,10,33,11,7,1,9,25,2025,northern-arizona
41194,11,2024-12-14,@,Pepperdine,L,76,86,28,67,.418,12,28,.429,8,14,.571,13,34,17,4,1,12,16,,32,59,.542,7,13,.538,15,20,.750,5,28,21,6,3,7,15,2025,northern-arizona
41195,12,2024-12-21,@,Southern Utah,W,83,75,34,72,.472,7,21,.333,8,13,.615,10,35,18,8,1,6,19,,28,58,.483,6,19,.316,13,18,.722,8,35,14,3,4,13,14,2025,northern-arizona
41196,13,2024-12-30,,Benedictine,W,110,74,46,76,.605,14,28,.500,4,6,.667,9,41,30,11,3,8,11,,28,65,.431,9,23,.391,9,11,.818,5,23,16,6,1,14,11,2025,northern-arizona
41197,14,2025-01-02,,Idaho State,L,67,72,23,58,.397,10,27,.370,11,19,.579,10,29,15,5,3,14,20,,26,56,.464,5,13,.385,15,25,.600,11,33,14,7,5,11,17,2025,northern-arizona
41198,15,2025-01-04,,Weber State,W,80,77,29,57,.509,8,18,.444,14,18,.778,6,27,12,4,1,7,19,,26,58,.448,7,24,.292,18,20,.900,9,27,9,4,1,9,19,2025,northern-arizona
41199,16,2025-01-09,@,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41200,17,2025-01-11,@,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41201,18,2025-01-16,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41202,19,2025-01-18,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41203,20,2025-01-23,@,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41204,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,northern-arizona
41205,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,northern-arizona
41206,21,2025-01-25,@,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41207,22,2025-02-01,@,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41208,23,2025-02-03,@,Weber State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41209,24,2025-02-06,,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41210,25,2025-02-08,,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41211,26,2025-02-13,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41212,27,2025-02-15,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41213,28,2025-02-20,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41214,29,2025-02-22,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41215,30,2025-03-01,,Northern Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
41216,31,2025-03-03,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-arizona
