,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41980,1.0,1.0,2024-11-04,@,Georgia Southern,REG (Non-Conf),L,65,80,,22,58,0.379,8,30,0.267,14,28,0.5,0.448,13,17,0.765,8,26,34,12,9,5,19,15,31,64,0.484,12,27,0.444,19,37,0.514,0.578,6,12,0.5,8,24,32,17,14,2,15,21,2025,northern-illinois
41981,2.0,2.0,2024-11-07,,,REG (Non-Conf),W,105,37,,42,63,0.667,13,26,0.5,29,37,0.784,0.77,8,15,0.533,9,35,44,21,7,7,13,17,11,49,0.224,5,18,0.278,6,31,0.194,0.276,10,16,0.625,3,15,18,5,6,1,18,17,2025,northern-illinois
41982,3.0,3.0,2024-11-12,,Monmouth,REG (Non-Conf),W,79,66,,23,48,0.479,9,20,0.45,14,28,0.5,0.573,24,35,0.686,6,21,27,11,3,9,14,24,19,61,0.311,4,16,0.25,15,45,0.333,0.344,24,36,0.667,15,24,39,6,5,1,10,27,2025,northern-illinois
41983,4.0,4.0,2024-11-16,@,Bradley,REG (Non-Conf),L,60,76,,22,55,0.4,5,23,0.217,17,32,0.531,0.445,11,14,0.786,4,16,20,7,7,3,12,21,25,43,0.581,7,14,0.5,18,29,0.621,0.663,19,24,0.792,3,25,28,14,7,3,16,15,2025,northern-illinois
41984,5.0,5.0,2024-11-20,,Elon,REG (Non-Conf),L,48,75,,18,59,0.305,9,27,0.333,9,32,0.281,0.381,3,10,0.3,6,17,23,13,8,2,12,20,23,49,0.469,7,21,0.333,16,28,0.571,0.541,22,27,0.815,12,39,51,9,8,6,14,14,2025,northern-illinois
41985,6.0,6.0,2024-11-23,@,DePaul,REG (Non-Conf),L,52,98,,17,67,0.254,6,29,0.207,11,38,0.289,0.299,12,15,0.8,3,22,25,12,9,3,6,12,36,66,0.545,15,29,0.517,21,37,0.568,0.659,11,15,0.733,10,44,54,22,4,4,11,14,2025,northern-illinois
41986,7.0,7.0,2024-11-27,@,Valparaiso,REG (Non-Conf),L,82,87,,25,55,0.455,10,22,0.455,15,33,0.455,0.545,22,30,0.733,7,32,39,11,3,4,13,32,23,59,0.39,6,21,0.286,17,38,0.447,0.441,35,44,0.795,9,22,31,8,5,3,4,20,2025,northern-illinois
41987,8.0,8.0,2024-11-29,@,Eastern Illinois,REG (Non-Conf),L,59,72,,16,54,0.296,11,37,0.297,5,17,0.294,0.398,16,17,0.941,1,23,24,13,6,5,10,20,26,58,0.448,3,13,0.231,23,45,0.511,0.474,17,22,0.773,8,33,41,11,8,4,10,15,2025,northern-illinois
41988,9.0,9.0,2024-12-03,,,REG (Non-Conf),W,89,70,,36,71,0.507,12,31,0.387,24,40,0.6,0.592,5,6,0.833,4,27,31,16,9,3,9,15,24,66,0.364,11,32,0.344,13,34,0.382,0.447,11,17,0.647,15,27,42,13,7,1,19,12,2025,northern-illinois
41989,10.0,10.0,2024-12-07,@,Northern Iowa,REG (Non-Conf),L,57,101,,18,56,0.321,6,30,0.2,12,26,0.462,0.375,15,20,0.75,6,15,21,10,5,0,8,21,34,55,0.618,12,24,0.5,22,31,0.71,0.727,21,29,0.724,9,34,43,21,5,2,8,13,2025,northern-illinois
41990,11.0,11.0,2024-12-18,@,Illinois State,REG (Non-Conf),L,60,81,,22,60,0.367,6,29,0.207,16,31,0.516,0.417,10,12,0.833,4,20,24,10,6,2,10,18,30,60,0.5,10,24,0.417,20,36,0.556,0.583,11,14,0.786,10,32,42,19,6,0,14,14,2025,northern-illinois
41991,12.0,12.0,2024-12-30,,,REG (Non-Conf),W,117,50,,45,90,0.5,10,29,0.345,35,61,0.574,0.556,17,24,0.708,19,39,58,20,16,4,8,21,15,57,0.263,5,24,0.208,10,33,0.303,0.307,15,23,0.652,4,23,27,6,5,4,22,21,2025,northern-illinois
41992,13.0,13.0,2025-01-04,@,Eastern Michigan,REG (Conf),L,71,75,,21,53,0.396,10,23,0.435,11,30,0.367,0.491,19,21,0.905,3,25,28,12,4,2,13,20,27,60,0.45,5,23,0.217,22,37,0.595,0.492,16,22,0.727,9,25,34,14,5,1,10,15,2025,northern-illinois
41993,14.0,14.0,2025-01-07,,Kent State,REG (Conf),L,50,68,,18,59,0.305,7,27,0.259,11,32,0.344,0.364,7,15,0.467,6,19,25,11,4,3,11,12,29,62,0.468,3,17,0.176,26,45,0.578,0.492,7,13,0.538,13,34,47,12,10,6,14,14,2025,northern-illinois
41994,15.0,15.0,2025-01-11,@,Ohio,REG (Conf),L,70,108,,26,67,0.388,10,30,0.333,16,37,0.432,0.463,8,18,0.444,2,20,22,13,7,1,9,22,37,60,0.617,17,31,0.548,20,29,0.69,0.758,17,25,0.68,6,36,42,25,3,2,15,18,2025,northern-illinois
41995,16.0,16.0,2025-01-14,,Miami (OH),REG (Conf),L,69,84,,23,59,0.39,11,33,0.333,12,26,0.462,0.483,12,17,0.706,9,13,22,11,3,5,15,23,26,51,0.51,10,22,0.455,16,29,0.552,0.608,22,26,0.846,10,22,32,12,8,3,19,21,2025,northern-illinois
41996,17.0,17.0,2025-01-18,,Central Michigan,REG (Conf),L,66,71,,23,54,0.426,13,27,0.481,10,27,0.37,0.546,7,15,0.467,6,17,23,13,6,2,9,12,29,60,0.483,6,14,0.429,23,46,0.5,0.533,7,11,0.636,11,24,35,18,7,2,14,16,2025,northern-illinois
41997,18.0,18.0,2025-01-21,@,Western Michigan,REG (Conf),L,70,72,,24,54,0.444,7,25,0.28,17,29,0.586,0.509,15,16,0.938,6,20,26,12,6,8,10,21,23,60,0.383,7,23,0.304,16,37,0.432,0.442,19,27,0.704,14,21,35,17,7,2,13,17,2025,northern-illinois
41998,19.0,19.0,2025-01-25,,Ball State,REG (Conf),W,76,66,,24,55,0.436,13,27,0.481,11,28,0.393,0.555,15,26,0.577,7,30,37,15,3,1,7,21,22,57,0.386,9,25,0.36,13,32,0.406,0.465,13,28,0.464,4,24,28,18,4,2,4,20,2025,northern-illinois
41999,20.0,20.0,2025-01-28,,Akron,REG (Conf),L,70,80,,22,56,0.393,7,23,0.304,15,33,0.455,0.455,19,29,0.655,1,24,25,12,10,1,12,21,27,63,0.429,10,33,0.303,17,30,0.567,0.508,16,21,0.762,10,32,42,14,6,4,15,21,2025,northern-illinois
42000,21.0,21.0,2025-02-01,@,Toledo,REG (Conf),L,85,89,,33,69,0.478,12,31,0.387,21,38,0.553,0.565,7,13,0.538,3,28,31,16,4,7,5,25,26,65,0.4,4,13,0.308,22,52,0.423,0.431,33,38,0.868,11,35,46,14,3,3,6,13,2025,northern-illinois
