,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41282,1,2024-11-04,,Dubuque,W,96,54,35,67,.522,5,17,.294,21,24,.875,17,48,16,10,5,13,14,,18,60,.300,10,33,.303,8,9,.889,5,22,7,9,1,18,19,2025,northern-iowa
41283,2,2024-11-07,,Milwaukee,W,87,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41284,3,2024-11-10,,UC-Irvine,L,60,80,23,58,.397,7,17,.412,7,13,.538,5,25,9,8,2,10,15,,33,60,.550,4,16,.250,10,12,.833,6,36,12,4,2,12,15,2025,northern-iowa
41285,4,2024-11-14,@,Wichita State,L,73,79,28,59,.475,8,20,.400,9,14,.643,5,29,17,4,6,9,15,,27,63,.429,6,15,.400,19,24,.792,11,37,10,6,2,8,13,2025,northern-iowa
41286,5,2024-11-19,,Western Illinois,W,82,56,31,51,.608,5,17,.294,15,21,.714,4,27,14,9,3,7,13,,23,53,.434,4,16,.250,6,9,.667,7,24,6,2,2,10,18,2025,northern-iowa
41287,6,2024-11-28,N,North Texas,L,48,68,20,49,.408,5,21,.238,3,6,.500,2,26,11,8,3,15,12,,25,50,.500,9,17,.529,9,11,.818,3,33,9,10,1,10,10,2025,northern-iowa
41288,7,2024-11-29,N,St. Bonaventure,L,56,68,22,46,.478,6,19,.316,6,10,.600,4,23,11,5,1,17,13,,25,50,.500,6,17,.353,12,13,.923,7,23,11,14,3,12,10,2025,northern-iowa
41289,8,2024-12-04,@,UIC,W,83,56,30,53,.566,11,18,.611,12,18,.667,6,28,20,9,4,9,15,,19,59,.322,5,23,.217,13,18,.722,18,34,12,3,3,13,17,2025,northern-iowa
41290,9,2024-12-07,,Northern Illinois,W,101,57,34,55,.618,12,24,.500,21,29,.724,9,43,21,5,2,8,13,,18,56,.321,6,30,.200,15,20,.750,6,21,10,5,0,8,21,2025,northern-iowa
41291,10,2024-12-13,,Omaha,W,78,58,22,46,.478,6,14,.429,28,35,.800,5,32,14,4,1,7,16,,21,57,.368,12,32,.375,4,10,.400,8,33,9,3,3,11,22,2025,northern-iowa
41292,11,2024-12-16,,Montana,W,104,76,40,58,.690,11,19,.579,13,18,.722,4,23,19,7,3,7,14,,29,53,.547,5,22,.227,13,17,.765,4,17,10,5,3,12,14,2025,northern-iowa
41293,12,2024-12-21,N,Washington State,L,68,76,24,61,.393,4,22,.182,16,23,.696,11,31,17,6,0,10,15,,32,54,.593,7,21,.333,5,10,.500,5,29,23,8,4,12,18,2025,northern-iowa
41294,13,2024-12-29,,Southern Illinois,W,78,67,29,52,.558,7,17,.412,13,17,.765,6,29,14,6,3,13,14,,26,57,.456,8,24,.333,7,13,.538,9,27,10,7,2,13,15,2025,northern-iowa
41295,14,2025-01-01,,Belmont,W,76,70,29,64,.453,3,18,.167,15,23,.652,8,41,7,7,2,5,16,,24,61,.393,12,39,.308,10,17,.588,4,36,17,3,6,9,22,2025,northern-iowa
41296,15,2025-01-04,@,Valparaiso,L,73,80,25,50,.500,5,20,.250,18,26,.692,5,32,10,2,3,14,18,,25,59,.424,9,29,.310,21,24,.875,7,28,13,8,3,6,17,2025,northern-iowa
41297,16,2025-01-08,,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41298,17,2025-01-11,@,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41299,18,2025-01-14,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41300,19,2025-01-18,@,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41301,20,2025-01-21,,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41302,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,northern-iowa
41303,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,northern-iowa
41304,21,2025-01-25,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41305,22,2025-01-29,@,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41306,23,2025-02-02,,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41307,24,2025-02-05,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41308,25,2025-02-08,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41309,26,2025-02-11,,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41310,27,2025-02-16,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41311,28,2025-02-19,@,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41312,29,2025-02-23,,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41313,30,2025-02-26,,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
41314,31,2025-03-02,@,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-iowa
