,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41315,1,2024-11-04,@,Florida State,L,62,74,19,49,.388,7,28,.250,17,23,.739,4,32,14,7,1,22,17,,28,63,.444,4,22,.182,14,18,.778,6,28,14,14,6,12,18,2025,northern-kentucky
41316,2,2024-11-08,@,Purdue,L,50,72,17,57,.298,5,23,.217,11,14,.786,14,32,11,8,1,12,14,,27,51,.529,9,22,.409,9,14,.643,8,30,19,8,2,13,15,2025,northern-kentucky
41317,3,2024-11-14,,Nicholls State,L,59,61,19,52,.365,6,23,.261,15,23,.652,5,30,15,7,7,10,16,,22,68,.324,8,23,.348,9,18,.500,18,50,11,7,0,12,17,2025,northern-kentucky
41318,4,2024-11-19,,Cincinnati,L,60,76,26,61,.426,4,14,.286,4,8,.500,12,30,9,6,0,15,10,,31,58,.534,11,22,.500,3,6,.500,6,27,19,10,6,10,10,2025,northern-kentucky
41319,5,2024-11-23,,Kentucky State,W,85,59,30,66,.455,11,27,.407,14,23,.609,13,38,24,20,5,16,21,,18,55,.327,7,24,.292,16,25,.640,11,33,8,10,4,25,21,2025,northern-kentucky
41320,6,2024-11-27,@,College of Charleston,L,64,79,25,64,.391,7,27,.259,7,12,.583,12,28,12,12,1,12,15,,27,51,.529,11,24,.458,14,20,.700,10,38,15,8,1,15,14,2025,northern-kentucky
41321,7,2024-11-30,,Bellarmine,W,86,70,32,62,.516,7,25,.280,15,21,.714,9,34,16,8,3,5,12,,24,53,.453,12,31,.387,10,10,1.000,3,24,16,3,1,13,20,2025,northern-kentucky
41322,8,2024-12-03,@,Akron,L,73,86,24,53,.453,8,24,.333,17,28,.607,9,21,12,9,0,11,20,,26,49,.531,11,25,.440,23,28,.821,8,34,15,4,3,16,25,2025,northern-kentucky
41323,9,2024-12-07,@,IU Indianapolis,W,66,64,26,58,.448,9,26,.346,5,7,.714,7,25,15,10,6,10,14,,24,47,.511,10,20,.500,6,9,.667,7,28,12,4,1,15,13,2025,northern-kentucky
41324,10,2024-12-11,,University of the Cumberlands,W,98,79,38,66,.576,8,20,.400,14,21,.667,14,43,18,7,3,17,17,,32,69,.464,6,25,.240,9,12,.750,9,20,13,9,2,12,19,2025,northern-kentucky
41325,11,2024-12-15,,Norfolk State,W,71,62,23,49,.469,7,22,.318,18,24,.750,10,33,14,8,8,13,20,,22,58,.379,4,15,.267,14,21,.667,11,28,7,8,3,12,19,2025,northern-kentucky
41326,12,2024-12-18,,Detroit Mercy,W,73,60,26,57,.456,10,25,.400,11,25,.440,9,31,18,6,4,11,13,,23,54,.426,6,13,.462,8,11,.727,7,31,8,8,2,16,21,2025,northern-kentucky
41327,13,2024-12-21,,South Carolina State,W,58,47,21,56,.375,6,21,.286,10,17,.588,9,31,13,13,2,10,17,,15,44,.341,8,23,.348,9,19,.474,6,27,12,6,6,16,18,2025,northern-kentucky
41328,14,2024-12-29,@,Robert Morris,L (3 OT),93,97,33,81,.407,8,22,.364,19,30,.633,16,53,16,7,5,21,25,,35,91,.385,7,33,.212,20,32,.625,19,47,23,11,8,12,23,2025,northern-kentucky
41329,15,2025-01-01,,Purdue Fort Wayne,W (1 OT),69,68,23,58,.397,14,34,.412,9,14,.643,12,38,18,5,5,15,12,,24,60,.400,13,37,.351,7,7,1.000,3,24,13,8,1,13,15,2025,northern-kentucky
41330,16,2025-01-04,,Green Bay,W,78,60,24,53,.453,13,26,.500,17,26,.654,12,38,17,3,4,8,8,,21,50,.420,13,26,.500,5,6,.833,2,24,17,5,0,9,22,2025,northern-kentucky
41331,17,2025-01-08,@,Youngstown State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41332,18,2025-01-11,,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41333,19,2025-01-15,@,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41334,20,2025-01-18,,Wright State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41335,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,northern-kentucky
41336,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,northern-kentucky
41337,21,2025-01-24,,Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41338,22,2025-01-30,@,Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41339,23,2025-02-01,@,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41340,24,2025-02-05,,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41341,25,2025-02-08,,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41342,26,2025-02-14,@,Green Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41343,27,2025-02-16,@,Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41344,28,2025-02-21,@,Wright State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41345,29,2025-02-23,,IU Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41346,30,2025-02-27,@,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
41347,31,2025-03-01,,Youngstown State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northern-kentucky
