,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41348,1,2024-11-04,,Lehigh,W,90,46,36,66,.545,9,20,.450,9,14,.643,10,41,22,10,3,7,18,,17,53,.321,2,17,.118,10,18,.556,6,26,8,4,1,12,16,2025,northwestern
41349,2,2024-11-09,@,Dayton,L,66,71,25,56,.446,5,20,.250,11,13,.846,9,31,11,6,1,15,21,,24,46,.522,8,21,.381,15,25,.600,3,25,16,10,4,14,15,2025,northwestern
41350,3,2024-11-12,,UIC,W,83,74,27,54,.500,7,15,.467,22,33,.667,6,27,18,10,3,9,21,,25,54,.463,10,23,.435,14,22,.636,10,34,18,4,2,19,25,2025,northwestern
41351,4,2024-11-15,,Eastern Illinois,W (1 OT),67,58,21,52,.404,5,19,.263,20,27,.741,13,34,14,9,4,13,12,,25,61,.410,3,19,.158,5,8,.625,10,27,20,9,4,14,20,2025,northwestern
41352,5,2024-11-19,,Montana State,W,72,69,29,64,.453,4,16,.250,10,16,.625,14,37,13,7,7,8,16,,25,56,.446,9,22,.409,10,12,.833,9,32,19,6,3,10,15,2025,northwestern
41353,6,2024-11-22,,Pepperdine,W,68,50,24,57,.421,2,11,.182,18,21,.857,5,36,12,7,3,6,18,,16,56,.286,3,20,.150,15,18,.833,7,34,12,3,3,11,18,2025,northwestern
41354,7,2024-11-28,N,Butler,L,69,71,22,61,.361,4,16,.250,21,26,.808,10,27,10,7,1,4,20,,22,47,.468,6,16,.375,21,27,.778,6,34,14,1,4,14,20,2025,northwestern
41355,8,2024-11-29,N,UNLV,W,66,61,20,49,.408,8,18,.444,18,26,.692,10,30,15,7,2,12,15,,24,57,.421,6,18,.333,7,10,.700,11,31,9,2,4,13,17,2025,northwestern
41356,9,2024-12-03,@,Iowa,L,79,80,29,60,.483,8,21,.381,13,16,.813,8,32,13,8,1,11,19,,30,55,.545,9,23,.391,11,19,.579,4,24,16,7,2,12,14,2025,northwestern
41357,10,2024-12-06,,Illinois,W (1 OT),70,66,28,72,.389,4,21,.190,10,17,.588,7,38,13,5,6,4,14,,25,67,.373,9,34,.265,7,11,.636,6,42,19,2,4,9,16,2025,northwestern
41358,11,2024-12-15,N,Georgia Tech,W,71,60,26,65,.400,9,22,.409,10,16,.625,6,30,18,9,4,6,14,,22,56,.393,7,24,.292,9,13,.692,6,38,14,1,4,15,15,2025,northwestern
41359,12,2024-12-21,,DePaul,W,84,64,34,64,.531,5,12,.417,11,16,.688,7,28,17,14,5,8,11,,20,54,.370,12,27,.444,12,15,.800,10,30,13,7,4,16,16,2025,northwestern
41360,13,2024-12-29,,Northeastern,W,85,60,30,56,.536,9,25,.360,16,22,.727,8,25,17,15,1,6,13,,24,47,.511,9,22,.409,3,4,.750,5,22,15,3,1,21,19,2025,northwestern
41361,14,2025-01-02,@,Penn State,L,80,84,28,61,.459,6,22,.273,18,21,.857,13,29,19,9,4,15,30,,22,44,.500,4,15,.267,36,45,.800,8,27,13,9,5,16,17,2025,northwestern
41362,15,2025-01-05,@,Purdue,L,61,79,23,60,.383,7,25,.280,8,12,.667,10,25,14,7,5,13,17,,28,55,.509,8,20,.400,15,18,.833,8,34,14,7,2,11,14,2025,northwestern
41363,16,2025-01-12,,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41364,17,2025-01-16,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41365,18,2025-01-19,@,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41366,19,2025-01-22,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41367,20,2025-01-26,@,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41368,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,northwestern
41369,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,northwestern
41370,21,2025-01-29,,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41371,22,2025-02-01,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
41372,23,2025-02-04,,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern
