,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41381,1,2024-11-04,,Dallas Christian,W,96,55,31,62,.500,10,27,.370,24,28,.857,11,30,15,13,6,8,16,,18,55,.327,7,26,.269,12,14,.857,10,30,7,4,3,22,21,2025,northwestern-state
41382,2,2024-11-08,@,Texas Tech,L,65,86,22,59,.373,8,18,.444,13,22,.591,14,35,10,5,3,12,20,,29,57,.509,6,19,.316,22,29,.759,10,36,15,7,3,9,18,2025,northwestern-state
41383,3,2024-11-11,@,Oklahoma,L,57,73,23,50,.460,4,17,.235,7,11,.636,6,28,7,8,8,19,18,,25,58,.431,6,21,.286,17,22,.773,9,30,10,16,1,9,14,2025,northwestern-state
41384,4,2024-11-16,@,Rice,L (1 OT),75,77,27,63,.429,11,26,.423,10,19,.526,9,34,12,11,3,9,26,,21,51,.412,9,27,.333,26,38,.684,9,34,12,5,5,12,15,2025,northwestern-state
41385,5,2024-11-22,,Louisiana-Monroe,L,63,65,26,53,.491,6,19,.316,5,9,.556,4,31,18,2,8,12,11,,24,59,.407,6,14,.429,11,16,.688,8,30,10,8,0,8,12,2025,northwestern-state
41386,6,2024-11-24,,North Alabama,W,71,58,28,57,.491,7,23,.304,8,10,.800,10,33,21,6,4,11,10,,22,59,.373,8,26,.308,6,11,.545,12,28,8,6,4,10,13,2025,northwestern-state
41387,7,2024-11-29,@,LSU,L,53,77,21,67,.313,8,26,.308,3,10,.300,16,34,11,8,3,19,14,,26,58,.448,10,27,.370,15,18,.833,10,36,15,10,9,12,11,2025,northwestern-state
41388,8,2024-12-05,@,Incarnate Word,W,72,70,25,53,.472,7,15,.467,15,18,.833,7,23,16,9,5,7,10,,25,52,.481,11,24,.458,9,11,.818,5,26,13,5,5,13,13,2025,northwestern-state
41389,9,2024-12-07,@,Houston Christian,W,64,57,26,50,.520,3,11,.273,9,11,.818,7,30,12,6,5,12,15,,22,52,.423,5,21,.238,8,13,.615,8,25,9,5,2,11,11,2025,northwestern-state
41390,10,2024-12-14,@,California,L,66,84,25,58,.431,8,20,.400,8,16,.500,12,30,13,6,2,11,19,,28,53,.528,12,25,.480,16,21,.762,8,29,11,2,6,13,18,2025,northwestern-state
41391,11,2024-12-20,,Southern–New Orleans,W,89,79,31,60,.517,8,20,.400,19,21,.905,11,40,22,7,5,20,11,,30,67,.448,8,20,.400,11,19,.579,8,24,18,15,2,12,14,2025,northwestern-state
41392,12,2024-12-29,@,Texas,L,53,77,21,55,.382,3,17,.176,8,17,.471,7,23,7,9,3,5,15,,27,54,.500,11,25,.440,12,15,.800,12,41,15,2,5,10,15,2025,northwestern-state
41393,13,2025-01-04,,Nicholls State,W,68,66,22,57,.386,5,18,.278,19,24,.792,15,38,12,8,4,11,13,,24,56,.429,7,17,.412,11,16,.688,9,27,12,5,8,10,20,2025,northwestern-state
41394,14,2025-01-06,,McNeese State,L,69,92,21,51,.412,8,25,.320,19,22,.864,7,23,12,5,8,10,14,,31,57,.544,16,28,.571,14,18,.778,8,27,19,7,4,7,19,2025,northwestern-state
41395,15,2025-01-11,,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41396,16,2025-01-13,@,Texas A&M-Corpus Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41397,17,2025-01-18,,Southeastern Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41398,18,2025-01-20,,New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41399,19,2025-01-25,@,Stephen F. Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41400,20,2025-01-27,@,Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41401,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,northwestern-state
41402,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,northwestern-state
41403,21,2025-02-01,@,East Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41404,22,2025-02-03,,Texas-Rio Grande Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41405,23,2025-02-08,@,McNeese State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
41406,24,2025-02-10,@,Nicholls State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,northwestern-state
