,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41413,1,2024-11-06,,Stonehill,W,89,60,31,61,.508,11,23,.478,16,22,.727,14,45,14,5,1,12,16,,17,56,.304,11,31,.355,15,18,.833,5,21,12,9,6,9,20,2025,notre-dame
41414,2,2024-11-11,,Buffalo,W,86,77,30,59,.508,5,20,.250,21,27,.778,5,39,16,6,5,9,13,,30,70,.429,11,34,.324,6,11,.545,4,33,16,6,3,11,20,2025,notre-dame
41415,3,2024-11-16,@,Georgetown,W,84,63,32,54,.593,9,21,.429,11,12,.917,8,42,20,3,2,11,17,,22,70,.314,8,32,.250,11,16,.688,14,27,15,7,2,5,16,2025,notre-dame
41416,4,2024-11-19,,North Dakota,W,75,58,32,62,.516,3,17,.176,8,10,.800,7,35,12,9,3,7,11,,22,64,.344,9,27,.333,5,8,.625,12,35,10,1,3,15,13,2025,notre-dame
41417,5,2024-11-22,,Elon,L,77,84,29,61,.475,12,29,.414,7,9,.778,7,22,15,7,2,6,19,,32,56,.571,7,15,.467,13,17,.765,7,30,19,4,4,10,11,2025,notre-dame
41418,6,2024-11-26,N,Rutgers,L (1 OT),84,85,29,66,.439,14,33,.424,12,15,.800,10,35,12,2,1,13,24,,29,65,.446,8,24,.333,19,28,.679,11,34,9,9,3,9,16,2025,notre-dame
41419,7,2024-11-28,N,Houston,L,54,65,19,49,.388,7,21,.333,9,14,.643,6,30,12,1,0,10,12,,27,60,.450,6,23,.261,5,9,.556,6,26,19,5,2,5,16,2025,notre-dame
41420,8,2024-11-30,N,Creighton,L,76,80,28,65,.431,9,23,.391,11,15,.733,10,33,14,6,3,7,15,,28,57,.491,11,24,.458,13,15,.867,5,31,19,4,7,12,13,2025,notre-dame
41421,9,2024-12-03,@,Georgia,L,48,69,19,52,.365,4,19,.211,6,9,.667,6,26,5,3,1,10,11,,28,63,.444,6,26,.231,7,9,.778,13,38,19,7,3,5,13,2025,notre-dame
41422,10,2024-12-07,,Syracuse,W,69,64,22,49,.449,8,22,.364,17,27,.630,7,31,7,4,4,14,19,,24,51,.471,0,9,.000,16,24,.667,5,26,13,5,2,11,21,2025,notre-dame
41423,11,2024-12-11,,Dartmouth,W,77,65,31,59,.525,6,21,.286,9,14,.643,5,30,11,6,1,9,15,,22,55,.400,6,33,.182,15,17,.882,6,28,13,6,0,10,14,2025,notre-dame
41424,12,2024-12-22,,Le Moyne,W,91,62,28,58,.483,9,24,.375,26,32,.813,14,40,16,6,2,10,11,,21,57,.368,7,26,.269,13,16,.813,6,25,11,5,2,13,24,2025,notre-dame
41425,13,2024-12-31,@,Georgia Tech,L,75,86,27,62,.435,9,21,.429,12,14,.857,14,28,17,3,2,10,17,,30,53,.566,8,20,.400,18,25,.720,6,26,17,5,4,7,14,2025,notre-dame
41426,14,2025-01-04,,UNC,L,73,74,25,57,.439,7,23,.304,16,21,.762,8,26,7,10,0,12,15,,27,51,.529,6,21,.286,14,18,.778,4,25,14,4,8,13,19,2025,notre-dame
41427,15,2025-01-08,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,notre-dame
41428,16,2025-01-11,@,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,notre-dame
41429,17,2025-01-13,,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,notre-dame
41430,18,2025-01-18,@,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,notre-dame
41431,19,2025-01-25,@,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,notre-dame
