,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41479,1,2024-11-04,@,James Madison,L,78,88,30,59,.508,7,18,.389,11,20,.550,4,21,11,8,2,9,19,,31,57,.544,10,20,.500,16,26,.615,9,36,15,6,4,13,19,2025,ohio
41480,2,2024-11-09,,UNC Asheville,W,82,76,25,56,.446,8,24,.333,24,31,.774,10,29,14,6,4,12,17,,27,63,.429,11,25,.440,11,22,.500,11,32,15,6,2,14,24,2025,ohio
41481,3,2024-11-12,@,Illinois State,L,75,85,26,55,.473,10,25,.400,13,16,.813,8,22,8,4,5,10,18,,30,49,.612,10,19,.526,15,16,.938,3,24,14,5,2,11,17,2025,ohio
41482,4,2024-11-15,@,Memphis,L,70,94,24,65,.369,12,31,.387,10,11,.909,9,29,15,7,6,16,13,,32,57,.561,13,18,.722,17,22,.773,4,31,19,13,6,14,12,2025,ohio
41483,5,2024-11-21,N,Middle Tennessee,L (1 OT),81,83,27,67,.403,6,29,.207,21,29,.724,8,33,20,13,1,13,25,,28,64,.438,6,17,.353,21,32,.656,14,46,13,7,3,18,24,2025,ohio
41484,6,2024-11-22,N,Portland,W,85,73,33,73,.452,11,34,.324,8,11,.727,6,38,20,4,3,8,19,,28,60,.467,4,14,.286,13,21,.619,2,32,12,5,3,13,15,2025,ohio
41485,7,2024-11-24,N,Texas State,L,65,74,19,52,.365,8,28,.286,19,25,.760,6,24,10,8,4,7,17,,29,63,.460,3,8,.375,13,18,.722,16,43,13,6,4,9,16,2025,ohio
41486,8,2024-11-30,,Robert Morris,W,84,68,29,56,.518,7,16,.438,19,22,.864,7,32,12,9,3,12,17,,22,54,.407,7,19,.368,17,20,.850,6,23,12,6,0,13,16,2025,ohio
41487,9,2024-12-07,,Morehead State,W,88,76,33,62,.532,7,23,.304,15,18,.833,8,30,10,7,4,11,22,,25,61,.410,10,23,.435,16,24,.667,12,31,15,6,1,12,21,2025,ohio
41488,10,2024-12-14,@,Marshall,L,70,79,25,65,.385,9,30,.300,11,11,1.000,7,29,17,7,0,10,16,,29,55,.527,8,19,.421,13,19,.684,3,30,10,10,3,11,16,2025,ohio
41489,11,2024-12-18,,Austin Peay,W,78,58,26,50,.520,12,24,.500,14,19,.737,2,25,19,11,3,15,23,,17,45,.378,5,18,.278,19,34,.559,7,25,11,7,4,17,21,2025,ohio
41490,12,2024-12-30,,Muskingum,W,103,52,41,64,.641,15,27,.556,6,11,.545,8,39,26,8,6,14,9,,22,69,.319,7,26,.269,1,2,.500,7,22,12,7,2,13,15,2025,ohio
41491,13,2025-01-04,@,Central Michigan,W,57,55,24,55,.436,5,23,.217,4,10,.400,6,25,14,10,7,13,13,,20,61,.328,2,15,.133,13,16,.813,11,36,5,8,3,14,12,2025,ohio
41492,14,2025-01-07,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41493,15,2025-01-11,,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41494,16,2025-01-14,,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41495,17,2025-01-17,@,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41496,18,2025-01-21,@,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41497,19,2025-01-24,,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41498,20,2025-01-28,,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41499,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,ohio
41500,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,ohio
41501,21,2025-02-01,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41502,22,2025-02-04,,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41503,23,2025-02-11,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41504,24,2025-02-15,@,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41505,25,2025-02-18,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41506,26,2025-02-22,,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41507,27,2025-02-25,@,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41508,28,2025-03-01,,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41509,29,2025-03-04,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
41510,30,2025-03-07,@,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ohio
