,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41511,1,2024-11-04,N,Texas,W,80,72,27,60,.450,14,28,.500,12,14,.857,8,35,16,2,2,14,19,,25,68,.368,7,27,.259,15,20,.750,11,30,15,5,2,9,14,2025,ohio-state
41512,2,2024-11-11,,Youngstown State,W,81,47,31,56,.554,10,22,.455,9,13,.692,5,38,17,7,7,15,22,,14,59,.237,3,22,.136,16,24,.667,12,25,6,8,4,12,17,2025,ohio-state
41513,3,2024-11-15,@,Texas A&M,L,64,78,20,59,.339,8,30,.267,16,22,.727,12,31,11,10,5,9,24,,19,49,.388,8,21,.381,32,40,.800,11,36,11,3,4,11,21,2025,ohio-state
41514,4,2024-11-19,,Evansville,W,80,30,28,54,.519,7,21,.333,17,26,.654,8,46,15,9,5,9,16,,11,58,.190,3,27,.111,5,10,.500,4,23,3,3,4,11,20,2025,ohio-state
41515,5,2024-11-22,,Campbell,W,104,60,40,62,.645,13,20,.650,11,19,.579,6,35,22,8,5,7,19,,21,52,.404,4,20,.200,14,21,.667,4,26,6,3,5,14,17,2025,ohio-state
41516,6,2024-11-25,,Green Bay,W,102,69,38,68,.559,14,31,.452,12,19,.632,9,35,20,10,4,8,14,,24,49,.490,10,24,.417,11,16,.688,2,21,11,3,1,17,19,2025,ohio-state
41517,7,2024-11-29,,Pitt,L (1 OT),90,91,30,58,.517,11,20,.550,19,29,.655,6,26,21,5,3,11,20,,30,67,.448,8,24,.333,23,30,.767,14,33,10,5,2,11,24,2025,ohio-state
41518,8,2024-12-04,@,Maryland,L,59,83,22,58,.379,4,19,.211,11,18,.611,7,28,10,6,2,15,19,,29,62,.468,7,25,.280,18,24,.750,6,35,10,6,3,10,16,2025,ohio-state
41519,9,2024-12-07,,Rutgers,W,80,66,32,58,.552,6,18,.333,10,13,.769,8,29,14,4,4,10,15,,24,57,.421,7,19,.368,11,12,.917,8,23,10,4,1,14,15,2025,ohio-state
41520,10,2024-12-14,N,Auburn,L,53,91,18,51,.353,6,16,.375,11,19,.579,2,21,7,5,4,7,12,,33,72,.458,13,30,.433,12,14,.857,14,46,18,4,13,5,17,2025,ohio-state
