,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41544,1,2024-11-04,,Lindenwood,W,93,60,34,65,.523,14,34,.412,11,17,.647,11,43,23,9,4,11,16,,23,65,.354,4,24,.167,10,14,.714,11,31,5,6,3,12,15,2025,oklahoma
41545,2,2024-11-11,,Northwestern State,W,73,57,25,58,.431,6,21,.286,17,22,.773,9,30,10,16,1,9,14,,23,50,.460,4,17,.235,7,11,.636,6,28,7,8,8,19,18,2025,oklahoma
41546,3,2024-11-16,,Stetson,W,85,64,34,69,.493,9,24,.375,8,10,.800,14,34,21,12,0,11,12,,24,50,.480,9,24,.375,7,9,.778,7,26,11,8,3,23,12,2025,oklahoma
41547,4,2024-11-21,,East Texas A&M,W,84,56,28,59,.475,10,32,.313,18,22,.818,8,37,16,10,1,10,15,,20,53,.377,7,32,.219,9,17,.529,8,26,9,6,3,15,19,2025,oklahoma
41548,5,2024-11-27,N,Providence,W,79,77,25,49,.510,7,19,.368,22,29,.759,4,23,11,12,2,13,20,,24,56,.429,12,33,.364,17,23,.739,8,28,13,5,0,16,21,2025,oklahoma
41549,6,2024-11-28,N,Arizona,W,82,77,25,58,.431,12,29,.414,20,21,.952,13,33,17,7,4,15,18,,28,65,.431,5,19,.263,16,19,.842,14,30,13,9,3,9,15,2025,oklahoma
41550,7,2024-11-29,N,Louisville,W,69,64,21,44,.477,8,17,.471,19,25,.760,3,21,14,9,1,10,17,,24,63,.381,7,32,.219,9,16,.563,20,42,12,6,2,14,18,2025,oklahoma
41551,8,2024-12-03,,Georgia Tech,W,76,61,20,52,.385,10,28,.357,26,30,.867,7,30,7,8,1,7,16,,22,53,.415,5,19,.263,12,18,.667,7,30,9,4,4,10,21,2025,oklahoma
41552,9,2024-12-07,,Alcorn State,W,94,78,35,64,.547,12,37,.324,12,14,.857,9,27,24,12,1,12,14,,30,57,.526,10,20,.500,8,12,.667,8,24,18,7,2,18,17,2025,oklahoma
41553,10,2024-12-14,N,Oklahoma State,W,80,65,30,61,.492,8,23,.348,12,19,.632,8,32,12,7,4,12,22,,22,56,.393,5,18,.278,16,25,.640,8,30,8,8,1,14,19,2025,oklahoma
41554,11,2024-12-18,N,Michigan,W,87,86,27,57,.474,12,25,.480,21,24,.875,9,26,9,8,4,11,22,,30,64,.469,4,28,.143,22,26,.846,14,33,13,4,5,10,20,2025,oklahoma
41555,12,2024-12-22,,Central Arkansas,W,89,66,33,68,.485,10,29,.345,13,14,.929,8,35,19,8,2,9,11,,24,64,.375,9,32,.281,9,11,.818,9,34,14,7,2,12,11,2025,oklahoma
41556,13,2024-12-29,,Prairie View,W,89,67,26,43,.605,5,17,.294,32,35,.914,4,29,7,6,1,9,14,,29,61,.475,4,16,.250,5,7,.714,4,18,9,6,0,10,25,2025,oklahoma
