,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41577,1,2024-11-04,,Green Bay,W,89,76,29,69,.420,10,22,.455,21,24,.875,16,39,13,11,4,13,17,,25,51,.490,14,31,.452,12,16,.750,2,23,14,8,2,19,17,2025,oklahoma-state
41578,2,2024-11-10,,St. Thomas,W,80,71,27,60,.450,6,22,.273,20,28,.714,6,31,14,12,3,10,16,,25,62,.403,15,36,.417,6,10,.600,10,36,14,4,4,19,18,2025,oklahoma-state
41579,3,2024-11-14,,Southern Illinois,W,85,78,31,65,.477,8,20,.400,15,20,.750,7,27,19,11,5,7,15,,31,61,.508,11,28,.393,5,11,.455,9,32,19,4,5,17,18,2025,oklahoma-state
41580,4,2024-11-21,N,Florida Atlantic,L,78,86,25,73,.342,6,26,.231,22,32,.688,15,46,13,11,2,14,33,,22,52,.423,7,23,.304,35,49,.714,5,36,11,5,5,15,23,2025,oklahoma-state
41581,5,2024-11-22,N,Miami (FL),W,80,74,27,57,.474,10,22,.455,16,21,.762,10,26,11,6,3,6,18,,26,58,.448,6,24,.250,16,21,.762,13,32,10,3,5,12,14,2025,oklahoma-state
41582,6,2024-11-24,N,Nevada,L,78,90,21,50,.420,6,21,.286,30,41,.732,7,27,8,4,1,7,23,,33,56,.589,7,18,.389,17,25,.680,8,31,14,4,3,9,26,2025,oklahoma-state
41583,7,2024-12-04,@,Tulsa,W,76,55,30,61,.492,3,8,.375,13,21,.619,9,35,18,16,7,13,17,,21,58,.362,5,24,.208,8,15,.533,11,31,8,8,8,22,17,2025,oklahoma-state
41584,8,2024-12-08,@,Seton Hall,W,85,76,29,51,.569,10,26,.385,17,19,.895,7,26,21,9,5,14,24,,27,54,.500,7,19,.368,15,23,.652,9,22,16,10,2,12,16,2025,oklahoma-state
41585,9,2024-12-14,N,Oklahoma,L,65,80,22,56,.393,5,18,.278,16,25,.640,8,30,8,8,1,14,19,,30,61,.492,8,23,.348,12,19,.632,8,32,12,7,4,12,22,2025,oklahoma-state
41586,10,2024-12-18,,Tarleton State,W,66,61,22,55,.400,8,23,.348,14,19,.737,11,37,13,7,1,18,17,,25,54,.463,7,18,.389,4,10,.400,4,26,8,11,4,14,18,2025,oklahoma-state
41587,11,2024-12-22,,Oral Roberts,W,86,74,26,54,.481,3,14,.214,31,39,.795,13,36,9,9,3,15,17,,24,56,.429,12,30,.400,14,18,.778,5,13,16,7,3,14,25,2025,oklahoma-state
