,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41610,1,2024-11-04,,Buffalo,L,82,83,33,77,.429,12,30,.400,4,8,.500,17,41,15,9,4,14,13,,32,57,.561,10,22,.455,9,17,.529,5,28,17,9,6,13,10,2025,old-dominion
41611,2,2024-11-09,@,Arizona,L,44,102,18,57,.316,2,16,.125,6,17,.353,6,24,2,6,3,18,23,,38,75,.507,8,22,.364,18,29,.621,23,53,21,12,6,8,17,2025,old-dominion
41612,3,2024-11-12,@,Radford,L,75,87,24,59,.407,11,30,.367,16,20,.800,9,32,10,4,1,15,22,,31,61,.508,8,20,.400,17,30,.567,12,35,13,8,4,8,15,2025,old-dominion
41613,4,2024-11-15,,Maryland-Eastern Shore,W,73,71,28,63,.444,4,22,.182,13,18,.722,10,40,11,5,4,12,17,,25,62,.403,6,20,.300,15,22,.682,8,30,10,4,3,6,17,2025,old-dominion
41614,5,2024-11-19,,Randolph-Macon,W,71,55,24,54,.444,4,14,.286,19,26,.731,9,38,9,6,6,14,13,,19,61,.311,8,25,.320,9,13,.692,11,33,14,11,1,13,17,2025,old-dominion
41615,6,2024-11-24,N,Boston College,L,52,82,20,57,.351,4,21,.190,8,19,.421,12,30,9,3,1,13,17,,29,67,.433,10,26,.385,14,16,.875,14,41,18,5,4,7,20,2025,old-dominion
41616,7,2024-11-25,N,High Point,L,67,73,27,64,.422,7,24,.292,6,11,.545,13,28,11,1,2,7,18,,25,47,.532,6,16,.375,17,23,.739,7,30,9,4,4,8,16,2025,old-dominion
41617,8,2024-11-26,N,Duquesne,L,54,67,21,64,.328,2,17,.118,10,15,.667,14,33,4,9,2,16,20,,25,53,.472,4,13,.308,13,18,.722,10,39,12,7,5,19,16,2025,old-dominion
41618,9,2024-12-02,,William & Mary,W,88,83,32,66,.485,9,21,.429,15,17,.882,12,38,20,3,2,13,16,,31,61,.508,8,25,.320,13,17,.765,4,24,19,8,2,11,15,2025,old-dominion
41619,10,2024-12-07,,George Washington,L,70,78,26,64,.406,6,18,.333,12,17,.706,17,37,14,6,6,14,20,,23,49,.469,7,17,.412,23,37,.622,11,32,12,9,3,12,13,2025,old-dominion
41620,11,2024-12-15,,Northeastern,L,71,75,28,68,.412,6,18,.333,9,19,.474,13,37,14,5,5,9,21,,24,60,.400,6,21,.286,21,30,.700,13,43,14,4,3,12,16,2025,old-dominion
41621,12,2024-12-21,@,Louisiana-Monroe,W (1 OT),80,75,26,66,.394,8,24,.333,20,24,.833,15,43,14,3,5,13,18,,24,65,.369,7,17,.412,20,26,.769,9,31,11,10,4,7,18,2025,old-dominion
41622,13,2024-12-28,,Virginia Wesleyan,W,82,44,29,52,.558,10,23,.435,14,20,.700,10,44,17,5,1,12,16,,16,64,.250,4,23,.174,8,14,.571,14,25,9,8,0,6,18,2025,old-dominion
