,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41642,1,2024-11-06,@,Minnesota,L,57,80,20,58,.345,7,23,.304,10,11,.909,9,30,9,7,4,13,14,,30,52,.577,11,18,.611,9,17,.529,5,30,25,8,5,8,13,2025,oral-roberts
41643,2,2024-11-08,,,W,105,49,38,63,.603,15,28,.536,14,20,.700,9,41,18,13,0,9,9,,19,60,.317,6,28,.214,5,6,.833,8,27,10,6,1,18,15,2025,oral-roberts
41644,3,2024-11-13,@,Tulsa,L,76,85,27,68,.397,7,28,.250,15,21,.714,12,38,6,1,0,9,22,,27,57,.474,9,26,.346,22,30,.733,6,33,13,4,6,5,22,2025,oral-roberts
41645,4,2024-11-16,,Haskell (KS),W,87,52,27,58,.466,10,26,.385,23,32,.719,13,38,14,9,2,19,18,,17,51,.333,5,25,.200,13,20,.650,2,22,4,9,2,18,24,2025,oral-roberts
41646,5,2024-11-19,@,Belmont,L,80,90,29,63,.460,9,25,.360,13,15,.867,5,27,13,8,2,13,19,,31,59,.525,9,26,.346,19,27,.704,7,35,17,4,4,14,16,2025,oral-roberts
41647,6,2024-11-21,@,Ole Miss,L,68,100,23,54,.426,9,29,.310,13,18,.722,4,18,8,6,0,21,14,,37,69,.536,10,26,.385,16,22,.727,14,35,26,13,3,8,20,2025,oral-roberts
41648,7,2024-11-25,,Rogers State,L,68,69,25,57,.439,8,21,.381,10,14,.714,11,34,8,2,0,14,10,,29,56,.518,8,17,.471,3,4,.750,4,20,15,7,6,8,14,2025,oral-roberts
41649,8,2024-12-01,,Missouri State,L,67,72,22,49,.449,7,19,.368,16,19,.842,5,14,13,5,2,10,18,,26,48,.542,10,19,.526,10,15,.667,6,26,15,5,0,15,16,2025,oral-roberts
41650,9,2024-12-04,,Northern Arizona,W,83,76,22,55,.400,13,31,.419,26,32,.813,7,31,9,4,1,6,18,,28,64,.438,8,29,.276,12,22,.545,10,37,11,4,3,7,20,2025,oral-roberts
41651,10,2024-12-07,@,Idaho State,L,55,71,17,55,.309,9,29,.310,12,15,.800,3,17,10,8,4,9,23,,23,57,.404,2,18,.111,23,27,.852,15,51,17,3,7,12,18,2025,oral-roberts
41652,11,2024-12-16,@,Texas Tech,L,50,86,18,53,.340,7,25,.280,7,12,.583,7,25,7,6,2,14,13,,34,64,.531,10,29,.345,8,13,.615,12,38,26,7,4,10,11,2025,oral-roberts
41653,12,2024-12-22,@,Oklahoma State,L,74,86,24,56,.429,12,30,.400,14,18,.778,5,13,16,7,3,14,25,,26,54,.481,3,14,.214,31,39,.795,13,36,9,9,3,15,17,2025,oral-roberts
41654,13,2024-12-30,,Texas A&M-Texarkana,W,92,54,33,54,.611,17,30,.567,9,13,.692,8,34,21,4,3,13,11,,22,59,.373,10,31,.323,0,0,,6,20,9,5,2,14,20,2025,oral-roberts
41655,14,2025-01-04,@,Kansas City,L,67,90,21,54,.389,9,26,.346,16,24,.667,7,23,9,5,2,7,24,,28,49,.571,10,20,.500,24,29,.828,8,38,14,4,4,11,18,2025,oral-roberts
41656,15,2025-01-09,,North Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41657,16,2025-01-11,,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41658,17,2025-01-16,@,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41659,18,2025-01-18,@,South Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41660,19,2025-01-23,,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41661,20,2025-01-25,,Omaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41662,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,oral-roberts
41663,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,oral-roberts
41664,21,2025-01-29,@,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41665,22,2025-02-01,,Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41666,23,2025-02-08,,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41667,24,2025-02-13,@,North Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41668,25,2025-02-15,@,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41669,26,2025-02-19,@,Denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41670,27,2025-02-22,,St. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41671,28,2025-02-27,,South Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
41672,29,2025-03-01,@,Omaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oral-roberts
