,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41673,1,2024-11-04,,UC-Riverside,W,91,76,33,66,.500,6,19,.316,19,25,.760,13,41,16,5,4,8,16,,29,65,.446,12,34,.353,6,12,.500,7,26,13,5,2,8,23,2025,oregon
41674,2,2024-11-08,,Montana,W,79,48,27,60,.450,9,25,.360,16,23,.696,11,37,16,9,2,7,17,,17,50,.340,3,19,.158,11,17,.647,6,28,4,6,2,12,20,2025,oregon
41675,3,2024-11-12,,Portland,W (1 OT),80,70,28,69,.406,7,31,.226,17,23,.739,9,42,14,12,2,10,16,,24,64,.375,11,31,.355,11,16,.688,7,36,15,4,3,15,23,2025,oregon
41676,4,2024-11-17,,Troy,W,82,61,29,56,.518,7,22,.318,17,19,.895,9,33,19,8,3,16,18,,25,67,.373,3,25,.120,8,10,.800,12,30,14,9,3,17,21,2025,oregon
41677,5,2024-11-21,@,Oregon State,W,78,75,30,61,.492,9,22,.409,9,12,.750,5,27,21,5,4,6,18,,25,62,.403,8,20,.400,17,23,.739,14,33,12,4,3,9,16,2025,oregon
41678,6,2024-11-26,N,Texas A&M,W,80,70,25,55,.455,7,25,.280,23,31,.742,6,31,15,10,7,8,20,,22,68,.324,11,35,.314,15,20,.750,17,37,11,3,2,12,22,2025,oregon
41679,7,2024-11-27,N,San Diego State,W,78,68,25,56,.446,10,22,.455,18,26,.692,9,30,16,8,5,14,16,,29,57,.509,6,19,.316,4,8,.500,4,22,16,8,9,12,21,2025,oregon
41680,8,2024-11-30,N,Alabama,W,83,81,29,66,.439,5,17,.294,20,25,.800,9,33,19,6,3,8,21,,27,64,.422,12,38,.316,15,20,.750,12,39,21,6,4,15,18,2025,oregon
41681,9,2024-12-04,@,USC,W,68,60,21,55,.382,8,23,.348,18,24,.750,11,30,13,9,7,14,21,,19,55,.345,2,13,.154,20,26,.769,9,30,9,6,5,13,21,2025,oregon
41682,10,2024-12-08,,UCLA,L,71,73,26,55,.473,9,21,.429,10,14,.714,9,33,15,6,5,12,11,,28,62,.452,12,23,.522,5,7,.714,6,23,10,7,1,8,15,2025,oregon
41683,11,2024-12-15,,Stephen F. Austin,W,79,61,25,49,.510,7,19,.368,22,32,.688,10,29,14,13,3,18,16,,25,63,.397,3,20,.150,8,11,.727,18,34,9,12,3,20,25,2025,oregon
41684,12,2024-12-21,N,Stanford,W,76,61,24,55,.436,6,22,.273,22,29,.759,9,37,9,4,2,8,16,,23,62,.371,8,30,.267,7,13,.538,8,31,8,5,0,9,20,2025,oregon
41685,13,2024-12-29,,Weber State,W,89,49,33,60,.550,9,22,.409,14,17,.824,8,39,14,8,1,11,16,,17,51,.333,3,22,.136,12,21,.571,8,24,10,7,1,17,15,2025,oregon
41686,14,2025-01-02,,Illinois,L,77,109,30,69,.435,5,15,.333,12,17,.706,7,28,13,2,5,10,14,,42,73,.575,16,29,.552,9,11,.818,9,40,17,5,5,10,18,2025,oregon
41687,15,2025-01-05,,Maryland,W,83,79,29,56,.518,12,28,.429,13,15,.867,6,29,15,5,3,8,15,,28,59,.475,9,21,.429,14,19,.737,9,28,16,7,5,10,18,2025,oregon
41688,16,2025-01-09,@,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon
41689,17,2025-01-12,@,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon
41690,18,2025-01-18,,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon
41691,19,2025-01-21,,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon
41692,20,2025-01-25,@,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon
41693,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,oregon
