,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41706,1,2024-11-04,,Utah Tech,W,80,57,32,64,.500,6,24,.250,10,16,.625,9,36,16,8,5,9,19,,19,57,.333,5,25,.200,14,23,.609,8,33,10,4,0,12,20,2025,oregon-state
41707,2,2024-11-08,,Weber State,W,76,48,28,59,.475,9,24,.375,11,11,1.000,9,36,19,7,6,11,15,,17,51,.333,7,25,.280,7,11,.636,5,22,7,7,3,12,13,2025,oregon-state
41708,3,2024-11-12,,Western Oregon,W,94,58,38,67,.567,8,18,.444,10,15,.667,12,40,22,17,14,13,9,,23,69,.333,8,27,.296,4,6,.667,11,29,12,10,1,20,13,2025,oregon-state
41709,4,2024-11-15,,Cal State Fullerton,W,70,51,21,48,.438,10,29,.345,18,24,.750,6,31,14,9,5,8,14,,18,54,.333,5,22,.227,10,13,.769,10,29,11,3,0,13,23,2025,oregon-state
41710,5,2024-11-21,,Oregon,L,75,78,25,62,.403,8,20,.400,17,23,.739,14,33,12,4,3,9,16,,30,61,.492,9,22,.409,9,12,.750,5,27,21,5,4,6,18,2025,oregon-state
41711,6,2024-11-25,@,North Texas,L,55,58,18,38,.474,9,20,.450,10,14,.714,5,30,11,7,3,19,18,,18,48,.375,8,25,.320,14,21,.667,7,20,12,14,4,9,14,2025,oregon-state
41712,7,2024-11-30,,UC-Davis,W,90,57,29,48,.604,8,14,.571,24,25,.960,7,37,20,6,3,14,19,,19,53,.358,9,21,.429,10,17,.588,5,15,11,5,1,8,20,2025,oregon-state
41713,8,2024-12-07,,Idaho,W,78,62,30,64,.469,5,13,.385,13,17,.765,12,31,21,11,1,5,12,,22,51,.431,8,26,.308,10,16,.625,12,32,8,1,5,15,15,2025,oregon-state
41714,9,2024-12-14,,UC-Irvine,W,67,55,24,52,.462,6,17,.353,13,17,.765,9,36,12,11,4,20,17,,20,54,.370,6,20,.300,9,12,.750,6,26,14,13,1,17,19,2025,oregon-state
41715,10,2024-12-17,,Sacramento State,W,82,45,29,54,.537,10,26,.385,14,16,.875,4,33,16,9,3,12,12,,18,56,.321,4,24,.167,5,11,.455,9,26,4,5,1,16,19,2025,oregon-state
41716,11,2024-12-22,N,College of Charleston,W,74,65,23,49,.469,5,20,.250,23,29,.793,6,34,13,5,1,13,20,,21,58,.362,6,24,.250,17,25,.680,7,28,12,8,0,13,21,2025,oregon-state
41717,12,2024-12-23,N,Oakland,W (1 OT),80,74,28,66,.424,11,24,.458,13,19,.684,15,36,17,10,2,10,17,,26,56,.464,5,26,.192,17,24,.708,10,29,11,7,4,14,17,2025,oregon-state
41718,13,2024-12-25,N,Nebraska,L,66,78,21,53,.396,9,24,.375,15,16,.938,5,21,9,5,1,10,18,,25,47,.532,8,20,.400,20,24,.833,5,29,13,5,0,10,15,2025,oregon-state
41719,14,2024-12-30,,Portland,W,89,79,35,57,.614,10,23,.435,9,11,.818,6,26,22,7,1,9,13,,27,52,.519,12,30,.400,13,14,.929,4,18,17,4,2,10,14,2025,oregon-state
41720,15,2025-01-02,@,Loyola Marymount,L,61,82,21,53,.396,8,23,.348,11,18,.611,6,23,14,6,2,7,17,,30,59,.508,10,24,.417,12,19,.632,11,37,20,4,3,9,14,2025,oregon-state
41721,16,2025-01-04,,San Diego,W,81,54,26,45,.578,8,16,.500,21,30,.700,6,33,16,6,2,12,17,,17,58,.293,6,25,.240,14,18,.778,11,25,4,8,2,12,21,2025,oregon-state
41722,17,2025-01-09,@,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon-state
41723,18,2025-01-11,@,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon-state
41724,19,2025-01-16,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,oregon-state
