,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41739,1,2024-11-04,,William Jessup,W,92,65,38,65,.585,10,23,.435,6,11,.545,6,43,31,4,4,12,20,,21,65,.323,9,31,.290,14,21,.667,6,25,15,7,2,8,16,2025,pacific
41740,2,2024-11-08,N,San Jose State,W,80,67,29,59,.492,4,16,.250,18,22,.818,10,38,14,5,2,12,21,,22,62,.355,3,19,.158,20,24,.833,5,26,8,5,2,7,21,2025,pacific
41741,3,2024-11-10,N,Life Pacific,W,94,41,36,66,.545,5,21,.238,17,28,.607,17,51,20,9,5,9,14,,13,56,.232,2,25,.080,13,17,.765,5,25,2,6,0,15,24,2025,pacific
41742,4,2024-11-12,@,Hawaii,L,66,76,23,61,.377,2,13,.154,18,28,.643,12,30,5,5,1,8,26,,25,52,.481,3,17,.176,23,29,.793,9,36,7,4,2,12,25,2025,pacific
41743,5,2024-11-14,,Northern Arizona,L,57,60,20,51,.392,8,21,.381,9,16,.563,8,34,14,4,5,17,16,,23,65,.354,5,30,.167,9,14,.643,14,36,13,6,1,11,14,2025,pacific
41744,6,2024-11-18,@,Arkansas,L,72,91,24,60,.400,12,35,.343,12,13,.923,8,26,14,10,0,16,20,,31,52,.596,9,21,.429,20,25,.800,3,30,17,10,3,15,14,2025,pacific
41745,7,2024-11-22,@,Missouri,L,56,91,22,59,.373,6,29,.207,6,8,.750,8,29,12,4,4,14,17,,30,61,.492,14,30,.467,17,23,.739,12,34,16,9,2,6,13,2025,pacific
41746,8,2024-11-27,,Arkansas-Pine Bluff,W,83,71,30,63,.476,6,25,.240,17,25,.680,15,41,19,6,3,10,17,,26,53,.491,8,22,.364,11,17,.647,3,21,16,5,1,12,21,2025,pacific
41747,9,2024-11-30,,Cal State Fullerton,W,64,55,21,46,.457,5,19,.263,17,24,.708,8,39,17,2,6,14,19,,19,57,.333,4,16,.250,13,21,.619,7,27,17,4,0,5,19,2025,pacific
41748,10,2024-12-02,@,Colorado,L,66,75,23,63,.365,4,16,.250,16,24,.667,11,37,8,4,2,11,22,,25,59,.424,9,21,.429,16,21,.762,9,39,20,7,7,9,21,2025,pacific
41749,11,2024-12-07,@,Illinois State,L,61,72,22,57,.386,8,25,.320,9,9,1.000,8,31,8,1,2,12,17,,23,52,.442,10,25,.400,16,19,.842,6,31,13,5,0,7,12,2025,pacific
41750,12,2024-12-14,@,UNLV,L,65,72,23,58,.397,4,21,.190,15,22,.682,11,34,12,6,2,12,18,,26,58,.448,8,18,.444,12,16,.750,11,36,16,4,7,13,20,2025,pacific
41751,13,2024-12-18,,Portland State,L,75,81,19,55,.345,6,25,.240,31,36,.861,7,31,13,4,4,11,25,,30,64,.469,5,13,.385,16,24,.667,9,37,17,8,9,10,25,2025,pacific
41752,14,2024-12-21,,Idaho,L,72,95,27,64,.422,11,29,.379,7,9,.778,9,23,17,3,3,6,6,,37,63,.587,15,34,.441,6,6,1.000,10,37,24,5,6,11,10,2025,pacific
41753,15,2024-12-28,@,Saint Mary's,L,60,70,23,56,.411,3,12,.250,11,15,.733,7,30,14,5,3,8,18,,26,68,.382,7,23,.304,11,20,.550,20,46,23,3,5,6,16,2025,pacific
41754,16,2024-12-30,@,San Diego,L,65,75,23,55,.418,5,22,.227,14,23,.609,10,33,8,7,2,14,17,,26,54,.481,9,20,.450,14,19,.737,5,32,20,11,2,10,22,2025,pacific
41755,17,2025-01-02,,San Francisco,L,81,89,27,52,.519,5,15,.333,22,27,.815,9,26,5,4,2,11,19,,28,55,.509,14,31,.452,19,21,.905,7,20,16,7,2,8,19,2025,pacific
41756,18,2025-01-04,,Pepperdine,L,70,87,22,56,.393,10,32,.313,16,23,.696,7,24,13,8,3,15,18,,31,54,.574,12,28,.429,13,20,.650,2,29,21,7,1,14,19,2025,pacific
41757,19,2025-01-09,@,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41758,20,2025-01-11,,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41759,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,pacific
41760,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,pacific
41761,21,2025-01-16,@,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41762,22,2025-01-22,,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41763,23,2025-01-25,@,Pepperdine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41764,24,2025-01-30,,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41765,25,2025-02-01,@,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41766,26,2025-02-06,,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41767,27,2025-02-08,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
41768,28,2025-02-12,@,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pacific
