,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42576,1.0,1.0,2024-11-04,@,NJIT,REG (Non-Conf),W,58,57,,16,49,0.327,5,19,0.263,11,30,0.367,0.378,21,35,0.6,8,25,33,5,4,2,11,16,20,54,0.37,7,24,0.292,13,30,0.433,0.435,10,13,0.769,7,25,32,8,6,4,11,23,2025,pennsylvania
42577,2.0,2.0,2024-11-07,,Maryland Eastern Shore,REG (Non-Conf),W,85,84,,25,58,0.431,12,34,0.353,13,24,0.542,0.534,23,31,0.742,11,22,33,18,6,1,6,18,30,64,0.469,7,19,0.368,23,45,0.511,0.523,17,26,0.654,15,24,39,14,0,2,11,20,2025,pennsylvania
42578,3.0,3.0,2024-11-12,@,Lafayette,REG (Non-Conf),L,63,65,,21,56,0.375,7,22,0.318,14,34,0.412,0.438,14,24,0.583,15,22,37,13,4,5,8,19,22,54,0.407,9,20,0.45,13,34,0.382,0.491,12,17,0.706,11,23,34,14,4,1,7,22,2025,pennsylvania
42579,4.0,4.0,2024-11-15,,Saint Joseph's,REG (Non-Conf),L,69,86,,27,57,0.474,8,23,0.348,19,34,0.559,0.544,7,9,0.778,6,16,22,16,3,1,12,13,32,69,0.464,10,26,0.385,22,43,0.512,0.536,12,14,0.857,18,21,39,12,10,4,9,10,2025,pennsylvania
42580,5.0,5.0,2024-11-19,@,Villanova,REG (Non-Conf),L,49,93,,14,52,0.269,7,24,0.292,7,28,0.25,0.337,14,30,0.467,10,15,25,9,4,2,11,14,33,62,0.532,18,30,0.6,15,32,0.469,0.677,9,11,0.818,12,27,39,19,8,3,10,20,2025,pennsylvania
42581,6.0,6.0,2024-11-29,,Navy,REG (Non-Conf),L,78,86,,28,60,0.467,7,29,0.241,21,31,0.677,0.525,15,24,0.625,11,24,35,12,5,2,13,23,24,60,0.4,15,32,0.469,9,28,0.321,0.525,23,28,0.821,10,20,30,18,5,1,8,19,2025,pennsylvania
42582,7.0,7.0,2024-11-30,,Maine,REG (Non-Conf),W,77,64,,25,54,0.463,6,18,0.333,19,36,0.528,0.519,21,24,0.875,10,25,35,14,6,0,13,8,27,57,0.474,6,14,0.429,21,43,0.488,0.526,4,5,0.8,3,16,19,18,7,2,8,17,2025,pennsylvania
42583,8.0,8.0,2024-12-01,,Elon,REG (Non-Conf),L,53,68,,19,64,0.297,8,37,0.216,11,27,0.407,0.359,7,9,0.778,11,17,28,11,4,2,6,14,28,58,0.483,6,17,0.353,22,41,0.537,0.534,6,10,0.6,11,32,43,19,4,6,7,9,2025,pennsylvania
42584,9.0,9.0,2024-12-07,N,Drexel,REG (Non-Conf),L,47,60,,20,59,0.339,4,18,0.222,16,41,0.39,0.373,3,6,0.5,5,21,26,9,6,0,11,11,24,53,0.453,3,14,0.214,21,39,0.538,0.481,9,11,0.818,7,30,37,13,8,3,13,10,2025,pennsylvania
42585,10.0,10.0,2024-12-09,@,VCU,REG (Non-Conf),L,47,66,,18,50,0.36,5,27,0.185,13,23,0.565,0.41,6,7,0.857,4,19,23,9,7,0,15,14,26,67,0.388,6,25,0.24,20,42,0.476,0.433,8,11,0.727,15,24,39,12,7,5,10,11,2025,pennsylvania
42586,11.0,11.0,2024-12-20,,Rider,REG (Non-Conf),W,79,66,,32,61,0.525,11,24,0.458,21,37,0.568,0.615,4,8,0.5,9,28,37,18,2,4,7,12,28,71,0.394,8,21,0.381,20,50,0.4,0.451,2,4,0.5,11,16,27,15,4,3,3,8,2025,pennsylvania
42587,12.0,12.0,2024-12-22,@,George Mason,REG (Non-Conf),L,53,85,,19,59,0.322,10,32,0.313,9,27,0.333,0.407,5,9,0.556,5,22,27,14,3,0,14,15,30,59,0.508,9,18,0.5,21,41,0.512,0.585,16,19,0.842,7,30,37,20,10,6,7,12,2025,pennsylvania
42588,13.0,13.0,2024-12-29,@,Penn State,REG (Non-Conf),L,66,86,,22,57,0.386,11,33,0.333,11,24,0.458,0.482,11,12,0.917,6,22,28,17,7,4,15,24,30,66,0.455,4,18,0.222,26,48,0.542,0.485,22,26,0.846,12,26,38,17,7,2,8,12,2025,pennsylvania
42589,14.0,14.0,2025-01-11,@,Dartmouth,REG (Conf),L,70,73,,28,59,0.475,5,19,0.263,23,40,0.575,0.517,9,13,0.692,9,26,35,13,2,2,15,18,28,72,0.389,8,32,0.25,20,40,0.5,0.444,9,11,0.818,11,22,33,12,4,1,7,17,2025,pennsylvania
42590,15.0,15.0,2025-01-18,,Cornell,REG (Conf),L,76,86,,28,58,0.483,8,21,0.381,20,37,0.541,0.552,12,18,0.667,0,21,21,15,8,1,8,19,30,62,0.484,9,24,0.375,21,38,0.553,0.556,17,18,0.944,7,29,36,10,6,4,14,16,2025,pennsylvania
42591,16.0,16.0,2025-01-20,@,Harvard,REG (Conf),W,82,67,,29,57,0.509,11,25,0.44,18,32,0.563,0.605,13,15,0.867,6,20,26,17,7,3,8,13,27,59,0.458,6,25,0.24,21,34,0.618,0.508,7,10,0.7,11,20,31,11,6,4,13,15,2025,pennsylvania
42592,17.0,17.0,2025-01-25,,Columbia,REG (Conf),W,93,78,,27,54,0.5,18,35,0.514,9,19,0.474,0.667,21,26,0.808,7,30,37,20,3,3,15,16,28,60,0.467,10,21,0.476,18,39,0.462,0.55,12,19,0.632,2,21,23,11,10,2,8,20,2025,pennsylvania
42593,18.0,18.0,2025-01-31,,Brown,REG (Conf),L,79,88,,27,62,0.435,14,34,0.412,13,28,0.464,0.548,11,19,0.579,7,22,29,14,6,2,6,15,29,58,0.5,15,24,0.625,14,34,0.412,0.629,15,19,0.789,9,26,35,12,3,3,11,18,2025,pennsylvania
42594,19.0,19.0,2025-02-01,,Yale,REG (Conf),L,61,90,,23,66,0.348,10,31,0.323,13,35,0.371,0.424,5,11,0.455,8,18,26,14,4,0,8,16,32,56,0.571,8,15,0.533,24,41,0.585,0.643,18,22,0.818,5,31,36,13,5,5,11,15,2025,pennsylvania
42595,20.0,20.0,2025-02-07,,Princeton,REG (Conf),L,59,61,,21,59,0.356,7,26,0.269,14,33,0.424,0.415,10,17,0.588,5,24,29,10,9,3,5,13,20,58,0.345,9,30,0.3,11,28,0.393,0.422,12,13,0.923,10,31,41,11,2,3,13,14,2025,pennsylvania
42596,21.0,21.0,2025-02-14,@,Yale,REG (Conf),L,71,72,,28,61,0.459,11,30,0.367,17,31,0.548,0.549,4,5,0.8,10,24,34,20,3,3,10,11,30,63,0.476,3,16,0.188,27,47,0.574,0.5,9,14,0.643,8,22,30,12,7,4,3,8,2025,pennsylvania
42597,22.0,22.0,2025-02-15,@,Brown,REG (Conf),L,72,82,,25,59,0.424,9,28,0.321,16,31,0.516,0.5,13,20,0.65,6,19,25,9,4,0,9,16,30,53,0.566,7,17,0.412,23,36,0.639,0.632,15,22,0.682,5,25,30,16,6,5,6,11,2025,pennsylvania
42598,23.0,23.0,2025-02-21,,Dartmouth,REG (Conf),W,88,75,,32,70,0.457,9,28,0.321,23,42,0.548,0.521,15,17,0.882,6,34,40,20,5,1,9,20,23,65,0.354,10,37,0.27,13,28,0.464,0.431,19,23,0.826,7,23,30,14,3,2,8,16,2025,pennsylvania
42599,24.0,24.0,2025-02-22,,Harvard,REG (Conf),L,78,79,OT,32,63,0.508,3,14,0.214,29,49,0.592,0.532,11,15,0.733,8,23,31,13,3,1,9,17,27,60,0.45,6,27,0.222,21,33,0.636,0.5,19,20,0.95,3,23,26,13,5,3,7,16,2025,pennsylvania
42600,25.0,25.0,2025-02-28,@,Cornell,REG (Conf),L,62,90,,21,61,0.344,5,27,0.185,16,34,0.471,0.385,15,20,0.75,13,29,42,6,5,1,17,11,32,67,0.478,17,40,0.425,15,27,0.556,0.604,9,14,0.643,6,25,31,23,10,3,6,15,2025,pennsylvania
42601,26.0,26.0,2025-03-01,@,Columbia,REG (Conf),W,92,87,,32,58,0.552,11,25,0.44,21,33,0.636,0.647,17,19,0.895,2,26,28,21,7,3,8,16,32,74,0.432,10,31,0.323,22,43,0.512,0.5,13,18,0.722,11,22,33,26,4,2,7,20,2025,pennsylvania
42602,27.0,27.0,2025-03-08,@,Princeton,REG (Conf),L,71,95,,27,55,0.491,6,17,0.353,21,38,0.553,0.545,11,13,0.846,3,18,21,14,6,1,11,11,35,59,0.593,18,33,0.545,17,26,0.654,0.746,7,10,0.7,3,25,28,24,8,2,9,13,2025,pennsylvania
42603,,,,,,,8-19,1878,2089,,666,1578,0.422,228,700,0.326,438,878,0.499,0.494,318,456,0.697,201,612,813,371,133,47,280,413,757,1660,0.456,244,650,0.375,513,1010,0.508,0.53,331,428,0.773,237,659,896,407,159,85,235,407,2025,pennsylvania
