,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41835,1,2024-11-06,,Western Illinois,W,77,64,28,52,.538,7,15,.467,14,19,.737,5,33,15,3,3,13,12,,25,61,.410,5,23,.217,9,11,.818,6,24,6,6,4,9,11,2025,pepperdine
41836,2,2024-11-09,@,UC-San Diego,L,76,94,24,46,.522,9,21,.429,19,27,.704,4,29,16,5,2,18,14,,32,65,.492,16,38,.421,14,20,.700,12,28,22,11,1,9,17,2025,pepperdine
41837,3,2024-11-16,@,UC-Irvine,L,62,80,23,60,.383,5,20,.250,11,13,.846,5,28,11,6,6,6,14,,28,69,.406,10,25,.400,14,14,1.000,15,46,17,4,0,8,16,2025,pepperdine
41838,4,2024-11-20,@,UNLV,L,59,80,21,49,.429,6,17,.353,11,14,.786,7,28,14,6,2,15,15,,26,53,.491,12,24,.500,16,19,.842,7,29,18,14,3,9,15,2025,pepperdine
41839,5,2024-11-22,@,Northwestern,L,50,68,16,56,.286,3,20,.150,15,18,.833,7,34,12,3,3,11,18,,24,57,.421,2,11,.182,18,21,.857,5,36,12,7,3,6,18,2025,pepperdine
41840,6,2024-11-26,,Cal State Fullerton,L,63,72,23,61,.377,6,26,.231,11,15,.733,13,34,11,5,2,11,23,,24,52,.462,3,11,.273,21,25,.840,8,29,4,3,2,8,18,2025,pepperdine
41841,7,2024-11-29,N,New Mexico State,W,82,70,27,51,.529,7,19,.368,21,30,.700,7,41,21,3,5,15,23,,26,71,.366,4,28,.143,14,26,.538,16,39,8,11,2,10,25,2025,pepperdine
41842,8,2024-11-30,N,Weber State,L,53,68,17,52,.327,4,14,.286,15,24,.625,8,35,10,7,5,14,16,,22,58,.379,7,24,.292,17,19,.895,8,38,8,10,1,12,21,2025,pepperdine
41843,9,2024-12-04,,Life Pacific,W,119,57,47,77,.610,10,27,.370,15,21,.714,14,50,33,9,3,8,15,,21,64,.328,6,24,.250,9,11,.818,6,23,9,4,1,15,17,2025,pepperdine
41844,10,2024-12-07,,Grambling,W,85,57,34,69,.493,10,23,.435,7,9,.778,10,39,18,6,7,8,14,,21,55,.382,5,17,.294,10,18,.556,5,27,10,5,4,14,12,2025,pepperdine
41845,11,2024-12-14,,Northern Arizona,W,86,76,32,59,.542,7,13,.538,15,20,.750,5,28,21,6,3,7,15,,28,67,.418,12,28,.429,8,14,.571,13,34,17,4,1,12,16,2025,pepperdine
41846,12,2024-12-19,,Long Beach State,L,76,79,24,59,.407,8,21,.381,20,28,.714,11,34,17,7,4,9,17,,29,58,.500,8,23,.348,13,19,.684,6,28,9,3,5,10,22,2025,pepperdine
41847,13,2024-12-21,,UC-Davis,W,85,46,32,62,.516,8,21,.381,13,23,.565,9,38,18,9,0,11,21,,14,50,.280,1,15,.067,17,23,.739,8,25,5,6,4,17,17,2025,pepperdine
41848,14,2024-12-28,@,Santa Clara,L,80,91,30,67,.448,8,23,.348,12,12,1.000,12,32,17,7,5,11,12,,34,67,.507,15,33,.455,8,11,.727,8,31,22,7,3,10,15,2025,pepperdine
41849,15,2024-12-30,,Gonzaga,L,82,89,32,68,.471,9,29,.310,9,10,.900,10,28,20,8,1,14,16,,36,66,.545,2,15,.133,15,19,.789,10,32,15,9,4,13,15,2025,pepperdine
41850,16,2025-01-02,@,Saint Mary's,L,41,71,17,54,.315,2,16,.125,5,11,.455,7,28,12,6,2,12,11,,28,68,.412,6,29,.207,9,11,.818,17,47,19,7,5,8,13,2025,pepperdine
41851,17,2025-01-04,@,Pacific,W,87,70,31,54,.574,12,28,.429,13,20,.650,2,29,21,7,1,14,19,,22,56,.393,10,32,.313,16,23,.696,7,24,13,8,3,15,18,2025,pepperdine
41852,18,2025-01-11,,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pepperdine
41853,19,2025-01-16,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pepperdine
41854,20,2025-01-18,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pepperdine
