,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41868,1,2024-11-04,,Radford,W,96,56,36,65,.554,8,23,.348,16,21,.762,10,40,18,11,8,8,18,,18,58,.310,5,19,.263,15,20,.750,9,29,7,4,3,14,21,2025,pittsburgh
41869,2,2024-11-08,,Murray State,W,83,68,27,53,.509,8,19,.421,21,33,.636,9,34,9,8,7,9,17,,24,55,.436,6,21,.286,14,21,.667,5,25,10,8,2,13,26,2025,pittsburgh
41870,3,2024-11-11,,Gardner-Webb,W,83,64,31,66,.470,9,30,.300,12,15,.800,7,36,18,10,6,9,13,,25,63,.397,7,17,.412,7,13,.538,9,34,8,4,5,17,17,2025,pittsburgh
41871,4,2024-11-15,,West Virginia,W,86,62,28,58,.483,10,27,.370,20,26,.769,5,39,13,3,3,10,14,,24,62,.387,6,29,.207,8,15,.533,3,29,10,6,5,8,22,2025,pittsburgh
41872,5,2024-11-18,,VMI,W,93,48,35,64,.547,12,28,.429,11,14,.786,11,43,25,10,7,8,18,,15,60,.250,6,24,.250,12,18,.667,8,24,6,3,3,12,15,2025,pittsburgh
41873,6,2024-11-22,N,LSU,W,74,63,24,54,.444,7,24,.292,19,22,.864,10,32,13,10,6,12,20,,22,59,.373,5,21,.238,14,20,.700,10,30,9,5,1,15,20,2025,pittsburgh
41874,7,2024-11-24,N,Wisconsin,L,75,81,30,60,.500,5,23,.217,10,13,.769,5,27,11,1,0,8,19,,29,60,.483,5,20,.250,18,22,.818,7,29,12,3,0,6,16,2025,pittsburgh
41875,8,2024-11-29,@,Ohio State,W (1 OT),91,90,30,67,.448,8,24,.333,23,30,.767,14,33,10,5,2,11,24,,30,58,.517,11,20,.550,19,29,.655,6,26,21,5,3,11,20,2025,pittsburgh
41876,9,2024-12-04,@,Mississippi State,L,57,90,20,64,.313,8,26,.308,9,13,.692,12,24,8,9,2,11,11,,37,64,.578,7,21,.333,9,13,.692,16,47,18,8,6,14,11,2025,pittsburgh
41877,10,2024-12-07,@,Virginia Tech,W,64,59,23,56,.411,6,28,.214,12,12,1.000,9,30,10,7,5,12,11,,23,53,.434,8,25,.320,5,7,.714,6,27,13,4,0,17,17,2025,pittsburgh
41878,11,2024-12-11,,Eastern Kentucky,W,96,56,33,54,.611,11,23,.478,19,25,.760,5,37,21,7,5,10,11,,23,70,.329,7,28,.250,3,5,.600,14,31,6,6,2,13,19,2025,pittsburgh
41879,12,2024-12-21,,Sam Houston,W,110,78,38,65,.585,16,31,.516,18,23,.783,12,33,23,5,1,10,21,,30,56,.536,7,23,.304,11,20,.550,4,19,6,6,0,12,18,2025,pittsburgh
41880,13,2025-01-01,,California,W,86,74,26,52,.500,8,18,.444,26,34,.765,7,30,16,3,4,8,20,,22,55,.400,6,21,.286,24,29,.828,7,27,13,5,3,6,24,2025,pittsburgh
41881,14,2025-01-04,,Stanford,W,83,68,31,55,.564,7,19,.368,14,15,.933,10,31,12,8,7,14,16,,18,51,.353,9,28,.321,23,26,.885,6,17,15,9,4,11,17,2025,pittsburgh
41882,15,2025-01-07,@,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41883,16,2025-01-11,,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41884,17,2025-01-15,@,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41885,18,2025-01-18,,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41886,19,2025-01-25,@,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41887,20,2025-01-28,,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41888,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,pittsburgh
41889,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,pittsburgh
41890,21,2025-02-01,@,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41891,22,2025-02-03,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41892,23,2025-02-08,@,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41893,24,2025-02-11,@,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41894,25,2025-02-15,,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41895,26,2025-02-18,,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41896,27,2025-02-22,@,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41897,28,2025-02-25,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41898,29,2025-03-01,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41899,30,2025-03-05,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
41900,31,2025-03-08,,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,pittsburgh
