,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
41901,1,2024-11-06,,Lewis & Clark,W,83,70,32,60,.533,10,20,.500,9,15,.600,7,39,19,4,7,16,17,,24,67,.358,14,36,.389,8,12,.667,6,25,17,8,0,12,19,2025,portland
41902,2,2024-11-09,,UCSB,L,53,94,20,66,.303,5,31,.161,8,13,.615,8,27,7,7,2,11,14,,36,68,.529,16,37,.432,6,11,.545,9,44,23,8,4,7,14,2025,portland
41903,3,2024-11-12,@,Oregon,L (1 OT),70,80,24,64,.375,11,31,.355,11,16,.688,7,36,15,4,3,15,23,,28,69,.406,7,31,.226,17,23,.739,9,42,14,12,2,10,16,2025,portland
41904,4,2024-11-16,@,Long Beach State,W,63,61,22,52,.423,8,20,.400,11,17,.647,7,26,12,3,3,10,15,,21,55,.382,9,27,.333,10,19,.526,11,37,13,6,3,8,16,2025,portland
41905,5,2024-11-21,N,South Florida,L,68,74,22,60,.367,8,27,.296,16,19,.842,6,34,15,4,3,10,19,,25,60,.417,9,29,.310,15,21,.714,8,36,11,6,2,10,16,2025,portland
41906,6,2024-11-22,N,Ohio,L,73,85,28,60,.467,4,14,.286,13,21,.619,2,32,12,5,3,13,15,,33,73,.452,11,34,.324,8,11,.727,6,38,20,4,3,8,19,2025,portland
41907,7,2024-11-24,N,Princeton,L,67,94,21,50,.420,8,27,.296,17,21,.810,6,27,10,5,1,20,12,,36,72,.500,16,44,.364,6,10,.600,7,27,20,13,0,8,19,2025,portland
41908,8,2024-12-01,,Denver,W (2 OT),101,90,31,64,.484,10,29,.345,29,34,.853,4,42,21,3,4,15,18,,33,80,.413,10,39,.256,14,16,.875,4,31,20,9,1,6,26,2025,portland
41909,9,2024-12-06,@,Kent State,L,57,76,16,46,.348,11,26,.423,14,20,.700,5,24,15,3,1,12,9,,33,73,.452,8,26,.308,2,2,1.000,12,39,19,5,2,6,19,2025,portland
41910,10,2024-12-10,,Kansas City,L,64,69,23,48,.479,3,17,.176,15,20,.750,5,23,12,5,3,17,16,,24,54,.444,9,21,.429,12,14,.857,7,26,15,9,0,13,21,2025,portland
41911,11,2024-12-16,,Willamette,W,100,69,39,68,.574,10,20,.500,12,14,.857,7,42,26,9,7,13,9,,26,73,.356,10,31,.323,7,10,.700,7,29,16,8,3,13,13,2025,portland
41912,12,2024-12-18,,Cal State Bakersfield,L,64,81,22,51,.431,9,24,.375,11,13,.846,7,20,12,4,5,12,11,,31,61,.508,12,19,.632,7,10,.700,9,31,16,7,3,6,17,2025,portland
41913,13,2024-12-21,,Lafayette,W,74,64,25,52,.481,9,19,.474,15,17,.882,3,33,20,5,2,12,21,,21,54,.389,7,22,.318,15,23,.652,2,24,12,8,3,10,19,2025,portland
41914,14,2024-12-28,,Washington State,L,73,89,25,59,.424,7,23,.304,16,18,.889,5,22,15,9,5,11,14,,33,60,.550,14,25,.560,9,13,.692,8,35,24,3,3,16,17,2025,portland
41915,15,2024-12-30,@,Oregon State,L,79,89,27,52,.519,12,30,.400,13,14,.929,4,18,17,4,2,10,14,,35,57,.614,10,23,.435,9,11,.818,6,26,22,7,1,9,13,2025,portland
41916,16,2025-01-02,@,Gonzaga,L,50,81,21,63,.333,4,25,.160,4,6,.667,8,33,10,3,5,15,17,,29,68,.426,11,24,.458,12,16,.750,14,45,20,10,3,7,11,2025,portland
41917,17,2025-01-04,,Saint Mary's,L,58,81,20,54,.370,7,20,.350,11,14,.786,9,28,14,3,1,18,20,,30,68,.441,8,21,.381,13,19,.684,17,40,20,10,5,7,20,2025,portland
41918,18,2025-01-09,@,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41919,19,2025-01-16,,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41920,20,2025-01-18,@,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41921,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,portland
41922,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,portland
41923,21,2025-01-23,,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41924,22,2025-01-25,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41925,23,2025-01-30,@,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41926,24,2025-02-01,@,Pepperdine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41927,25,2025-02-06,,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41928,26,2025-02-13,,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41929,27,2025-02-15,,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41930,28,2025-02-19,@,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
41931,29,2025-02-22,@,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,portland
