,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42813,1,1,2024-11-04,,Iona,REG (Non-Conf),W,81,80,,31,56,.554,8,26,.308,23,30,.767,.625,11,22,.500,8,16,24,16,6,2,9,15,30,56,.536,6,13,.462,24,43,.558,.589,14,22,.636,10,21,31,14,7,0,16,21,2025,princeton
42814,2,2,2024-11-08,N,Duquesne,REG (Non-Conf),W,75,68,,23,53,.434,11,24,.458,12,29,.414,.538,18,29,.621,4,23,27,13,6,2,10,14,24,58,.414,8,22,.364,16,36,.444,.483,12,19,.632,8,29,37,15,7,6,11,20,2025,princeton
42815,3,3,2024-11-10,@,Northeastern,REG (Non-Conf),W,79,76,,26,60,.433,10,26,.385,16,34,.471,.517,17,22,.773,6,23,29,15,6,3,7,12,32,62,.516,6,18,.333,26,44,.591,.565,6,10,.600,7,25,32,19,4,4,14,20,2025,princeton
42816,4,4,2024-11-15,,Loyola Chicago,REG (Non-Conf),L,68,73,,24,59,.407,10,22,.455,14,37,.378,.492,10,13,.769,4,28,32,13,7,2,9,15,27,64,.422,8,28,.286,19,36,.528,.484,11,19,.579,11,27,38,16,5,9,10,15,2025,princeton
42817,5,5,2024-11-17,@,Merrimack,REG (Non-Conf),W,68,57,,26,49,.531,10,22,.455,16,27,.593,.633,6,9,.667,11,25,36,19,2,0,14,14,21,56,.375,7,30,.233,14,26,.538,.438,8,10,.800,7,14,21,6,7,1,7,13,2025,princeton
42818,6,6,2024-11-21,N,Wright State,REG (Non-Conf),L,62,80,,20,57,.351,8,27,.296,12,30,.400,.421,14,20,.700,6,18,24,12,9,2,7,17,26,49,.531,12,23,.522,14,26,.538,.653,16,20,.800,5,31,36,18,5,3,13,15,2025,princeton
42819,7,7,2024-11-22,N,Texas State,REG (Non-Conf),L,80,83,,27,59,.458,12,29,.414,15,30,.500,.559,14,17,.824,9,15,24,15,8,0,9,18,30,54,.556,6,15,.400,24,39,.615,.611,17,23,.739,10,21,31,15,8,5,13,18,2025,princeton
42820,8,8,2024-11-24,N,Portland,REG (Non-Conf),W,94,67,,36,72,.500,16,44,.364,20,28,.714,.611,6,10,.600,7,20,27,21,13,0,8,19,21,50,.420,8,27,.296,13,23,.565,.500,17,21,.810,6,21,27,10,5,1,20,12,2025,princeton
42821,9,9,2024-11-27,,,REG (Non-Conf),W,99,63,,36,76,.474,18,45,.400,18,31,.581,.592,9,14,.643,18,31,49,24,10,6,10,14,23,69,.333,7,18,.389,16,51,.314,.384,10,13,.769,10,21,31,10,8,1,12,12,2025,princeton
42822,10,10,2024-12-03,@,Saint Joseph's,REG (Non-Conf),W,77,69,,27,59,.458,11,25,.440,16,34,.471,.551,12,16,.750,5,29,34,17,7,2,10,14,24,64,.375,9,32,.281,15,32,.469,.445,12,14,.857,7,27,34,12,5,5,8,13,2025,princeton
42823,11,11,2024-12-07,@,Furman,REG (Non-Conf),L,63,69,,21,54,.389,6,19,.316,15,35,.429,.444,15,20,.750,7,22,29,11,10,0,12,17,25,58,.431,10,34,.294,15,24,.625,.517,9,16,.563,12,24,36,12,7,6,13,18,2025,princeton
42824,12,12,2024-12-10,,Monmouth,REG (Non-Conf),W,71,67,,23,49,.469,10,30,.333,13,19,.684,.571,15,23,.652,4,20,24,16,5,2,13,21,18,48,.375,8,19,.421,10,29,.345,.458,23,28,.821,5,18,23,9,9,4,10,20,2025,princeton
42825,13,13,2024-12-21,N,Rutgers,REG (Non-Conf),W,83,82,,33,70,.471,9,27,.333,24,43,.558,.536,8,18,.444,14,22,36,17,8,1,13,20,29,63,.460,6,19,.316,23,44,.523,.508,18,23,.783,11,24,35,13,8,8,12,16,2025,princeton
42826,14,14,2024-12-30,,Akron,REG (Non-Conf),W,76,75,,29,59,.492,7,20,.350,22,39,.564,.551,11,18,.611,5,23,28,13,10,5,11,14,27,64,.422,7,23,.304,20,41,.488,.477,14,17,.824,9,26,35,9,6,3,12,16,2025,princeton
42827,15,15,2025-01-04,,,REG (Non-Conf),W,92,71,,36,71,.507,10,28,.357,26,43,.605,.577,10,11,.909,11,25,36,21,18,4,13,16,26,58,.448,8,23,.348,18,35,.514,.517,11,14,.786,5,18,23,15,12,6,19,14,2025,princeton
42828,16,16,2025-01-11,@,Harvard,REG (Conf),W,68,64,,24,55,.436,7,21,.333,17,34,.500,.500,13,18,.722,8,26,34,13,5,2,9,13,21,50,.420,9,22,.409,12,28,.429,.510,13,16,.813,4,26,30,9,8,2,9,15,2025,princeton
42829,17,17,2025-01-18,@,Dartmouth,REG (Conf),W,81,80,,31,66,.470,12,28,.429,19,38,.500,.561,7,8,.875,6,27,33,16,8,3,9,18,26,57,.456,10,22,.455,16,35,.457,.544,18,20,.900,2,25,27,14,8,2,10,12,2025,princeton
42830,18,18,2025-01-20,,Columbia,REG (Conf),W,71,67,,25,71,.352,14,41,.341,11,30,.367,.451,7,9,.778,16,22,38,16,9,0,9,13,24,55,.436,7,22,.318,17,33,.515,.500,12,17,.706,7,27,34,12,6,4,13,13,2025,princeton
42831,19,19,2025-01-25,,Cornell,REG (Conf),L,76,85,,25,68,.368,11,25,.440,14,43,.326,.449,15,21,.714,15,19,34,16,7,1,9,22,23,48,.479,11,27,.407,12,21,.571,.594,28,34,.824,5,27,32,10,8,6,12,19,2025,princeton
