,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42845,1,1,2024-11-04,,Central Connecticut State,REG (Non-Conf),W,59,55,,20,53,.377,8,32,.250,12,21,.571,.453,11,15,.733,13,26,39,12,3,3,15,19,17,54,.315,0,8,.000,17,46,.370,.315,21,26,.808,7,21,28,3,12,3,6,16,2025,providence
42846,2,2,2024-11-09,,Stonehill,REG (Non-Conf),W,76,49,,27,54,.500,9,26,.346,18,28,.643,.583,13,21,.619,11,34,45,17,7,2,20,18,17,53,.321,6,21,.286,11,32,.344,.377,9,22,.409,5,19,24,9,11,2,14,21,2025,providence
42847,3,3,2024-11-12,,Hampton,REG (Non-Conf),W,60,51,,20,46,.435,10,29,.345,10,17,.588,.543,10,20,.500,10,25,35,11,4,5,14,14,16,56,.286,7,25,.280,9,31,.290,.348,12,13,.923,11,17,28,6,8,0,10,18,2025,providence
42848,4,4,2024-11-16,,Green Bay,REG (Non-Conf),W,79,65,,27,62,.435,9,29,.310,18,33,.545,.508,16,28,.571,11,26,37,14,9,3,5,18,24,56,.429,8,29,.276,16,27,.593,.500,9,15,.600,4,27,31,11,1,1,11,19,2025,providence
42849,5,5,2024-11-19,,Delaware State,REG (Non-Conf),W,78,48,,29,59,.492,11,33,.333,18,26,.692,.585,9,13,.692,13,31,44,21,3,3,9,16,20,53,.377,1,7,.143,19,46,.413,.387,7,15,.467,6,17,23,3,7,2,7,15,2025,providence
42850,6,6,2024-11-27,N,Oklahoma,REG (Non-Conf),L,77,79,,24,56,.429,12,33,.364,12,23,.522,.536,17,23,.739,8,20,28,13,5,0,16,21,25,49,.510,7,19,.368,18,30,.600,.582,22,29,.759,4,19,23,11,12,2,13,20,2025,providence
42851,7,7,2024-11-28,N,Davidson,REG (Non-Conf),L,58,69,,18,58,.310,8,21,.381,10,37,.270,.379,14,18,.778,12,21,33,8,4,3,5,18,23,49,.469,6,19,.316,17,30,.567,.531,17,21,.810,3,27,30,12,2,3,6,16,2025,providence
42852,8,8,2024-11-29,N,Indiana,REG (Non-Conf),L,73,89,,25,64,.391,10,30,.333,15,34,.441,.469,13,21,.619,12,19,31,15,5,4,6,19,32,60,.533,8,15,.533,24,45,.533,.600,17,20,.850,6,25,31,20,5,5,10,18,2025,providence
42853,9,9,2024-12-03,,Brigham Young,REG (Non-Conf),W,83,64,,25,42,.595,12,22,.545,13,20,.650,.738,21,26,.808,2,27,29,12,3,2,8,21,23,69,.333,7,25,.280,16,44,.364,.384,11,17,.647,20,15,35,9,4,1,4,19,2025,providence
42854,10,10,2024-12-07,@,Rhode Island,REG (Non-Conf),L,63,69,,25,57,.439,5,20,.250,20,37,.541,.482,8,15,.533,8,26,34,9,10,4,13,17,26,61,.426,5,15,.333,21,46,.457,.467,12,19,.632,12,26,38,11,9,6,12,12,2025,providence
42855,11,11,2024-12-10,@,DePaul,REG (Conf),W,70,63,OT,28,63,.444,8,26,.308,20,37,.541,.508,6,9,.667,7,33,40,15,8,4,16,14,22,67,.328,11,33,.333,11,34,.324,.410,8,15,.533,7,25,32,17,5,4,10,12,2025,providence
42856,12,12,2024-12-14,N,St. Bonaventure,REG (Non-Conf),L,70,74,,20,56,.357,10,32,.313,10,24,.417,.446,20,24,.833,14,19,33,8,4,5,9,19,25,60,.417,4,14,.286,21,46,.457,.450,20,28,.714,14,19,33,9,5,2,7,17,2025,providence
42857,13,13,2024-12-20,,St. John's (NY),REG (Conf),L,70,72,,25,52,.481,7,19,.368,18,33,.545,.548,13,17,.765,5,33,38,6,1,3,16,23,29,73,.397,3,18,.167,26,55,.473,.418,11,26,.423,14,20,34,11,12,6,5,16,2025,providence
42858,14,14,2024-12-31,,Marquette,REG (Conf),L,50,78,,17,50,.340,8,28,.286,9,22,.409,.420,8,14,.571,14,21,35,11,5,2,20,14,29,66,.439,11,36,.306,18,30,.600,.523,9,11,.818,13,20,33,16,15,3,5,12,2025,providence
42859,15,15,2025-01-05,@,Connecticut,REG (Conf),L,84,87,,30,60,.500,4,13,.308,26,47,.553,.533,20,23,.870,12,16,28,5,3,4,9,25,27,48,.563,6,13,.462,21,35,.600,.625,27,32,.844,5,16,21,16,6,7,7,16,2025,providence
42860,16,16,2025-01-08,,Butler,REG (Conf),W,84,65,,34,70,.486,10,24,.417,24,46,.522,.557,6,9,.667,12,28,40,10,4,5,8,17,23,57,.404,4,16,.250,19,41,.463,.439,15,19,.789,5,18,23,9,4,2,6,10,2025,providence
42861,17,17,2025-01-11,,Seton Hall,REG (Conf),W,91,85,,28,52,.538,12,25,.480,16,27,.593,.654,23,33,.697,8,23,31,16,4,8,10,14,31,69,.449,7,22,.318,24,47,.511,.500,16,20,.800,13,17,30,14,8,1,8,23,2025,providence
42862,18,18,2025-01-14,@,Creighton,REG (Conf),L,64,84,,26,68,.382,4,20,.200,22,48,.458,.412,8,9,.889,12,24,36,8,7,4,12,14,32,62,.516,14,32,.438,18,30,.600,.629,6,12,.500,5,28,33,15,6,7,10,8,2025,providence
42863,19,19,2025-01-17,@,Villanova,REG (Conf),L,73,75,,24,56,.429,14,36,.389,10,20,.500,.554,11,15,.733,4,24,28,16,4,3,9,17,26,60,.433,7,26,.269,19,34,.559,.492,16,18,.889,7,25,32,6,6,3,7,10,2025,providence
42864,20,20,2025-01-25,,Georgetown,REG (Conf),W,78,68,,28,62,.452,7,22,.318,21,40,.525,.508,15,19,.789,14,19,33,14,7,7,6,14,28,60,.467,4,13,.308,24,47,.511,.500,8,12,.667,13,17,30,10,4,5,11,15,2025,providence
42865,21,21,2025-01-28,@,Seton Hall,REG (Conf),W,69,67,,22,45,.489,9,21,.429,13,24,.542,.589,16,23,.696,8,22,30,12,4,4,18,24,20,54,.370,4,22,.182,16,32,.500,.407,23,30,.767,8,15,23,11,12,1,12,17,2025,providence
42866,22,22,2025-02-01,@,St. John's (NY),REG (Conf),L,66,68,,24,56,.429,12,28,.429,12,28,.429,.536,6,9,.667,8,28,36,16,4,6,17,18,26,68,.382,7,21,.333,19,47,.404,.434,9,14,.643,10,18,28,19,7,0,9,14,2025,providence
42867,23,23,2025-02-05,,Creighton,REG (Conf),L,69,80,,27,66,.409,11,26,.423,16,40,.400,.492,4,6,.667,7,30,37,12,4,3,10,17,27,65,.415,8,31,.258,19,34,.559,.477,18,21,.857,6,29,35,13,6,5,5,10,2025,providence
42868,24,24,2025-02-08,@,Butler,REG (Conf),L,81,82,,30,60,.500,16,32,.500,14,28,.500,.633,5,6,.833,4,16,20,20,6,3,10,18,30,60,.500,10,19,.526,20,41,.488,.583,12,21,.571,10,20,30,16,6,1,9,10,2025,providence
42869,25,25,2025-02-12,,Xavier,REG (Conf),L,82,91,,36,67,.537,8,25,.320,28,42,.667,.597,2,10,.200,10,22,32,16,2,2,11,16,26,59,.441,13,27,.481,13,32,.406,.551,26,29,.897,8,25,33,17,7,3,10,14,2025,providence
42870,26,26,2025-02-15,,Villanova,REG (Conf),W,75,62,,23,44,.523,13,27,.481,10,17,.588,.670,16,28,.571,2,26,28,17,5,4,10,15,23,53,.434,5,19,.263,18,34,.529,.481,11,13,.846,3,24,27,7,6,0,9,18,2025,providence
42871,27,27,2025-02-19,@,Georgetown,REG (Conf),L,72,93,,23,62,.371,10,32,.313,13,30,.433,.452,16,20,.800,11,20,31,10,4,4,13,22,30,59,.508,10,23,.435,20,36,.556,.593,23,28,.821,7,24,31,15,11,2,8,18,2025,providence
42872,28,28,2025-02-25,@,Marquette,REG (Conf),L,52,82,,19,56,.339,6,26,.231,13,30,.433,.393,8,11,.727,9,23,32,10,5,3,16,12,27,61,.443,17,41,.415,10,20,.500,.582,11,16,.688,8,27,35,22,10,3,10,13,2025,providence
42873,29,29,2025-03-01,,Connecticut,REG (Conf),L,63,75,,20,50,.400,8,20,.400,12,30,.400,.480,15,23,.652,6,17,23,13,7,2,7,16,28,52,.538,9,20,.450,19,32,.594,.625,10,15,.667,8,27,35,14,3,7,11,15,2025,providence
42874,30,30,2025-03-05,,DePaul,REG (Conf),L,77,80,,28,56,.500,6,18,.333,22,38,.579,.554,15,19,.789,9,20,29,15,8,0,12,11,30,56,.536,10,24,.417,20,32,.625,.625,10,12,.833,5,18,23,14,6,6,11,16,2025,providence
42875,31,31,2025-03-08,@,Xavier,REG (Conf),L,68,76,,26,54,.481,12,24,.500,14,30,.467,.593,4,11,.364,7,21,28,19,6,1,16,17,26,58,.448,7,20,.350,19,38,.500,.509,17,21,.810,10,20,30,22,8,0,11,13,2025,providence
42876,Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2025,providence
42877,32,32,2025-03-12,N,Butler,CTOURN,L,69,75,,29,77,.377,8,35,.229,21,42,.500,.429,3,4,.750,23,28,51,12,4,3,13,12,30,62,.484,8,25,.320,22,37,.595,.548,7,10,.700,6,22,28,12,10,0,6,8,2025,providence
42878,,,,,,,12-20,2283,2320,,807,1833,.440,297,834,.356,510,999,.511,.521,372,542,.686,306,768,1074,413,159,109,379,550,818,1889,.433,234,698,.335,584,1191,.490,.495,450,620,.726,263,687,950,400,234,93,280,479,2025,providence
